seed,lambda,error,branch
100,0.7,0.6402,collapse_down
100,0.66,0.6399,collapse_down
100,0.62,0.6226,collapse_down
100,0.58,0.6132,collapse_down
100,0.54,0.6152,collapse_down
100,0.5,0.6114999999999999,collapse_down
100,0.46,0.6017,collapse_down
100,0.42,0.601,collapse_down
100,0.38,0.6038,collapse_down
100,0.34,0.5982000000000001,collapse_down
100,0.3,0.6,collapse_down
101,0.7,0.9,collapse_down
101,0.66,0.9,collapse_down
101,0.62,0.9,collapse_down
101,0.58,0.9,collapse_down
101,0.54,0.9,collapse_down
101,0.5,0.9,collapse_down
101,0.46,0.9,collapse_down
101,0.42,0.9,collapse_down
101,0.38,0.9,collapse_down
101,0.34,0.9,collapse_down
101,0.3,0.9,collapse_down
102,0.7,0.9,collapse_down
102,0.66,0.9,collapse_down
102,0.62,0.9,collapse_down
102,0.58,0.9,collapse_down
102,0.54,0.9,collapse_down
102,0.5,0.9,collapse_down
102,0.46,0.9,collapse_down
102,0.42,0.9,collapse_down
102,0.38,0.9,collapse_down
102,0.34,0.9,collapse_down
102,0.3,0.9,collapse_down
