experiment_id,experiment,width_mult,noise_rate,lambda,seed,test_acc,test_error,best_acc,best_error,avg_cos_struct_value,time_seconds,q_experiment,schedule_type,final_acc,final_error,lr,phase_label
Q1a-001,exp_Q1a_finite_size_scaling,0.5,0.4,0.42,0,0.8612,0.13880000000000003,0.8612,0.13880000000000003,-0.18495835013617523,544.6684274673462,Q1_finite_size,,,,,
Q1a-002,exp_Q1a_finite_size_scaling,0.5,0.4,0.42,1,0.8578,0.1422,0.8578,0.1422,-0.1794043767758602,542.0908637046814,Q1_finite_size,,,,,
Q1a-003,exp_Q1a_finite_size_scaling,0.5,0.4,0.42,2,0.8582,0.14180000000000004,0.8582,0.14180000000000004,-0.1693039314787982,543.9503512382507,Q1_finite_size,,,,,
Q1a-004,exp_Q1a_finite_size_scaling,0.5,0.4,0.42,3,0.8618,0.1382,0.862,0.138,-0.17831120202858333,543.4371485710144,Q1_finite_size,,,,,
Q1a-005,exp_Q1a_finite_size_scaling,0.5,0.4,0.42,4,0.8629,0.1371,0.8629,0.1371,-0.16505414037200225,544.1170094013214,Q1_finite_size,,,,,
Q1a-006,exp_Q1a_finite_size_scaling,0.5,0.4,0.42,5,0.8615,0.13849999999999996,0.8615,0.13849999999999996,-0.1758648155213806,544.8016164302826,Q1_finite_size,,,,,
Q1a-007,exp_Q1a_finite_size_scaling,0.5,0.4,0.42,6,0.8625,0.13749999999999996,0.8625,0.13749999999999996,-0.19096016367490531,552.1493089199066,Q1_finite_size,,,,,
Q1a-008,exp_Q1a_finite_size_scaling,0.5,0.4,0.42,7,0.8608,0.1392,0.8608,0.1392,-0.1754023467925703,553.2625896930695,Q1_finite_size,,,,,
Q1a-009,exp_Q1a_finite_size_scaling,0.5,0.4,0.42,8,0.8561,0.14390000000000003,0.8573,0.14270000000000005,-0.17462971437272223,556.5535032749176,Q1_finite_size,,,,,
Q1a-010,exp_Q1a_finite_size_scaling,0.5,0.4,0.42,9,0.8564,0.14359999999999995,0.8564,0.14359999999999995,-0.18671154513579735,556.4305009841919,Q1_finite_size,,,,,
Q1a-011,exp_Q1a_finite_size_scaling,0.5,0.4,0.44,0,0.8453,0.15469999999999995,0.8453,0.15469999999999995,-0.1649146748709668,554.8934059143066,Q1_finite_size,,,,,
Q1a-012,exp_Q1a_finite_size_scaling,0.5,0.4,0.44,1,0.8495,0.15049999999999997,0.8495,0.15049999999999997,-0.18575139069306065,555.9417886734009,Q1_finite_size,,,,,
Q1a-013,exp_Q1a_finite_size_scaling,0.5,0.4,0.44,2,0.8426,0.15739999999999998,0.8426,0.15739999999999998,-0.15640173390401974,574.8640887737274,Q1_finite_size,,,,,
Q1a-014,exp_Q1a_finite_size_scaling,0.5,0.4,0.44,3,0.8454,0.15459999999999996,0.8454,0.15459999999999996,-0.16882365665905774,557.6903610229492,Q1_finite_size,,,,,
Q1a-015,exp_Q1a_finite_size_scaling,0.5,0.4,0.44,4,0.8442,0.15580000000000005,0.8442,0.15580000000000005,-0.1689001274502204,554.8843944072723,Q1_finite_size,,,,,
Q1a-016,exp_Q1a_finite_size_scaling,0.5,0.4,0.44,5,0.8479,0.1521,0.8479,0.1521,-0.17198232970881155,555.2727475166321,Q1_finite_size,,,,,
Q1a-017,exp_Q1a_finite_size_scaling,0.5,0.4,0.44,6,0.8215,0.1785,0.8215,0.1785,-0.13015477187723654,553.3230319023132,Q1_finite_size,,,,,
Q1a-018,exp_Q1a_finite_size_scaling,0.5,0.4,0.44,7,0.857,0.14300000000000002,0.857,0.14300000000000002,-0.1705135194276583,552.5016763210297,Q1_finite_size,,,,,
