,,test_error,test_error,test_error
,,mean,std,count
noise_rate,lambda,,,
0.4,0.1,0.233,0.0076,3
0.4,0.15,0.1827,0.0092,3
0.4,0.2,0.1455,0.0023,3
0.4,0.25,0.1233,0.0003,3
0.4,0.3,0.1137,0.0047,3
0.4,0.35,0.1122,0.0023,3
0.4,0.4,0.1185,0.0013,3
0.4,0.45,0.141,0.0064,3
0.4,0.5,0.262,0.0613,3
0.8,0.1,0.4166,0.0098,3
0.8,0.15,0.3675,0.0174,3
0.8,0.2,0.3139,0.0014,3
0.8,0.25,0.2739,0.0056,3
0.8,0.3,0.241,0.0038,3
0.8,0.35,0.2231,0.005,3
0.8,0.4,0.2302,0.0101,3
0.8,0.45,0.4343,0.1137,3
0.8,0.5,0.7911,0.1123,3
