,,test_error,test_error,test_error,best_test_error,best_test_error
,,mean,std,count,mean,std
noise_rate,lambda,,,,,
0.45,0.0,0.4489,0.0044,3,0.1994,0.0163
0.45,0.2,0.1751,0.0025,3,0.1466,0.0049
0.45,0.3,0.1578,0.0015,3,0.1577,0.0015
0.5,0.0,0.4919,0.0308,3,0.2224,0.0076
0.5,0.2,0.1942,0.0072,3,0.157,0.0085
0.5,0.3,0.167,0.0014,3,0.167,0.0013
0.55,0.0,0.5491,0.01,3,0.2332,0.0061
0.55,0.2,0.2076,0.0032,3,0.1717,0.0049
0.55,0.3,0.1934,0.007,3,0.193,0.0076
0.6,0.0,0.5915,0.0046,3,0.2418,0.0055
0.6,0.2,0.2186,0.0029,3,0.1898,0.0067
0.6,0.3,0.237,0.0262,3,0.2369,0.0263
0.65,0.0,0.635,0.0438,3,0.2752,0.0139
0.65,0.2,0.2327,0.0081,3,0.2166,0.0032
0.65,0.3,0.2816,0.0362,3,0.2816,0.0362
0.7,0.0,0.6773,0.0161,3,0.3211,0.0179
0.7,0.2,0.2725,0.0139,3,0.2639,0.0209
0.7,0.3,0.5991,0.1065,3,0.5991,0.1065
0.75,0.0,0.6521,0.0317,3,0.3854,0.0074
0.75,0.2,0.4303,0.0615,3,0.4303,0.0615
0.75,0.3,0.6199,0.0283,3,0.6199,0.0283
