experiment,lambda,cos_target,cos_actual,seed,noise_rate,test_acc,test_error,best_acc,best_error,time_seconds
exp_I_cosine_intervention,0.3,-0.9,-0.8999999769803805,0,0.4,0.7357,0.2643,0.8389,0.16110000000000002,596.5579249858856
exp_I_cosine_intervention,0.3,-0.9,-0.8999999765493931,1,0.4,0.7182,0.28180000000000005,0.8391,0.16090000000000004,594.5427994728088
exp_I_cosine_intervention,0.3,-0.9,-0.8999999773349517,2,0.4,0.7286,0.2714,0.8359,0.16410000000000002,594.562659740448
exp_I_cosine_intervention,0.3,-0.6,-0.6000000245815668,0,0.4,0.7113,0.28869999999999996,0.8366,0.1634,595.4527940750122
exp_I_cosine_intervention,0.3,-0.6,-0.6000000244012245,1,0.4,0.719,0.281,0.837,0.16300000000000003,595.9623026847839
exp_I_cosine_intervention,0.3,-0.6,-0.6000000239794072,2,0.4,0.7129,0.2871,0.8301,0.16990000000000005,595.3412818908691
exp_I_cosine_intervention,0.3,-0.3,-0.300000012364143,0,0.4,0.7092,0.29079999999999995,0.8289,0.17110000000000003,594.5623726844788
exp_I_cosine_intervention,0.3,-0.3,-0.3000000123717846,1,0.4,0.7114,0.28859999999999997,0.8346,0.1654,594.8073308467865
exp_I_cosine_intervention,0.3,-0.3,-0.3000000120951579,2,0.4,0.7036,0.2964,0.832,0.16800000000000004,594.8282840251923
exp_I_cosine_intervention,0.3,0.0,5.815285802759135e-13,0,0.4,0.6953,0.30469999999999997,0.8283,0.17169999999999996,594.5280573368073
exp_I_cosine_intervention,0.3,0.0,3.332015461264511e-13,1,0.4,0.7074,0.29259999999999997,0.8312,0.16879999999999995,595.3114945888519
exp_I_cosine_intervention,0.3,0.0,-2.950027686519882e-13,2,0.4,0.7023,0.29769999999999996,0.8285,0.17149999999999999,594.171092748642
exp_I_cosine_intervention,0.3,0.3,0.3000000120982146,0,0.4,0.6885,0.3115,0.8213,0.17869999999999997,594.7406892776489
exp_I_cosine_intervention,0.3,0.3,0.3000000123213499,1,0.4,0.6904,0.3096,0.8332,0.16679999999999995,594.8504779338837
exp_I_cosine_intervention,0.3,0.3,0.3000000120217983,2,0.4,0.694,0.30600000000000005,0.8247,0.1753,594.397362947464
exp_I_cosine_intervention,0.3,0.6,0.6000000241842024,0,0.4,0.679,0.32099999999999995,0.8255,0.1745,594.4733335971832
exp_I_cosine_intervention,0.3,0.6,0.6000000238174047,1,0.4,0.6836,0.3164,0.8292,0.17079999999999995,593.9414799213409
exp_I_cosine_intervention,0.3,0.6,0.6000000242881286,2,0.4,0.6884,0.3116,0.8296,0.1704,594.0896010398865
exp_I_cosine_intervention,0.3,0.9,0.899999975879987,0,0.4,0.6671,0.3329,0.8232,0.17679999999999996,594.6780107021332
exp_I_cosine_intervention,0.3,0.9,0.8999999767603017,1,0.4,0.6947,0.3053,0.8264,0.17359999999999998,595.0571656227112
exp_I_cosine_intervention,0.3,0.9,0.8999999765860729,2,0.4,0.6817,0.3183,0.8256,0.1744,594.1302647590637
exp_I_cosine_intervention,0.35,-0.9,-0.8999999776436732,0,0.4,0.7485,0.25149999999999995,0.8325,0.16749999999999998,594.2287909984589
exp_I_cosine_intervention,0.35,-0.9,-0.8999999774144246,1,0.4,0.7461,0.2539,0.842,0.15800000000000003,594.8336873054504
exp_I_cosine_intervention,0.35,-0.9,-0.8999999768061514,2,0.4,0.7427,0.2573,0.8394,0.16059999999999997,594.509521484375
exp_I_cosine_intervention,0.35,-0.6,-0.6000000242667319,0,0.4,0.7347,0.2653,0.8365,0.16349999999999998,593.7093024253845
exp_I_cosine_intervention,0.35,-0.6,-0.6000000240222002,1,0.4,0.732,0.268,0.8403,0.15969999999999995,594.892774105072
exp_I_cosine_intervention,0.35,-0.6,-0.6000000242300523,2,0.4,0.7326,0.26739999999999997,0.8345,0.16549999999999998,594.9126555919647
exp_I_cosine_intervention,0.35,-0.3,-0.3000000121838007,0,0.4,0.7211,0.27890000000000004,0.8316,0.1684,595.2694346904755
