experiment_id,experiment,lambda,cos_target,cos_actual_to_clean,cos_struct_clean,seed,noise_rate,test_acc,test_error,best_acc,best_error,time_seconds
L-001,exp_L_causal_intervention,0.3,-0.9,-0.899999977732316,0.28528293551551775,0,0.4,0.7741,0.2259,0.7841,0.21589999999999998,640.8272271156311
L-002,exp_L_causal_intervention,0.3,-0.9,-0.8999999764362971,0.27227441199183555,1,0.4,0.769,0.23099999999999998,0.7813,0.2187,639.8804585933685
L-003,exp_L_causal_intervention,0.3,-0.9,-0.8999999749629926,0.2731733130312417,2,0.4,0.7636,0.23640000000000005,0.7775,0.22250000000000003,639.4206740856171
L-004,exp_L_causal_intervention,0.3,-0.6,-0.6000000238479711,0.1627750895860223,0,0.4,0.7335,0.26649999999999996,0.813,0.18700000000000006,639.6743721961975
L-005,exp_L_causal_intervention,0.3,-0.6,-0.6000000232855478,0.16219359063541736,1,0.4,0.7463,0.25370000000000004,0.8164,0.18359999999999999,639.7957806587219
L-006,exp_L_causal_intervention,0.3,-0.6,-0.6000000245846234,0.1610218378727426,2,0.4,0.7436,0.25639999999999996,0.8123,0.18769999999999998,640.090384721756
L-007,exp_L_causal_intervention,0.3,-0.3,-0.30000001200804344,0.07892651822458645,0,0.4,0.708,0.29200000000000004,0.8214,0.17859999999999998,639.8425352573395
L-008,exp_L_causal_intervention,0.3,-0.3,-0.3000000124145777,0.08035620256179335,1,0.4,0.7014,0.2986,0.8205,0.1795,639.4116976261139
L-009,exp_L_causal_intervention,0.3,-0.3,-0.30000001132335424,0.07982674500367676,2,0.4,0.7006,0.2994,0.8158,0.18420000000000003,639.432933807373
L-010,exp_L_causal_intervention,0.3,0.0,-4.116046534946712e-13,0.024723377192442945,0,0.4,0.7038,0.2962,0.8327,0.1673,640.7015113830566
L-011,exp_L_causal_intervention,0.3,0.0,-3.6796056799805516e-13,0.025805664347595524,1,0.4,0.7146,0.2854,0.8374,0.16259999999999997,639.7518022060394
L-012,exp_L_causal_intervention,0.3,0.0,2.297173733285701e-13,0.024641905208404816,2,0.4,0.6952,0.30479999999999996,0.8239,0.17610000000000003,639.2393152713776
L-013,exp_L_causal_intervention,0.3,0.3,0.3000000125597685,-0.01283503981013163,0,0.4,0.7918,0.20820000000000005,0.8777,0.12229999999999996,640.1793789863586
L-014,exp_L_causal_intervention,0.3,0.3,0.30000001260256154,-0.014501598847443788,1,0.4,0.7939,0.20609999999999995,0.8755,0.12450000000000006,639.7395861148834
L-015,exp_L_causal_intervention,0.3,0.3,0.300000012416106,-0.014268693555683758,2,0.4,0.7876,0.21240000000000003,0.8653,0.13470000000000004,639.6640131473541
L-016,exp_L_causal_intervention,0.3,0.6,0.6000000241994858,-0.04977062890408201,0,0.4,0.862,0.138,0.8913,0.10870000000000002,639.8369927406311
L-017,exp_L_causal_intervention,0.3,0.6,0.6000000242697887,-0.04820350574987392,1,0.4,0.8549,0.1451,0.8882,0.11180000000000001,640.1733312606812
L-018,exp_L_causal_intervention,0.3,0.6,0.6000000250370074,-0.04855114255320932,2,0.4,0.86,0.14,0.8884,0.11160000000000003,640.5513787269592
L-019,exp_L_causal_intervention,0.3,0.9,0.8999999783222493,-0.09157768556569369,0,0.4,0.8852,0.11480000000000001,0.891,0.10899999999999999,640.7890386581421
L-020,exp_L_causal_intervention,0.3,0.9,0.8999999795204555,-0.09281388140091291,1,0.4,0.8825,0.11750000000000005,0.8876,0.11240000000000006,640.1838314533234
L-021,exp_L_causal_intervention,0.3,0.9,0.899999976940644,-0.0952481581185622,2,0.4,0.8881,0.1119,0.8939,0.10609999999999997,639.8065009117126
L-022,exp_L_causal_intervention,0.35,-0.9,-0.899999979480719,0.3658319875631446,0,0.4,0.7006,0.2994,0.7006,0.2994,640.2592780590057
L-023,exp_L_causal_intervention,0.35,-0.9,-0.8999999832312267,0.36656229323227535,1,0.4,0.686,0.31399999999999995,0.686,0.31399999999999995,640.4654786586761
