experiment_id,experiment,lambda,noise_rate,seed,test_acc,test_error,best_acc,best_error,avg_cos_struct_value,time_seconds
M1-001,exp_M1_coarse_sweep,0.1,0.4,0,0.7623,0.23770000000000002,0.8719,0.1281,-0.014046066164263698,584.3277518749237
M1-002,exp_M1_coarse_sweep,0.1,0.4,1,0.7562,0.24380000000000002,0.8653,0.13470000000000004,-0.013085493714293428,583.5841641426086
M1-003,exp_M1_coarse_sweep,0.1,0.4,2,0.7633,0.23670000000000002,0.8657,0.13429999999999997,-0.01342138859176544,582.9172928333282
M1-004,exp_M1_coarse_sweep,0.15,0.4,0,0.8114,0.1886,0.8819,0.11809999999999998,-0.032261052931661906,583.1323645114899
M1-005,exp_M1_coarse_sweep,0.15,0.4,1,0.8092,0.19079999999999997,0.8806,0.11939999999999995,-0.03166315247641484,583.5148413181305
M1-006,exp_M1_coarse_sweep,0.15,0.4,2,0.817,0.18300000000000005,0.888,0.11199999999999999,-0.03286225896680806,583.1858382225037
M1-007,exp_M1_coarse_sweep,0.2,0.4,0,0.8544,0.14559999999999995,0.8885,0.11150000000000004,-0.05406611557706118,583.5066270828247
M1-008,exp_M1_coarse_sweep,0.2,0.4,1,0.8554,0.14459999999999995,0.8886,0.11140000000000005,-0.04909802949719299,582.3574528694153
M1-009,exp_M1_coarse_sweep,0.2,0.4,2,0.8562,0.14380000000000004,0.8881,0.1119,-0.052847786178393,584.351753950119
M1-010,exp_M1_coarse_sweep,0.25,0.4,0,0.8747,0.12529999999999997,0.8904,0.10960000000000003,-0.0778991276345265,585.1842107772827
M1-011,exp_M1_coarse_sweep,0.25,0.4,1,0.877,0.123,0.8878,0.11219999999999997,-0.07768743160419848,586.654415845871
M1-012,exp_M1_coarse_sweep,0.25,0.4,2,0.8811,0.1189,0.8858,0.11419999999999997,-0.0763771709907809,586.0561916828156
M1-013,exp_M1_coarse_sweep,0.3,0.4,0,0.8841,0.1159,0.8906,0.10940000000000005,-0.10892162228817454,587.0645279884338
M1-014,exp_M1_coarse_sweep,0.3,0.4,1,0.8846,0.11539999999999995,0.8884,0.11160000000000003,-0.12783759682447327,587.3366627693176
M1-015,exp_M1_coarse_sweep,0.3,0.4,2,0.8839,0.11609999999999998,0.8903,0.10970000000000002,-0.1090282156335478,585.2066712379456
M1-016,exp_M1_coarse_sweep,0.35,0.4,0,0.8854,0.11460000000000004,0.8862,0.11380000000000001,-0.15623489481213992,585.7446734905243
M1-017,exp_M1_coarse_sweep,0.35,0.4,1,0.8842,0.11580000000000001,0.8859,0.11409999999999998,-0.17194579039945693,584.938455581665
M1-018,exp_M1_coarse_sweep,0.35,0.4,2,0.8907,0.10929999999999995,0.8907,0.10929999999999995,-0.16920262021084242,584.5539371967316
M1-019,exp_M1_coarse_sweep,0.4,0.4,0,0.8793,0.12070000000000003,0.8813,0.11870000000000003,-0.1831691869121457,585.1070582866669
M1-020,exp_M1_coarse_sweep,0.4,0.4,1,0.8862,0.11380000000000001,0.8862,0.11380000000000001,-0.1827534387014203,585.1304621696472
M1-021,exp_M1_coarse_sweep,0.4,0.4,2,0.8775,0.12250000000000005,0.8805,0.11950000000000005,-0.19046771125302597,586.8438630104065
M1-022,exp_M1_coarse_sweep,0.45,0.4,0,0.8549,0.1451,0.8549,0.1451,-0.17159590947437578,588.1728825569153
M1-023,exp_M1_coarse_sweep,0.45,0.4,1,0.8443,0.15569999999999995,0.8443,0.15569999999999995,-0.14900031707835837,588.6743047237396
M1-024,exp_M1_coarse_sweep,0.45,0.4,2,0.8646,0.13539999999999996,0.8646,0.13539999999999996,-0.15963663910823064,587.4516673088074
M1-025,exp_M1_coarse_sweep,0.5,0.4,0,0.78,0.21999999999999997,0.78,0.21999999999999997,-0.040216447409591634,588.4509856700897
M1-026,exp_M1_coarse_sweep,0.5,0.4,1,0.5984,0.40159999999999996,0.5984,0.40159999999999996,0.010509138090870318,588.2707159519196
M1-027,exp_M1_coarse_sweep,0.5,0.4,2,0.769,0.23099999999999998,0.769,0.23099999999999998,-0.029810680734727965,585.1287753582001
M1-028,exp_M1_coarse_sweep,0.55,0.4,0,0.5481,0.45189999999999997,0.5481,0.45189999999999997,0.003541360641161028,584.5034477710724
M1-029,exp_M1_coarse_sweep,0.55,0.4,1,0.642,0.358,0.642,0.358,0.02778440802904944,586.2369813919067
M1-030,exp_M1_coarse_sweep,0.55,0.4,2,0.5711,0.42889999999999995,0.5711,0.42889999999999995,0.017817457286849955,585.5386714935303
M1-031,exp_M1_coarse_sweep,0.6,0.4,0,0.5959,0.4041,0.5959,0.4041,0.0472246989208872,585.4669587612152
M1-032,exp_M1_coarse_sweep,0.6,0.4,1,0.4335,0.5665,0.4335,0.5665,0.012389421373205735,585.6329329013824
M1-033,exp_M1_coarse_sweep,0.6,0.4,2,0.3653,0.6347,0.3653,0.6347,0.004912891841902494,585.4310264587402
M1-034,exp_M1_coarse_sweep,0.1,0.8,0,0.5911,0.40890000000000004,0.6185,0.38149999999999995,-0.06682926132479527,586.2473750114441
M1-035,exp_M1_coarse_sweep,0.1,0.8,1,0.5809,0.41910000000000003,0.5924,0.40759999999999996,-0.06652623952436856,590.2495858669281
M1-036,exp_M1_coarse_sweep,0.1,0.8,2,0.5936,0.4064,0.5979,0.4021,-0.06696636045760124,594.8986396789551
M1-037,exp_M1_coarse_sweep,0.15,0.8,0,0.6226,0.37739999999999996,0.6435,0.35650000000000004,-0.11238156324639345,593.2341179847717
M1-038,exp_M1_coarse_sweep,0.15,0.8,1,0.6326,0.36739999999999995,0.6502,0.3498,-0.11304301605914055,593.1807026863098
M1-039,exp_M1_coarse_sweep,0.15,0.8,2,0.6445,0.35550000000000004,0.6632,0.3368,-0.11147648350734903,595.6321449279785
M1-040,exp_M1_coarse_sweep,0.2,0.8,0,0.6831,0.31689999999999996,0.6989,0.30110000000000003,-0.16495697825713954,595.9112527370453
M1-041,exp_M1_coarse_sweep,0.2,0.8,1,0.6692,0.3308,0.6785,0.3215,-0.16580490575099172,594.3986022472382
M1-042,exp_M1_coarse_sweep,0.2,0.8,2,0.6858,0.31420000000000003,0.6985,0.3015,-0.16526808316238933,599.1091413497925
M1-043,exp_M1_coarse_sweep,0.25,0.8,0,0.7311,0.26890000000000003,0.7365,0.26349999999999996,-0.21868215215056896,597.2098624706268
M1-044,exp_M1_coarse_sweep,0.25,0.8,1,0.741,0.259,0.746,0.254,-0.21952821716762635,599.3077371120453
M1-045,exp_M1_coarse_sweep,0.25,0.8,2,0.7346,0.26539999999999997,0.7404,0.25960000000000005,-0.21982085744268265,597.1559944152832
M1-046,exp_M1_coarse_sweep,0.3,0.8,0,0.7536,0.24639999999999995,0.7536,0.24639999999999995,-0.29434838526478657,595.6467566490173
M1-047,exp_M1_coarse_sweep,0.3,0.8,1,0.7348,0.2652,0.7365,0.26349999999999996,-0.29011813961175414,596.3179802894592
M1-048,exp_M1_coarse_sweep,0.3,0.8,2,0.7567,0.24329999999999996,0.7567,0.24329999999999996,-0.29119512774589923,596.3810856342316
M1-049,exp_M1_coarse_sweep,0.35,0.8,0,0.7725,0.22750000000000004,0.7742,0.2258,-0.37037869405145885,596.1489744186401
M1-050,exp_M1_coarse_sweep,0.35,0.8,1,0.7733,0.2267,0.7733,0.2267,-0.3663951647617878,596.2255835533142
M1-051,exp_M1_coarse_sweep,0.35,0.8,2,0.7732,0.2268,0.7732,0.2268,-0.3752997280928688,599.7066440582275
M1-052,exp_M1_coarse_sweep,0.4,0.8,0,0.7463,0.25370000000000004,0.7463,0.25370000000000004,-0.4337024039054672,598.4412980079651
