experiment_id,experiment,lambda,noise_rate,seed,test_acc,test_error,best_acc,best_error,avg_cos_struct_value,time_seconds
M2-001,exp_M2_fine_sweep_eta04,0.38,0.4,0,0.8874,0.11260000000000003,0.8874,0.11260000000000003,-0.18244915638835382,635.6203331947327
M2-002,exp_M2_fine_sweep_eta04,0.38,0.4,1,0.8851,0.1149,0.8852,0.11480000000000001,-0.18288589873608463,635.5490818023682
M2-003,exp_M2_fine_sweep_eta04,0.38,0.4,2,0.8876,0.11240000000000006,0.8876,0.11240000000000006,-0.1779041185667201,634.64528465271
M2-004,exp_M2_fine_sweep_eta04,0.38,0.4,3,0.886,0.11399999999999999,0.886,0.11399999999999999,-0.18362998646473844,634.828403711319
M2-005,exp_M2_fine_sweep_eta04,0.38,0.4,4,0.8862,0.11380000000000001,0.8862,0.11380000000000001,-0.18245652114386512,634.2391991615295
M2-006,exp_M2_fine_sweep_eta04,0.38,0.4,5,0.8844,0.11560000000000004,0.8854,0.11460000000000004,-0.18385430017842627,634.4902422428131
M2-007,exp_M2_fine_sweep_eta04,0.38,0.4,6,0.8888,0.11119999999999997,0.8888,0.11119999999999997,-0.1802113117793999,633.8618807792664
M2-008,exp_M2_fine_sweep_eta04,0.38,0.4,7,0.8912,0.10880000000000001,0.8912,0.10880000000000001,-0.188469778578827,634.6087408065796
M2-009,exp_M2_fine_sweep_eta04,0.38,0.4,8,0.886,0.11399999999999999,0.886,0.11399999999999999,-0.1888433903667371,633.9240856170654
M2-010,exp_M2_fine_sweep_eta04,0.38,0.4,9,0.8829,0.11709999999999998,0.8829,0.11709999999999998,-0.18513489233769878,634.1501331329346
M2-011,exp_M2_fine_sweep_eta04,0.4,0.4,0,0.8815,0.11850000000000005,0.8831,0.1169,-0.19166650838489666,635.6650338172913
M2-012,exp_M2_fine_sweep_eta04,0.4,0.4,1,0.8822,0.11780000000000002,0.8826,0.11739999999999995,-0.19264119079928746,634.7035176753998
M2-013,exp_M2_fine_sweep_eta04,0.4,0.4,2,0.8855,0.11450000000000005,0.8855,0.11450000000000005,-0.18848543026260672,634.1516098976135
M2-014,exp_M2_fine_sweep_eta04,0.4,0.4,3,0.8815,0.11850000000000005,0.8815,0.11850000000000005,-0.18675136604818565,634.383207321167
M2-015,exp_M2_fine_sweep_eta04,0.4,0.4,4,0.8793,0.12070000000000003,0.8806,0.11939999999999995,-0.18825975941746637,634.3948068618774
M2-016,exp_M2_fine_sweep_eta04,0.4,0.4,5,0.8827,0.11729999999999996,0.8827,0.11729999999999996,-0.18407799539219535,634.1090660095215
M2-017,exp_M2_fine_sweep_eta04,0.4,0.4,6,0.8818,0.11819999999999997,0.8818,0.11819999999999997,-0.19483028893665863,634.8114576339722
M2-018,exp_M2_fine_sweep_eta04,0.4,0.4,7,0.8759,0.12409999999999999,0.8773,0.12270000000000003,-0.19258630292135803,634.0666563510895
M2-019,exp_M2_fine_sweep_eta04,0.4,0.4,8,0.8829,0.11709999999999998,0.8829,0.11709999999999998,-0.18340307577063616,633.875589132309
M2-020,exp_M2_fine_sweep_eta04,0.4,0.4,9,0.8832,0.11680000000000001,0.8836,0.11639999999999995,-0.18463526670615646,634.1291449069977
M2-021,exp_M2_fine_sweep_eta04,0.42,0.4,0,0.8764,0.12360000000000004,0.8769,0.12309999999999999,-0.1828673525664281,634.1653673648834
M2-022,exp_M2_fine_sweep_eta04,0.42,0.4,1,0.8812,0.11880000000000002,0.8812,0.11880000000000002,-0.18154087968079302,634.3167502880096
M2-023,exp_M2_fine_sweep_eta04,0.42,0.4,2,0.8805,0.11950000000000005,0.8805,0.11950000000000005,-0.1798523623918464,634.6295819282532
M2-024,exp_M2_fine_sweep_eta04,0.42,0.4,3,0.8801,0.1199,0.8801,0.1199,-0.1722987358271777,633.6032185554504
M2-025,exp_M2_fine_sweep_eta04,0.42,0.4,4,0.871,0.129,0.871,0.129,-0.17612143826139615,634.058844089508
M2-026,exp_M2_fine_sweep_eta04,0.42,0.4,5,0.8771,0.12290000000000001,0.8771,0.12290000000000001,-0.17890105440459841,633.329619884491
M2-027,exp_M2_fine_sweep_eta04,0.42,0.4,6,0.8753,0.12470000000000003,0.8753,0.12470000000000003,-0.17644252606533548,633.4120087623596
M2-028,exp_M2_fine_sweep_eta04,0.42,0.4,7,0.881,0.119,0.881,0.119,-0.18168570943951662,633.5655393600464
M2-029,exp_M2_fine_sweep_eta04,0.42,0.4,8,0.872,0.128,0.872,0.128,-0.1799619964285252,634.4040989875793
M2-030,exp_M2_fine_sweep_eta04,0.42,0.4,9,0.8804,0.11960000000000004,0.8804,0.11960000000000004,-0.1792264669662318,633.1462359428406
M2-031,exp_M2_fine_sweep_eta04,0.44,0.4,0,0.8719,0.1281,0.8719,0.1281,-0.17326695421951205,634.7488117218018
M2-032,exp_M2_fine_sweep_eta04,0.44,0.4,1,0.8659,0.1341,0.8659,0.1341,-0.16870091800544507,634.0055773258209
M2-033,exp_M2_fine_sweep_eta04,0.44,0.4,2,0.8738,0.12619999999999998,0.8752,0.12480000000000002,-0.16542058508330956,634.2110838890076
M2-034,exp_M2_fine_sweep_eta04,0.44,0.4,3,0.8641,0.13590000000000002,0.8641,0.13590000000000002,-0.16935293592675588,634.5588927268982
M2-035,exp_M2_fine_sweep_eta04,0.44,0.4,4,0.8697,0.13029999999999997,0.8697,0.13029999999999997,-0.16308754434052683,634.4784784317017
M2-036,exp_M2_fine_sweep_eta04,0.44,0.4,5,0.8635,0.13649999999999995,0.8635,0.13649999999999995,-0.1612679795581095,634.4235656261444
M2-037,exp_M2_fine_sweep_eta04,0.44,0.4,6,0.8622,0.13780000000000003,0.8622,0.13780000000000003,-0.17645311150665224,634.412412405014
M2-038,exp_M2_fine_sweep_eta04,0.44,0.4,7,0.8731,0.1269,0.8731,0.1269,-0.1565838259663194,634.4378304481506
M2-039,exp_M2_fine_sweep_eta04,0.44,0.4,8,0.865,0.135,0.865,0.135,-0.163677778623628,634.5947873592377
M2-040,exp_M2_fine_sweep_eta04,0.44,0.4,9,0.8707,0.12929999999999997,0.8707,0.12929999999999997,-0.16222777215317968,634.2866797447205
M2-041,exp_M2_fine_sweep_eta04,0.46,0.4,0,0.8539,0.1461,0.8539,0.1461,-0.15065521394475126,633.5203557014465
M2-042,exp_M2_fine_sweep_eta04,0.46,0.4,1,0.8444,0.15559999999999996,0.8455,0.15449999999999997,-0.13041783939641063,634.0097653865814
M2-043,exp_M2_fine_sweep_eta04,0.46,0.4,2,0.8499,0.1501,0.8499,0.1501,-0.15270872156984075,634.0330104827881
M2-044,exp_M2_fine_sweep_eta04,0.46,0.4,3,0.8449,0.15510000000000002,0.8449,0.15510000000000002,-0.1545288748715837,633.9861309528351
M2-045,exp_M2_fine_sweep_eta04,0.46,0.4,4,0.8625,0.13749999999999996,0.8625,0.13749999999999996,-0.14965184181837887,633.9615037441254
M2-046,exp_M2_fine_sweep_eta04,0.46,0.4,5,0.8629,0.1371,0.8629,0.1371,-0.16006378574174446,633.9687595367432
M2-047,exp_M2_fine_sweep_eta04,0.46,0.4,6,0.8568,0.1432,0.8568,0.1432,-0.17296998791126775,634.2736406326294
M2-048,exp_M2_fine_sweep_eta04,0.46,0.4,7,0.7867,0.21330000000000005,0.7867,0.21330000000000005,-0.16961980770892487,634.9317100048065
M2-049,exp_M2_fine_sweep_eta04,0.46,0.4,8,0.8476,0.15239999999999998,0.8478,0.1522,-0.1452211892793958,633.2181346416473
M2-050,exp_M2_fine_sweep_eta04,0.46,0.4,9,0.8289,0.17110000000000003,0.8289,0.17110000000000003,-0.14887150365182866,634.8300127983093
M2-051,exp_M2_fine_sweep_eta04,0.48,0.4,0,0.7998,0.20020000000000004,0.7998,0.20020000000000004,-0.11209605523145115,633.8753917217255
M2-052,exp_M2_fine_sweep_eta04,0.48,0.4,1,0.7835,0.21650000000000003,0.7835,0.21650000000000003,-0.07167973653033663,634.636242389679
M2-053,exp_M2_fine_sweep_eta04,0.48,0.4,2,0.7144,0.28559999999999997,0.7144,0.28559999999999997,-0.051730817390441636,633.7125909328461
M2-054,exp_M2_fine_sweep_eta04,0.48,0.4,3,0.7613,0.23870000000000002,0.7613,0.23870000000000002,-0.06673310556723468,635.2427155971527
M2-055,exp_M2_fine_sweep_eta04,0.48,0.4,4,0.767,0.23299999999999998,0.767,0.23299999999999998,-0.0628775216040906,633.8249688148499
M2-056,exp_M2_fine_sweep_eta04,0.48,0.4,5,0.6755,0.3245,0.6755,0.3245,-0.013011896460215586,633.9465637207031
M2-057,exp_M2_fine_sweep_eta04,0.48,0.4,6,0.8125,0.1875,0.8125,0.1875,-0.09931701763946778,634.5474057197571
M2-058,exp_M2_fine_sweep_eta04,0.48,0.4,7,0.7877,0.21230000000000004,0.7877,0.21230000000000004,-0.07612878753463082,634.2148444652557
M2-059,exp_M2_fine_sweep_eta04,0.48,0.4,8,0.7746,0.22540000000000004,0.7746,0.22540000000000004,-0.05787914293006253,634.0956757068634
M2-060,exp_M2_fine_sweep_eta04,0.48,0.4,9,0.7978,0.20220000000000005,0.7978,0.20220000000000005,-0.08602431204143123,634.5226764678955
M2-061,exp_M2_fine_sweep_eta04,0.5,0.4,0,0.7095,0.2905,0.7095,0.2905,-0.029216595806351574,634.3351418972015
M2-062,exp_M2_fine_sweep_eta04,0.5,0.4,1,0.7242,0.27580000000000005,0.7242,0.27580000000000005,-0.027248811018450236,635.7083101272583
M2-063,exp_M2_fine_sweep_eta04,0.5,0.4,2,0.7117,0.2883,0.7117,0.2883,-0.03294828095621704,636.4295909404755
M2-064,exp_M2_fine_sweep_eta04,0.5,0.4,3,0.804,0.19599999999999995,0.804,0.19599999999999995,-0.06635778046699647,636.8408091068268
M2-065,exp_M2_fine_sweep_eta04,0.5,0.4,4,0.543,0.45699999999999996,0.543,0.45699999999999996,-0.0449586478752108,635.8410291671753
M2-066,exp_M2_fine_sweep_eta04,0.5,0.4,5,0.6736,0.3264,0.6736,0.3264,-0.01523573416150294,636.6316511631012
M2-067,exp_M2_fine_sweep_eta04,0.5,0.4,6,0.7462,0.2538,0.7462,0.2538,-0.02713764601405889,634.5091025829315
M2-068,exp_M2_fine_sweep_eta04,0.5,0.4,7,0.6552,0.3448,0.6552,0.3448,0.00553218348799512,634.0893838405609
M2-069,exp_M2_fine_sweep_eta04,0.5,0.4,8,0.7202,0.27980000000000005,0.7202,0.27980000000000005,-0.022532145103872515,634.0831139087677
M2-070,exp_M2_fine_sweep_eta04,0.5,0.4,9,0.5574,0.4426,0.5574,0.4426,-0.006968300996419901,634.374445438385
