experiment_id,experiment,lambda,noise_rate,seed,test_acc,test_error,best_acc,best_error,avg_cos_struct_value,time_seconds
M3b-001,exp_M3b_low_lambda_eta08,0.15,0.8,0,0.6202,0.3798,0.6659,0.33409999999999995,-0.10885379063094547,645.018304347992
M3b-002,exp_M3b_low_lambda_eta08,0.15,0.8,1,0.6143,0.38570000000000004,0.6416,0.35840000000000005,-0.115363489620305,645.3723194599152
M3b-003,exp_M3b_low_lambda_eta08,0.15,0.8,2,0.6368,0.36319999999999997,0.6671,0.3329,-0.11354192329463443,645.8883578777313
M3b-004,exp_M3b_low_lambda_eta08,0.15,0.8,3,0.6232,0.3768,0.6576,0.34240000000000004,-0.11322491574736163,645.7012686729431
M3b-005,exp_M3b_low_lambda_eta08,0.15,0.8,4,0.6215,0.37849999999999995,0.6365,0.36350000000000005,-0.11275249641166812,646.0225954055786
M3b-006,exp_M3b_low_lambda_eta08,0.2,0.8,0,0.6819,0.31810000000000005,0.695,0.30500000000000005,-0.16111195471835363,646.0484585762024
M3b-007,exp_M3b_low_lambda_eta08,0.2,0.8,1,0.6529,0.34709999999999996,0.6743,0.3257,-0.165745217876431,655.5780317783356
M3b-008,exp_M3b_low_lambda_eta08,0.2,0.8,2,0.6989,0.30110000000000003,0.7315,0.26849999999999996,-0.15877395399771743,648.5891714096069
M3b-009,exp_M3b_low_lambda_eta08,0.2,0.8,3,0.6842,0.31579999999999997,0.6947,0.3053,-0.15998987186654667,644.8220505714417
M3b-010,exp_M3b_low_lambda_eta08,0.2,0.8,4,0.6787,0.32130000000000003,0.7151,0.28490000000000004,-0.1547204036278085,644.7609961032867
M3b-011,exp_M3b_low_lambda_eta08,0.25,0.8,0,0.734,0.266,0.7405,0.25949999999999995,-0.21923036852375155,645.0671710968018
M3b-012,exp_M3b_low_lambda_eta08,0.25,0.8,1,0.7085,0.2915,0.7144,0.28559999999999997,-0.22247225176932928,645.1366159915924
M3b-013,exp_M3b_low_lambda_eta08,0.25,0.8,2,0.7405,0.25949999999999995,0.7508,0.24919999999999998,-0.21567536993817618,644.1400907039642
M3b-014,exp_M3b_low_lambda_eta08,0.25,0.8,3,0.7305,0.26949999999999996,0.7335,0.26649999999999996,-0.22073336632704904,643.8971962928772
M3b-015,exp_M3b_low_lambda_eta08,0.25,0.8,4,0.7275,0.27249999999999996,0.7324,0.26759999999999995,-0.22055684661418457,647.3900156021118
M3b-016,exp_M3b_low_lambda_eta08,0.3,0.8,0,0.7632,0.2368,0.7632,0.2368,-0.28689403899730304,651.1492552757263
M3b-017,exp_M3b_low_lambda_eta08,0.3,0.8,1,0.7456,0.25439999999999996,0.7477,0.25229999999999997,-0.2961472866950053,651.0601003170013
M3b-018,exp_M3b_low_lambda_eta08,0.3,0.8,2,0.7465,0.25349999999999995,0.7474,0.25260000000000005,-0.29725875203194785,650.9649171829224
M3b-019,exp_M3b_low_lambda_eta08,0.3,0.8,3,0.7546,0.24539999999999995,0.757,0.243,-0.29160124274663274,650.6796612739563
M3b-020,exp_M3b_low_lambda_eta08,0.3,0.8,4,0.7611,0.2389,0.7672,0.2328,-0.28877744613577344,650.8341443538666
M3b-021,exp_M3b_low_lambda_eta08,0.35,0.8,0,0.7786,0.22140000000000004,0.7786,0.22140000000000004,-0.36669462395210667,651.04190325737
M3b-022,exp_M3b_low_lambda_eta08,0.35,0.8,1,0.7605,0.23950000000000005,0.7605,0.23950000000000005,-0.3705886811666471,650.6282157897949
M3b-023,exp_M3b_low_lambda_eta08,0.35,0.8,2,0.7517,0.24829999999999997,0.7517,0.24829999999999997,-0.3687524515747246,650.8793241977692
M3b-024,exp_M3b_low_lambda_eta08,0.35,0.8,3,0.7452,0.2548,0.7452,0.2548,-0.3612249169855292,650.3032112121582
M3b-025,exp_M3b_low_lambda_eta08,0.35,0.8,4,0.7715,0.22850000000000004,0.7724,0.22760000000000002,-0.3670760437231322,656.7808339595795
