experiment_id,experiment,lambda,noise_rate,seed,test_acc,test_error,best_acc,best_error,avg_cos_struct_value,time_seconds
N1-001,exp_N1_phase_diagram_low_noise,0.2,0.2,0,0.9008,0.09919999999999995,0.9125,0.08750000000000002,-0.018202207108654524,615.0106408596039
N1-002,exp_N1_phase_diagram_low_noise,0.2,0.2,1,0.9036,0.09640000000000004,0.9111,0.08889999999999998,-0.01727235591757628,623.722683429718
N1-003,exp_N1_phase_diagram_low_noise,0.2,0.2,2,0.8963,0.10370000000000001,0.9149,0.08509999999999995,-0.01782900398020119,622.4685451984406
N1-004,exp_N1_phase_diagram_low_noise,0.2,0.2,3,0.9007,0.09930000000000005,0.9105,0.08950000000000002,-0.01728227587245056,627.7987251281738
N1-005,exp_N1_phase_diagram_low_noise,0.2,0.2,4,0.9018,0.09819999999999995,0.9144,0.08560000000000001,-0.018575409131536547,613.8833022117615
N1-006,exp_N1_phase_diagram_low_noise,0.3,0.2,0,0.9075,0.09250000000000003,0.9094,0.09060000000000001,-0.03896034911249688,613.9041855335236
N1-007,exp_N1_phase_diagram_low_noise,0.3,0.2,1,0.9091,0.09089999999999998,0.9111,0.08889999999999998,-0.04670203145737208,614.1572976112366
N1-008,exp_N1_phase_diagram_low_noise,0.3,0.2,2,0.9102,0.08979999999999999,0.9102,0.08979999999999999,-0.03947776663710008,616.2017974853516
N1-009,exp_N1_phase_diagram_low_noise,0.3,0.2,3,0.9096,0.09040000000000004,0.912,0.08799999999999997,-0.0432076319521002,615.3206460475922
N1-010,exp_N1_phase_diagram_low_noise,0.3,0.2,4,0.909,0.09099999999999997,0.9122,0.08779999999999999,-0.03854209779512484,615.6680686473846
N1-011,exp_N1_phase_diagram_low_noise,0.35,0.2,0,0.9055,0.09450000000000003,0.9069,0.09309999999999996,-0.05562957140940947,615.4969401359558
N1-012,exp_N1_phase_diagram_low_noise,0.35,0.2,1,0.9047,0.09530000000000005,0.9064,0.09360000000000002,-0.05700051805597002,614.2032694816589
N1-013,exp_N1_phase_diagram_low_noise,0.35,0.2,2,0.9034,0.09660000000000002,0.9039,0.09609999999999996,-0.056365397459824385,613.8534755706787
N1-014,exp_N1_phase_diagram_low_noise,0.35,0.2,3,0.9103,0.0897,0.9103,0.0897,-0.059090205124992794,614.3662159442902
N1-015,exp_N1_phase_diagram_low_noise,0.35,0.2,4,0.9033,0.09670000000000001,0.905,0.09499999999999997,-0.05529315427864323,614.4755234718323
N1-016,exp_N1_phase_diagram_low_noise,0.4,0.2,0,0.902,0.09799999999999998,0.9028,0.09719999999999995,-0.05003718796040779,614.647168636322
N1-017,exp_N1_phase_diagram_low_noise,0.4,0.2,1,0.8989,0.10109999999999997,0.8989,0.10109999999999997,-0.051062493213082254,615.0877170562744
N1-018,exp_N1_phase_diagram_low_noise,0.4,0.2,2,0.8959,0.10409999999999997,0.8966,0.10340000000000005,-0.05250413743045946,615.4374713897705
N1-019,exp_N1_phase_diagram_low_noise,0.4,0.2,3,0.8994,0.10060000000000002,0.8994,0.10060000000000002,-0.05141263130437643,621.5653204917908
N1-020,exp_N1_phase_diagram_low_noise,0.4,0.2,4,0.8994,0.10060000000000002,0.8994,0.10060000000000002,-0.05295128630458687,620.5339958667755
N1-021,exp_N1_phase_diagram_low_noise,0.45,0.2,0,0.8854,0.11460000000000004,0.8863,0.11370000000000002,-0.025552975790828873,620.2249248027802
N1-022,exp_N1_phase_diagram_low_noise,0.45,0.2,1,0.8816,0.11839999999999995,0.8833,0.11670000000000003,-0.02803217615183288,619.8419437408447
N1-023,exp_N1_phase_diagram_low_noise,0.45,0.2,2,0.8715,0.12849999999999995,0.8715,0.12849999999999995,-0.028769469943864704,620.3460447788239
N1-024,exp_N1_phase_diagram_low_noise,0.45,0.2,3,0.8854,0.11460000000000004,0.8854,0.11460000000000004,-0.023035363581347973,619.4702920913696
N1-025,exp_N1_phase_diagram_low_noise,0.45,0.2,4,0.8872,0.11280000000000001,0.8875,0.11250000000000004,-0.023489339086289807,619.4121649265289
N1-026,exp_N1_phase_diagram_low_noise,0.5,0.2,0,0.8475,0.15249999999999997,0.8475,0.15249999999999997,0.0007112312044124479,620.2291536331177
N1-027,exp_N1_phase_diagram_low_noise,0.5,0.2,1,0.8475,0.15249999999999997,0.8475,0.15249999999999997,0.0023752684345534547,618.8604519367218
N1-028,exp_N1_phase_diagram_low_noise,0.5,0.2,2,0.842,0.15800000000000003,0.842,0.15800000000000003,0.008524436651096227,620.650048494339
N1-029,exp_N1_phase_diagram_low_noise,0.5,0.2,3,0.818,0.18200000000000005,0.818,0.18200000000000005,0.013688690383055918,618.7733290195465
N1-030,exp_N1_phase_diagram_low_noise,0.5,0.2,4,0.8296,0.1704,0.8296,0.1704,0.009780387459552654,617.1324696540833
N1-031,exp_N1_phase_diagram_low_noise,0.6,0.2,0,0.5932,0.40680000000000005,0.5932,0.40680000000000005,0.12789048046896007,617.3169095516205
N1-032,exp_N1_phase_diagram_low_noise,0.6,0.2,1,0.4182,0.5818,0.4182,0.5818,0.0938577540766221,617.5562345981598
N1-033,exp_N1_phase_diagram_low_noise,0.6,0.2,2,0.3634,0.6366,0.3634,0.6366,0.10052632090744847,620.3002080917358
N1-034,exp_N1_phase_diagram_low_noise,0.6,0.2,3,0.4663,0.5337000000000001,0.4663,0.5337000000000001,0.11041271387335684,620.007643699646
N1-035,exp_N1_phase_diagram_low_noise,0.6,0.2,4,0.4635,0.5365,0.4635,0.5365,0.12376961804055668,618.9687397480011
N1-036,exp_N1_phase_diagram_low_noise,0.2,0.4,0,0.8572,0.14280000000000004,0.8865,0.11350000000000005,-0.05325484093289243,618.8516824245453
N1-037,exp_N1_phase_diagram_low_noise,0.2,0.4,1,0.8495,0.15049999999999997,0.8861,0.1139,-0.052112096742191805,618.1413433551788
N1-038,exp_N1_phase_diagram_low_noise,0.2,0.4,2,0.8617,0.13829999999999998,0.8863,0.11370000000000002,-0.05141465590788031,619.2145051956177
N1-039,exp_N1_phase_diagram_low_noise,0.2,0.4,3,0.8526,0.14739999999999998,0.886,0.11399999999999999,-0.05254489114698103,619.6950027942657
N1-040,exp_N1_phase_diagram_low_noise,0.2,0.4,4,0.8505,0.14949999999999997,0.8838,0.11619999999999997,-0.052084360667193935,619.7830064296722
N1-041,exp_N1_phase_diagram_low_noise,0.3,0.4,0,0.8874,0.11260000000000003,0.8902,0.10980000000000001,-0.1113319156319321,621.605060338974
N1-042,exp_N1_phase_diagram_low_noise,0.3,0.4,1,0.8871,0.1129,0.8889,0.11109999999999998,-0.12602423607536223,625.0258452892303
N1-043,exp_N1_phase_diagram_low_noise,0.3,0.4,2,0.886,0.11399999999999999,0.8926,0.10740000000000005,-0.1154674719879284,627.6467978954315
N1-044,exp_N1_phase_diagram_low_noise,0.3,0.4,3,0.892,0.10799999999999998,0.892,0.10799999999999998,-0.10989662413613704,626.918016910553
N1-045,exp_N1_phase_diagram_low_noise,0.3,0.4,4,0.888,0.11199999999999999,0.8912,0.10880000000000001,-0.10483746418731663,626.0451996326447
N1-046,exp_N1_phase_diagram_low_noise,0.35,0.4,0,0.889,0.11099999999999999,0.8893,0.11070000000000002,-0.16625976400192566,619.7407228946686
N1-047,exp_N1_phase_diagram_low_noise,0.35,0.4,1,0.8843,0.11570000000000003,0.8862,0.11380000000000001,-0.1673636055164553,620.2141427993774
N1-048,exp_N1_phase_diagram_low_noise,0.35,0.4,2,0.8873,0.11270000000000002,0.8889,0.11109999999999998,-0.15917083257448694,620.1803455352783
N1-049,exp_N1_phase_diagram_low_noise,0.35,0.4,3,0.8973,0.10270000000000001,0.8973,0.10270000000000001,-0.16234797031208512,620.4927775859833
N1-050,exp_N1_phase_diagram_low_noise,0.35,0.4,4,0.888,0.11199999999999999,0.8886,0.11140000000000005,-0.16628428249660498,620.1338415145874
N1-051,exp_N1_phase_diagram_low_noise,0.4,0.4,0,0.8812,0.11880000000000002,0.8823,0.11770000000000003,-0.18870128111430826,621.4299161434174
N1-052,exp_N1_phase_diagram_low_noise,0.4,0.4,1,0.88,0.12,0.8802,0.11980000000000002,-0.19287229436962827,621.5619974136353
N1-053,exp_N1_phase_diagram_low_noise,0.4,0.4,2,0.8783,0.12170000000000003,0.8784,0.12160000000000004,-0.1873768479105709,621.7113652229309
N1-054,exp_N1_phase_diagram_low_noise,0.4,0.4,3,0.8813,0.11870000000000003,0.8813,0.11870000000000003,-0.18673567596300303,621.3718047142029
