experiment_id,experiment,lambda,noise_rate,seed,test_acc,test_error,best_acc,best_error,avg_cos_struct_value,time_seconds
N2-001,exp_N2_phase_diagram_high_noise,0.2,0.6,0,0.7822,0.2178,0.8434,0.15659999999999996,-0.09304901636239346,618.7709167003632
N2-002,exp_N2_phase_diagram_high_noise,0.2,0.6,1,0.7814,0.21860000000000002,0.8419,0.15810000000000002,-0.0952310195276812,617.8454484939575
N2-003,exp_N2_phase_diagram_high_noise,0.2,0.6,2,0.7916,0.20840000000000003,0.8518,0.1482,-0.09498802311102805,616.9488365650177
N2-004,exp_N2_phase_diagram_high_noise,0.2,0.6,3,0.7834,0.21660000000000001,0.8437,0.1563,-0.09594177457750387,616.9723587036133
N2-005,exp_N2_phase_diagram_high_noise,0.2,0.6,4,0.7843,0.2157,0.8442,0.15580000000000005,-0.09153155047124258,622.4767642021179
N2-006,exp_N2_phase_diagram_high_noise,0.3,0.6,0,0.8522,0.14780000000000004,0.8567,0.14329999999999998,-0.19806458025856113,617.3847358226776
N2-007,exp_N2_phase_diagram_high_noise,0.3,0.6,1,0.8516,0.14839999999999998,0.8557,0.14429999999999998,-0.19445205564899012,619.0092203617096
N2-008,exp_N2_phase_diagram_high_noise,0.3,0.6,2,0.8544,0.14559999999999995,0.8601,0.13990000000000002,-0.19329902074804814,623.2766103744507
N2-009,exp_N2_phase_diagram_high_noise,0.3,0.6,3,0.8497,0.1503,0.8531,0.14690000000000003,-0.18510983479887438,616.6289291381836
N2-010,exp_N2_phase_diagram_high_noise,0.3,0.6,4,0.8584,0.14159999999999995,0.8638,0.1362,-0.18998887573591083,620.1627810001373
N2-011,exp_N2_phase_diagram_high_noise,0.35,0.6,0,0.8597,0.14029999999999998,0.8625,0.13749999999999996,-0.27212386507082437,614.544427394867
N2-012,exp_N2_phase_diagram_high_noise,0.35,0.6,1,0.8581,0.14190000000000003,0.8598,0.1402,-0.2651378054243232,614.5941200256348
N2-013,exp_N2_phase_diagram_high_noise,0.35,0.6,2,0.8612,0.13880000000000003,0.8627,0.13729999999999998,-0.2690231460837456,617.0490071773529
N2-014,exp_N2_phase_diagram_high_noise,0.35,0.6,3,0.8541,0.14590000000000003,0.8559,0.1441,-0.2682758928298926,618.3383843898773
N2-015,exp_N2_phase_diagram_high_noise,0.35,0.6,4,0.8649,0.1351,0.8649,0.1351,-0.25693832849116566,617.3408608436584
N2-016,exp_N2_phase_diagram_high_noise,0.4,0.6,0,0.8486,0.15139999999999998,0.8507,0.1493,-0.34086395666061137,616.6606068611145
N2-017,exp_N2_phase_diagram_high_noise,0.4,0.6,1,0.8509,0.1491,0.8521,0.14790000000000003,-0.32040748375595113,616.2086248397827
N2-018,exp_N2_phase_diagram_high_noise,0.4,0.6,2,0.859,0.14100000000000001,0.859,0.14100000000000001,-0.31881609048677656,616.2710883617401
N2-019,exp_N2_phase_diagram_high_noise,0.4,0.6,3,0.8534,0.14659999999999995,0.8534,0.14659999999999995,-0.32919089270806995,617.3633654117584
N2-020,exp_N2_phase_diagram_high_noise,0.4,0.6,4,0.8598,0.1402,0.8598,0.1402,-0.32377228736367003,616.8252160549164
