experiment_id,experiment,dataset,lambda,noise_rate,seed,test_acc,test_error,best_acc,best_error,avg_cos_struct_value,time_seconds
O-001,exp_O_cifar100_universality,CIFAR-100,0.2,0.4,0,0.6133,0.38670000000000004,0.648,0.352,-0.007565263295085365,623.3101236820221
O-002,exp_O_cifar100_universality,CIFAR-100,0.2,0.4,1,0.6137,0.3863,0.6524,0.3476,-0.00890511208735869,618.0437262058258
O-003,exp_O_cifar100_universality,CIFAR-100,0.2,0.4,2,0.6031,0.39690000000000003,0.6528,0.34719999999999995,-0.008599160050962663,618.229012966156
O-004,exp_O_cifar100_universality,CIFAR-100,0.2,0.4,3,0.608,0.392,0.6439,0.35609999999999997,-0.00823656035434956,617.4746513366699
O-005,exp_O_cifar100_universality,CIFAR-100,0.2,0.4,4,0.6084,0.39159999999999995,0.6408,0.35919999999999996,-0.0073635803212528115,617.4192495346069
O-006,exp_O_cifar100_universality,CIFAR-100,0.3,0.4,0,0.6567,0.34330000000000005,0.6589,0.34109999999999996,-0.010685350834899464,618.0507664680481
O-007,exp_O_cifar100_universality,CIFAR-100,0.3,0.4,1,0.659,0.34099999999999997,0.6615,0.3385,-0.010857586042375682,617.4458675384521
O-008,exp_O_cifar100_universality,CIFAR-100,0.3,0.4,2,0.6628,0.33720000000000006,0.663,0.33699999999999997,-0.011928297346660073,618.1402344703674
O-009,exp_O_cifar100_universality,CIFAR-100,0.3,0.4,3,0.6583,0.3417,0.6592,0.3408,-0.011396337829036594,617.9451940059662
O-010,exp_O_cifar100_universality,CIFAR-100,0.3,0.4,4,0.6506,0.34940000000000004,0.6537,0.34630000000000005,-0.011057651552241832,618.1980407238007
O-011,exp_O_cifar100_universality,CIFAR-100,0.35,0.4,0,0.651,0.349,0.6517,0.34830000000000005,-0.013308139993033062,617.8550744056702
O-012,exp_O_cifar100_universality,CIFAR-100,0.35,0.4,1,0.6486,0.35140000000000005,0.6486,0.35140000000000005,-0.012779222905026892,617.7103247642517
O-013,exp_O_cifar100_universality,CIFAR-100,0.35,0.4,2,0.6355,0.36450000000000005,0.6355,0.36450000000000005,-0.012163794305494935,617.5563912391663
O-014,exp_O_cifar100_universality,CIFAR-100,0.35,0.4,3,0.6388,0.36119999999999997,0.6388,0.36119999999999997,-0.012482277079854005,617.5930771827698
O-015,exp_O_cifar100_universality,CIFAR-100,0.35,0.4,4,0.6399,0.3601,0.6407,0.35929999999999995,-0.013072239392537037,616.4993584156036
O-016,exp_O_cifar100_universality,CIFAR-100,0.4,0.4,0,0.6084,0.39159999999999995,0.6084,0.39159999999999995,-0.015241000684796092,617.7020683288574
O-017,exp_O_cifar100_universality,CIFAR-100,0.4,0.4,1,0.6339,0.3661,0.6339,0.3661,-0.01703934068701346,616.7975404262543
O-018,exp_O_cifar100_universality,CIFAR-100,0.4,0.4,2,0.6228,0.3772,0.6228,0.3772,-0.023690005468440436,617.3124673366547
O-019,exp_O_cifar100_universality,CIFAR-100,0.4,0.4,3,0.6239,0.3761,0.6239,0.3761,-0.017463410180392647,617.0900173187256
O-020,exp_O_cifar100_universality,CIFAR-100,0.4,0.4,4,0.6026,0.3974,0.6026,0.3974,-0.017394114097762398,617.0258939266205
O-021,exp_O_cifar100_universality,CIFAR-100,0.45,0.4,0,0.6236,0.37639999999999996,0.6246,0.37539999999999996,-0.03418833967468713,617.750324010849
O-022,exp_O_cifar100_universality,CIFAR-100,0.45,0.4,1,0.5637,0.4363,0.5637,0.4363,-0.01837895985993852,617.813642501831
O-023,exp_O_cifar100_universality,CIFAR-100,0.45,0.4,2,0.5655,0.4345,0.5655,0.4345,-0.02191885981862642,617.3393678665161
O-024,exp_O_cifar100_universality,CIFAR-100,0.45,0.4,3,0.576,0.42400000000000004,0.576,0.42400000000000004,-0.021642963083702713,617.326201915741
O-025,exp_O_cifar100_universality,CIFAR-100,0.45,0.4,4,0.5882,0.41180000000000005,0.5882,0.41180000000000005,-0.026066400971762143,616.6342530250549
O-026,exp_O_cifar100_universality,CIFAR-100,0.5,0.4,0,0.5389,0.46109999999999995,0.5389,0.46109999999999995,-0.03348173491260073,618.1443018913269
