experiment_id,experiment,model,lambda,noise_rate,seed,lr,test_acc,test_error,best_acc,best_error,avg_cos_struct_value,time_seconds
P2-001,exp_P2_architecture_vgg_cnn,VGG11,0.15,0.4,0,0.01,0.7684,0.23160000000000003,0.7916,0.20840000000000003,-0.029925161175682922,519.1741459369659
P2-002,exp_P2_architecture_vgg_cnn,VGG11,0.15,0.4,1,0.01,0.7738,0.22619999999999996,0.7932,0.20679999999999998,-0.03138786383644736,518.1675503253937
P2-003,exp_P2_architecture_vgg_cnn,VGG11,0.15,0.4,2,0.01,0.7794,0.22060000000000002,0.7974,0.2026,-0.030101881529189994,518.8490324020386
P2-004,exp_P2_architecture_vgg_cnn,VGG11,0.25,0.4,0,0.01,0.8421,0.15790000000000004,0.8471,0.15290000000000004,-0.050138163830944195,519.4375376701355
P2-005,exp_P2_architecture_vgg_cnn,VGG11,0.25,0.4,1,0.01,0.8449,0.15510000000000002,0.8481,0.15190000000000003,-0.05176056494949562,517.4970109462738
P2-006,exp_P2_architecture_vgg_cnn,VGG11,0.25,0.4,2,0.01,0.8424,0.15759999999999996,0.8464,0.15359999999999996,-0.053781328925423234,519.678551197052
P2-007,exp_P2_architecture_vgg_cnn,VGG11,0.35,0.4,0,0.01,0.8614,0.13859999999999995,0.8622,0.13780000000000003,-0.07444616366097018,517.7366871833801
P2-008,exp_P2_architecture_vgg_cnn,VGG11,0.35,0.4,1,0.01,0.8621,0.13790000000000002,0.8627,0.13729999999999998,-0.07395899941336823,520.5390300750732
P2-009,exp_P2_architecture_vgg_cnn,VGG11,0.35,0.4,2,0.01,0.8634,0.13660000000000005,0.8634,0.13660000000000005,-0.07604667513251748,521.6672637462616
P2-010,exp_P2_architecture_vgg_cnn,VGG11,0.45,0.4,0,0.01,0.8627,0.13729999999999998,0.8632,0.13680000000000003,-0.10545857140731138,545.6681878566742
P2-011,exp_P2_architecture_vgg_cnn,VGG11,0.45,0.4,1,0.01,0.8646,0.13539999999999996,0.8646,0.13539999999999996,-0.1018958669989275,524.249169588089
P2-012,exp_P2_architecture_vgg_cnn,VGG11,0.45,0.4,2,0.01,0.8612,0.13880000000000003,0.8635,0.13649999999999995,-0.1047290866953432,523.4844207763672
P2-013,exp_P2_architecture_vgg_cnn,VGG11,0.55,0.4,0,0.01,0.8503,0.14970000000000006,0.8503,0.14970000000000006,-0.11842527127093563,520.2846961021423
P2-014,exp_P2_architecture_vgg_cnn,VGG11,0.55,0.4,1,0.01,0.857,0.14300000000000002,0.857,0.14300000000000002,-0.1157950397586178,523.7633154392242
P2-015,exp_P2_architecture_vgg_cnn,VGG11,0.55,0.4,2,0.01,0.8559,0.1441,0.8567,0.14329999999999998,-0.11472139901178577,520.7837882041931
P2-016,exp_P2_architecture_vgg_cnn,VGG11,0.65,0.4,0,0.01,0.83,0.17000000000000004,0.8303,0.16969999999999996,-0.10223531636268694,522.251829624176
P2-017,exp_P2_architecture_vgg_cnn,VGG11,0.65,0.4,1,0.01,0.8388,0.1612,0.8388,0.1612,-0.09938564567470314,520.3387069702148
P2-018,exp_P2_architecture_vgg_cnn,VGG11,0.65,0.4,2,0.01,0.8336,0.1664,0.8352,0.16479999999999995,-0.10363148609302199,522.104560136795
P2-019,exp_P2_architecture_vgg_cnn,SimpleCNN,0.15,0.4,0,0.01,0.8289,0.17110000000000003,0.8289,0.17110000000000003,-0.07136485836800657,517.7534027099609
P2-020,exp_P2_architecture_vgg_cnn,SimpleCNN,0.15,0.4,1,0.01,0.8295,0.17049999999999998,0.8315,0.16849999999999998,-0.07065006038772888,521.0383443832397
P2-021,exp_P2_architecture_vgg_cnn,SimpleCNN,0.15,0.4,2,0.01,0.828,0.17200000000000004,0.828,0.17200000000000004,-0.07020452339589572,520.3246581554413
P2-022,exp_P2_architecture_vgg_cnn,SimpleCNN,0.25,0.4,0,0.01,0.8301,0.16990000000000005,0.8301,0.16990000000000005,-0.13268462934870123,520.5182557106018
P2-023,exp_P2_architecture_vgg_cnn,SimpleCNN,0.25,0.4,1,0.01,0.8317,0.1683,0.8325,0.16749999999999998,-0.13280994613684016,519.835401058197
