experiment_id,experiment,model,lambda,noise_rate,seed,test_acc,test_error,best_acc,best_error,avg_cos_struct_value,time_seconds
P-001,exp_P_architecture_universality,ResNet18,0.15,0.4,0,0.8196,0.1804,0.881,0.119,-0.0329009594032332,632.0321974754333
P-002,exp_P_architecture_universality,ResNet18,0.15,0.4,1,0.8193,0.18069999999999997,0.8835,0.11650000000000005,-0.03063076782946845,629.2023186683655
P-003,exp_P_architecture_universality,ResNet18,0.15,0.4,2,0.8157,0.18430000000000002,0.8831,0.1169,-0.03167329268338262,628.9628248214722
P-004,exp_P_architecture_universality,ResNet18,0.25,0.4,0,0.87,0.13,0.8855,0.11450000000000005,-0.0760908479004746,628.4648668766022
P-005,exp_P_architecture_universality,ResNet18,0.25,0.4,1,0.8744,0.12560000000000004,0.8841,0.1159,-0.08058198443499917,629.2927193641663
P-006,exp_P_architecture_universality,ResNet18,0.25,0.4,2,0.8786,0.12139999999999995,0.8899,0.11009999999999998,-0.07634004992385132,628.6260244846344
P-007,exp_P_architecture_universality,ResNet18,0.35,0.4,0,0.8866,0.11339999999999995,0.8891,0.1109,-0.1611757293204562,617.2017114162445
P-008,exp_P_architecture_universality,ResNet18,0.35,0.4,1,0.884,0.11599999999999999,0.8869,0.11309999999999998,-0.16739359039616564,619.2310423851013
P-009,exp_P_architecture_universality,ResNet18,0.35,0.4,2,0.8865,0.11350000000000005,0.8865,0.11350000000000005,-0.15019130101748623,620.8271591663361
P-010,exp_P_architecture_universality,ResNet18,0.45,0.4,0,0.8586,0.14139999999999997,0.8586,0.14139999999999997,-0.15871053798465082,619.9954700469971
P-011,exp_P_architecture_universality,ResNet18,0.45,0.4,1,0.8564,0.14359999999999995,0.8564,0.14359999999999995,-0.15290385140617713,620.302304983139
P-012,exp_P_architecture_universality,ResNet18,0.45,0.4,2,0.8651,0.13490000000000002,0.8651,0.13490000000000002,-0.15732928246856095,618.4772992134094
P-013,exp_P_architecture_universality,ResNet18,0.55,0.4,0,0.5848,0.4152,0.5848,0.4152,0.012929460120638113,618.1480691432953
P-014,exp_P_architecture_universality,ResNet18,0.55,0.4,1,0.4818,0.5182,0.4818,0.5182,0.012524320752094262,618.0124185085297
P-015,exp_P_architecture_universality,ResNet18,0.55,0.4,2,0.6404,0.35960000000000003,0.6404,0.35960000000000003,0.02122820242368975,618.4319460391998
P-016,exp_P_architecture_universality,ResNet18,0.65,0.4,0,0.1,0.9,0.1537,0.8463,0.1729722149518635,618.0567767620087
