experiment_id,experiment,width_mult,noise_rate,lambda,seed,test_acc,test_error,best_acc,best_error,avg_cos_struct_value,time_seconds
Q1b-001,exp_Q1b_finite_size_scaling,1.0,0.4,0.42,0,0.8734,0.12660000000000005,0.8734,0.12660000000000005,-0.17755769187831605,648.3178761005402
Q1b-002,exp_Q1b_finite_size_scaling,1.0,0.4,0.42,1,0.8756,0.12439999999999996,0.8756,0.12439999999999996,-0.18317280397401783,648.8548321723938
Q1b-003,exp_Q1b_finite_size_scaling,1.0,0.4,0.42,2,0.8763,0.12370000000000003,0.8763,0.12370000000000003,-0.18374197716136906,649.184513092041
Q1b-004,exp_Q1b_finite_size_scaling,1.0,0.4,0.42,3,0.8746,0.12539999999999996,0.8746,0.12539999999999996,-0.17653313403529808,650.7321765422821
Q1b-005,exp_Q1b_finite_size_scaling,1.0,0.4,0.42,4,0.8755,0.12450000000000006,0.8756,0.12439999999999996,-0.17668205927285885,650.9525928497314
Q1b-006,exp_Q1b_finite_size_scaling,1.0,0.4,0.42,5,0.8771,0.12290000000000001,0.879,0.121,-0.18742908768741912,651.5121579170227
Q1b-007,exp_Q1b_finite_size_scaling,1.0,0.4,0.42,6,0.8717,0.12829999999999997,0.8717,0.12829999999999997,-0.18310794140935083,650.1306281089783
Q1b-008,exp_Q1b_finite_size_scaling,1.0,0.4,0.42,7,0.8804,0.11960000000000004,0.8804,0.11960000000000004,-0.18445453861167324,650.8396053314209
Q1b-009,exp_Q1b_finite_size_scaling,1.0,0.4,0.42,8,0.878,0.122,0.878,0.122,-0.17569993950995588,651.8114306926727
Q1b-010,exp_Q1b_finite_size_scaling,1.0,0.4,0.42,9,0.876,0.124,0.876,0.124,-0.18079424988317164,665.8937351703644
Q1b-011,exp_Q1b_finite_size_scaling,1.0,0.4,0.44,0,0.8602,0.13980000000000004,0.8602,0.13980000000000004,-0.16688653413857313,651.3940014839172
Q1b-012,exp_Q1b_finite_size_scaling,1.0,0.4,0.44,1,0.869,0.131,0.869,0.131,-0.16171280493441262,652.0187337398529
Q1b-013,exp_Q1b_finite_size_scaling,1.0,0.4,0.44,2,0.8729,0.1271,0.8729,0.1271,-0.1593001170329481,651.599538564682
Q1b-014,exp_Q1b_finite_size_scaling,1.0,0.4,0.44,3,0.868,0.132,0.868,0.132,-0.1590368554772624,651.7739946842194
Q1b-015,exp_Q1b_finite_size_scaling,1.0,0.4,0.44,4,0.8687,0.13129999999999997,0.8687,0.13129999999999997,-0.16506391242629972,651.6718819141388
Q1b-016,exp_Q1b_finite_size_scaling,1.0,0.4,0.44,5,0.8702,0.12980000000000003,0.8702,0.12980000000000003,-0.17344478304431965,651.6417729854584
Q1b-017,exp_Q1b_finite_size_scaling,1.0,0.4,0.44,6,0.8688,0.13119999999999998,0.8688,0.13119999999999998,-0.16083628279359818,651.43310713768
