experiment_id,experiment,width_mult,noise_rate,lambda,seed,test_acc,test_error,best_acc,best_error,avg_cos_struct_value,time_seconds
Q1c2-001,exp_Q1c2_finite_size_scaling,2.0,0.8,0.38,0,0.7819,0.21809999999999996,0.7819,0.21809999999999996,-0.42023629927214196,5578.623388290405
Q1c2-002,exp_Q1c2_finite_size_scaling,2.0,0.8,0.38,1,0.7632,0.2368,0.7632,0.2368,-0.4203602442948138,5569.9036185741425
Q1c2-003,exp_Q1c2_finite_size_scaling,2.0,0.8,0.38,2,0.7853,0.2147,0.7853,0.2147,-0.42079482566038434,1236.2361369132996
Q1c2-004,exp_Q1c2_finite_size_scaling,2.0,0.8,0.38,3,0.7934,0.2066,0.7934,0.2066,-0.4097787790800141,1234.3789374828339
Q1c2-005,exp_Q1c2_finite_size_scaling,2.0,0.8,0.38,4,0.7947,0.20530000000000004,0.7947,0.20530000000000004,-0.4072011153480603,1239.1703419685364
Q1c2-006,exp_Q1c2_finite_size_scaling,2.0,0.8,0.38,5,0.791,0.20899999999999996,0.791,0.20899999999999996,-0.4127746083818339,1239.73033618927
Q1c2-007,exp_Q1c2_finite_size_scaling,2.0,0.8,0.38,6,0.7612,0.2388,0.7612,0.2388,-0.4156648509861421,1239.6140305995941
Q1c2-008,exp_Q1c2_finite_size_scaling,2.0,0.8,0.38,7,0.7826,0.21740000000000004,0.7826,0.21740000000000004,-0.4148808626983344,1239.994072675705
Q1c2-009,exp_Q1c2_finite_size_scaling,2.0,0.8,0.38,8,0.7719,0.22809999999999997,0.7719,0.22809999999999997,-0.41378872256688015,1241.1323280334473
Q1c2-010,exp_Q1c2_finite_size_scaling,2.0,0.8,0.38,9,0.7872,0.2128,0.7872,0.2128,-0.40734967477163486,1240.3699457645416
