experiment_id,experiment,lr,noise_rate,lambda,seed,test_acc,test_error,best_acc,best_error,avg_cos_struct_value,time_seconds
Q3a-001,exp_Q3a_lr_lambda_interaction,0.05,0.4,0.3,0,0.8982,0.1018,0.9025,0.09750000000000003,-0.07332478977985261,607.4041471481323
Q3a-002,exp_Q3a_lr_lambda_interaction,0.05,0.4,0.3,1,0.8931,0.1069,0.8969,0.10309999999999997,-0.07840094707785376,608.0660901069641
Q3a-003,exp_Q3a_lr_lambda_interaction,0.05,0.4,0.3,2,0.8936,0.10640000000000005,0.898,0.10199999999999998,-0.07979915923302654,608.2511398792267
Q3a-004,exp_Q3a_lr_lambda_interaction,0.05,0.4,0.3,3,0.896,0.10399999999999998,0.8985,0.10150000000000003,-0.07824141602924158,607.7447218894958
Q3a-005,exp_Q3a_lr_lambda_interaction,0.05,0.4,0.3,4,0.8963,0.10370000000000001,0.8979,0.10209999999999997,-0.07919259168606932,607.8034453392029
Q3a-006,exp_Q3a_lr_lambda_interaction,0.05,0.4,0.35,0,0.9008,0.09919999999999995,0.9039,0.09609999999999996,-0.10763975142261041,606.6618371009827
Q3a-007,exp_Q3a_lr_lambda_interaction,0.05,0.4,0.35,1,0.9022,0.0978,0.9022,0.0978,-0.10392240433148002,622.115371465683
Q3a-008,exp_Q3a_lr_lambda_interaction,0.05,0.4,0.35,2,0.9025,0.09750000000000003,0.9025,0.09750000000000003,-0.1026136036606729,614.0310912132263
Q3a-009,exp_Q3a_lr_lambda_interaction,0.05,0.4,0.35,3,0.9007,0.09930000000000005,0.901,0.09899999999999998,-0.10672754622941508,609.7002816200256
Q3a-010,exp_Q3a_lr_lambda_interaction,0.05,0.4,0.35,4,0.8972,0.1028,0.8988,0.10119999999999996,-0.10858702423731971,608.0960607528687
Q3a-011,exp_Q3a_lr_lambda_interaction,0.05,0.4,0.45,0,0.8935,0.10650000000000004,0.8937,0.10629999999999995,-0.1647307929738124,608.9190785884857
Q3a-012,exp_Q3a_lr_lambda_interaction,0.05,0.4,0.45,1,0.8865,0.11350000000000005,0.8865,0.11350000000000005,-0.16503246313114223,609.4157881736755
Q3a-013,exp_Q3a_lr_lambda_interaction,0.05,0.4,0.45,2,0.8884,0.11160000000000003,0.8884,0.11160000000000003,-0.15035099346414318,609.3439016342163
Q3a-014,exp_Q3a_lr_lambda_interaction,0.05,0.4,0.45,3,0.8913,0.10870000000000002,0.8913,0.10870000000000002,-0.15260074975234528,608.9709932804108
Q3a-015,exp_Q3a_lr_lambda_interaction,0.05,0.4,0.45,4,0.8873,0.11270000000000002,0.8879,0.11209999999999998,-0.14010385081764162,610.4060838222504
Q3a-016,exp_Q3a_lr_lambda_interaction,0.05,0.4,0.5,0,0.8754,0.12460000000000004,0.8761,0.12390000000000001,-0.1779050727754508,607.9247922897339
Q3a-017,exp_Q3a_lr_lambda_interaction,0.05,0.4,0.5,1,0.8759,0.12409999999999999,0.8759,0.12409999999999999,-0.1626836402543015,609.9608743190765
Q3a-018,exp_Q3a_lr_lambda_interaction,0.05,0.4,0.5,2,0.8794,0.12060000000000004,0.8794,0.12060000000000004,-0.1667679336730555,609.6073262691498
Q3a-019,exp_Q3a_lr_lambda_interaction,0.05,0.4,0.5,3,0.8713,0.12870000000000004,0.8718,0.12819999999999998,-0.15084993632563465,607.1884882450104
Q3a-020,exp_Q3a_lr_lambda_interaction,0.05,0.4,0.5,4,0.8765,0.12350000000000005,0.8765,0.12350000000000005,-0.1354077449257186,606.2298476696014
Q3a-021,exp_Q3a_lr_lambda_interaction,0.05,0.4,0.6,0,0.86,0.14,0.86,0.14,-0.13910949632305977,606.3622374534607
