experiment_id,noise_rate,sweep_type,seed,step_idx,direction,lambda,test_error,test_acc,avg_cos
R1a-001,0.4,fast,0,0,up,0.2,0.6565,0.3435,-0.13107088580252413
R1a-001,0.4,fast,0,1,up,0.22,0.5928,0.4072,-0.15377192400699977
R1a-001,0.4,fast,0,2,up,0.24,0.5916,0.4084,-0.16437559226071652
R1a-001,0.4,fast,0,3,up,0.26,0.526,0.474,-0.1779098004501845
R1a-001,0.4,fast,0,4,up,0.28,0.38049999999999995,0.6195,-0.1783777549055082
R1a-001,0.4,fast,0,5,up,0.3,0.46609999999999996,0.5339,-0.20419962962196037
R1a-001,0.4,fast,0,6,up,0.32,0.43779999999999997,0.5622,-0.20872706112960276
R1a-001,0.4,fast,0,7,up,0.34,0.40349999999999997,0.5965,-0.22459978473192194
R1a-001,0.4,fast,0,8,up,0.36,0.38260000000000005,0.6174,-0.2473888309548932
R1a-001,0.4,fast,0,9,up,0.38,0.36939999999999995,0.6306,-0.23978657580493967
R1a-001,0.4,fast,0,10,up,0.4,0.43610000000000004,0.5639,-0.18973113168316075
R1a-001,0.4,fast,0,11,up,0.42,0.562,0.438,-0.1603759974692663
R1a-001,0.4,fast,0,12,up,0.43,0.43479999999999996,0.5652,-0.13810349663491456
R1a-001,0.4,fast,0,13,up,0.44,0.4615,0.5385,-0.14397171862204844
R1a-001,0.4,fast,0,14,up,0.45,0.4807,0.5193,-0.11659791934950163
R1a-001,0.4,fast,0,15,up,0.46,0.47909999999999997,0.5209,-0.10914263245412054
R1a-001,0.4,fast,0,16,up,0.47,0.4252,0.5748,-0.08648355047239883
R1a-001,0.4,fast,0,17,up,0.48,0.45740000000000003,0.5426,-0.07241149310364711
R1a-001,0.4,fast,0,18,up,0.49,0.3932,0.6068,-0.09359875505752101
R1a-001,0.4,fast,0,19,up,0.5,0.511,0.489,-0.06766752624760705
R1a-001,0.4,fast,0,20,up,0.51,0.39449999999999996,0.6055,-0.043218261652569076
R1a-001,0.4,fast,0,21,up,0.52,0.45409999999999995,0.5459,-0.06527925280222137
R1a-001,0.4,fast,0,22,up,0.53,0.4013,0.5987,-0.05645737605055376
