experiment_id,noise_rate,sweep_type,seed,step_idx,direction,lambda,test_error,test_acc,avg_cos
R1b-001,0.4,slow,0,0,up,0.2,0.4002,0.5998,-0.1235509090712389
R1b-001,0.4,slow,0,1,up,0.22,0.3154,0.6846,-0.13565121920795978
R1b-001,0.4,slow,0,2,up,0.24,0.29179999999999995,0.7082,-0.08510203887672847
R1b-001,0.4,slow,0,3,up,0.26,0.36,0.64,-0.09770344653670505
R1b-001,0.4,slow,0,4,up,0.28,0.3177,0.6823,-0.09234548619489794
R1b-001,0.4,slow,0,5,up,0.3,0.2499,0.7501,-0.0995044235867087
R1b-001,0.4,slow,0,6,up,0.32,0.2318,0.7682,-0.10234755588747675
R1b-001,0.4,slow,0,7,up,0.34,0.33599999999999997,0.664,-0.11541690664634356
R1b-001,0.4,slow,0,8,up,0.36,0.2954,0.7046,-0.10313275910388887
R1b-001,0.4,slow,0,9,up,0.38,0.24029999999999996,0.7597,-0.0907361027523305
R1b-001,0.4,slow,0,10,up,0.4,0.12760000000000005,0.8724,-0.1840014252882945
R1b-001,0.4,slow,0,11,up,0.42,0.11780000000000002,0.8822,-0.15652636993600397
R1b-001,0.4,slow,0,12,up,0.43,0.11529999999999996,0.8847,-0.15382122755886948
R1b-001,0.4,slow,0,13,up,0.44,0.11529999999999996,0.8847,-0.11956867721996137
R1b-001,0.4,slow,0,14,up,0.45,0.11399999999999999,0.886,-0.1151283752097159
R1b-001,0.4,slow,0,15,up,0.46,0.09860000000000002,0.9014,-0.1341999274089324
R1b-001,0.4,slow,0,16,up,0.47,0.09599999999999997,0.904,-0.13437050780547516
R1b-001,0.4,slow,0,17,up,0.48,0.09809999999999997,0.9019,-0.1321606193954239
R1b-001,0.4,slow,0,18,up,0.49,0.0978,0.9022,-0.13496790944399045
R1b-001,0.4,slow,0,19,up,0.5,0.09660000000000002,0.9034,-0.12560389895581317
R1b-001,0.4,slow,0,20,up,0.51,0.09250000000000003,0.9075,-0.11318070625135561
R1b-001,0.4,slow,0,21,up,0.52,0.09609999999999996,0.9039,-0.11222332514518378
R1b-001,0.4,slow,0,22,up,0.53,0.09560000000000002,0.9044,-0.12168393859269136
R1b-001,0.4,slow,0,23,up,0.54,0.09450000000000003,0.9055,-0.10838725389817691
R1b-001,0.4,slow,0,24,up,0.55,0.09460000000000002,0.9054,-0.10509425187032023
R1b-001,0.4,slow,0,25,up,0.56,0.09570000000000001,0.9043,-0.10851579182424906
R1b-001,0.4,slow,0,26,up,0.57,0.09509999999999996,0.9049,-0.09720527840189028
R1b-001,0.4,slow,0,27,up,0.58,0.09340000000000004,0.9066,-0.10267177549646977
R1b-001,0.4,slow,0,28,up,0.6,0.09389999999999998,0.9061,-0.09212253122752039
R1b-001,0.4,slow,0,29,up,0.62,0.0947,0.9053,-0.08471107379324277
R1b-001,0.4,slow,0,30,up,0.64,0.09550000000000003,0.9045,-0.08206859584755208
R1b-001,0.4,slow,0,31,down,0.63,0.09509999999999996,0.9049,-0.08642283202462582
R1b-001,0.4,slow,0,32,down,0.61,0.09950000000000003,0.9005,-0.08973173111349306
R1b-001,0.4,slow,0,33,down,0.59,0.09450000000000003,0.9055,-0.095700667354953
R1b-001,0.4,slow,0,34,down,0.57,0.09419999999999995,0.9058,-0.0929134601218702
R1b-001,0.4,slow,0,35,down,0.56,0.09309999999999996,0.9069,-0.09929784560309989
R1b-001,0.4,slow,0,36,down,0.55,0.09709999999999996,0.9029,-0.09456659778382401
R1b-001,0.4,slow,0,37,down,0.54,0.09189999999999998,0.9081,-0.09425768939474104
R1b-001,0.4,slow,0,38,down,0.53,0.09599999999999997,0.904,-0.09410625547930902
R1b-001,0.4,slow,0,39,down,0.52,0.09560000000000002,0.9044,-0.08744866886575307
R1b-001,0.4,slow,0,40,down,0.51,0.09179999999999999,0.9082,-0.0848940917307378
R1b-001,0.4,slow,0,41,down,0.5,0.09460000000000002,0.9054,-0.09787320605555207
R1b-001,0.4,slow,0,42,down,0.49,0.09440000000000004,0.9056,-0.0921054476223487
R1b-001,0.4,slow,0,43,down,0.48,0.09640000000000004,0.9036,-0.09690661994711858
R1b-001,0.4,slow,0,44,down,0.47,0.09919999999999995,0.9008,-0.09495205991682881
R1b-001,0.4,slow,0,45,down,0.46,0.09640000000000004,0.9036,-0.09078894371204839
R1b-001,0.4,slow,0,46,down,0.45,0.09630000000000005,0.9037,-0.08745405109295128
R1b-001,0.4,slow,0,47,down,0.44,0.09930000000000005,0.9007,-0.09567794463792055
R1b-001,0.4,slow,0,48,down,0.43,0.09840000000000004,0.9016,-0.0965695705571288
R1b-001,0.4,slow,0,49,down,0.42,0.09919999999999995,0.9008,-0.08377319280347996
R1b-001,0.4,slow,0,50,down,0.4,0.10050000000000003,0.8995,-0.08924870004839434
R1b-001,0.4,slow,0,51,down,0.38,0.10119999999999996,0.8988,-0.07713580793910185
R1b-001,0.4,slow,0,52,down,0.36,0.10309999999999997,0.8969,-0.07728956614345388
R1b-001,0.4,slow,0,53,down,0.34,0.10270000000000001,0.8973,-0.07874239255776344
R1b-001,0.4,slow,0,54,down,0.32,0.10509999999999997,0.8949,-0.072849476721841
R1b-001,0.4,slow,0,55,down,0.3,0.1079,0.8921,-0.06750955226432
R1b-001,0.4,slow,0,56,down,0.28,0.10880000000000001,0.8912,-0.06962367651297482
R1b-001,0.4,slow,0,57,down,0.26,0.11150000000000004,0.8885,-0.06591650454935674
R1b-001,0.4,slow,0,58,down,0.24,0.11429999999999996,0.8857,-0.05633486263461088
R1b-001,0.4,slow,0,59,down,0.22,0.11699999999999999,0.883,-0.05231047000341611
R1b-002,0.4,slow,1,0,up,0.2,0.40469999999999995,0.5953,-0.11459950470170767
R1b-002,0.4,slow,1,1,up,0.22,0.34240000000000004,0.6576,-0.12681191702960154
R1b-002,0.4,slow,1,2,up,0.24,0.3964,0.6036,-0.09110255863687394
R1b-002,0.4,slow,1,3,up,0.26,0.31679999999999997,0.6832,-0.08941761826400227
R1b-002,0.4,slow,1,4,up,0.28,0.2602,0.7398,-0.07693146129271813
R1b-002,0.4,slow,1,5,up,0.3,0.29969999999999997,0.7003,-0.10306499486287808
R1b-002,0.4,slow,1,6,up,0.32,0.2679,0.7321,-0.10703765227202783
R1b-002,0.4,slow,1,7,up,0.34,0.30369999999999997,0.6963,-0.10418457588019343
R1b-002,0.4,slow,1,8,up,0.36,0.25239999999999996,0.7476,-0.09645252706535275
R1b-002,0.4,slow,1,9,up,0.38,0.2378,0.7622,-0.08914817051904998
R1b-002,0.4,slow,1,10,up,0.4,0.127,0.873,-0.16791747831644452
R1b-002,0.4,slow,1,11,up,0.42,0.11739999999999995,0.8826,-0.1516423311312588
R1b-002,0.4,slow,1,12,up,0.43,0.11339999999999995,0.8866,-0.13075012788746734
R1b-002,0.4,slow,1,13,up,0.44,0.11570000000000003,0.8843,-0.1233438938399967
R1b-002,0.4,slow,1,14,up,0.45,0.11280000000000001,0.8872,-0.10675321393456234
R1b-002,0.4,slow,1,15,up,0.46,0.09889999999999999,0.9011,-0.13634591673177723
R1b-002,0.4,slow,1,16,up,0.47,0.09650000000000003,0.9035,-0.1407261737147156
R1b-002,0.4,slow,1,17,up,0.48,0.09750000000000003,0.9025,-0.1241066757665605
R1b-002,0.4,slow,1,18,up,0.49,0.09760000000000002,0.9024,-0.12394778499123166
R1b-002,0.4,slow,1,19,up,0.5,0.09719999999999995,0.9028,-0.11970792999918743
R1b-002,0.4,slow,1,20,up,0.51,0.09499999999999997,0.905,-0.11755882090727361
R1b-002,0.4,slow,1,21,up,0.52,0.09619999999999995,0.9038,-0.11318502741229093
R1b-002,0.4,slow,1,22,up,0.53,0.09519999999999995,0.9048,-0.10999705014769368
R1b-002,0.4,slow,1,23,up,0.54,0.09509999999999996,0.9049,-0.104188891296389
R1b-002,0.4,slow,1,24,up,0.55,0.09340000000000004,0.9066,-0.09976906731857785
R1b-002,0.4,slow,1,25,up,0.56,0.09419999999999995,0.9058,-0.0992833594886624
R1b-002,0.4,slow,1,26,up,0.57,0.09440000000000004,0.9056,-0.09692890577170314
R1b-002,0.4,slow,1,27,up,0.58,0.09230000000000005,0.9077,-0.08833320179897151
R1b-002,0.4,slow,1,28,up,0.6,0.09389999999999998,0.9061,-0.08753615069412152
R1b-002,0.4,slow,1,29,up,0.62,0.0937,0.9063,-0.0833711702096257
R1b-002,0.4,slow,1,30,up,0.64,0.09030000000000005,0.9097,-0.07540265291130968
R1b-002,0.4,slow,1,31,down,0.63,0.09240000000000004,0.9076,-0.08055948530684928
R1b-002,0.4,slow,1,32,down,0.61,0.09240000000000004,0.9076,-0.07594152838847011
R1b-002,0.4,slow,1,33,down,0.59,0.0937,0.9063,-0.0921180911780316
