experiment_id,noise_rate,sweep_type,seed,step_idx,direction,lambda,test_error,avg_cos
R2a-001,0.8,fast,0,0,up,0.2,0.8495,-0.1319100617203025
R2a-001,0.8,fast,0,1,up,0.22,0.808,-0.12147297668128218
R2a-001,0.8,fast,0,2,up,0.24,0.7758,-0.20874106482251034
R2a-001,0.8,fast,0,3,up,0.26,0.7977,-0.2472741272281475
R2a-001,0.8,fast,0,4,up,0.28,0.7471,-0.26641725109205866
R2a-001,0.8,fast,0,5,up,0.3,0.7087,-0.33507856859692503
R2a-001,0.8,fast,0,6,up,0.32,0.7306,-0.3689918215671668
R2a-001,0.8,fast,0,7,up,0.34,0.6816,-0.37443803460812386
R2a-001,0.8,fast,0,8,up,0.36,0.6956,-0.42528077270075376
R2a-001,0.8,fast,0,9,up,0.38,0.6602,-0.46311073162954075
R2a-001,0.8,fast,0,10,up,0.39,0.6666000000000001,-0.4438868120350704
R2a-001,0.8,fast,0,11,up,0.4,0.6583,-0.4852878358025028
R2a-001,0.8,fast,0,12,up,0.41,0.6869000000000001,-0.37658832742053333
R2a-001,0.8,fast,0,13,up,0.42,0.6645,-0.4272719507238695
R2a-001,0.8,fast,0,14,up,0.43,0.6954,-0.3561014230458104
R2a-001,0.8,fast,0,15,up,0.44,0.745,-0.4258300630774881
R2a-001,0.8,fast,0,16,up,0.45,0.7157,-0.3347870690405977
R2a-001,0.8,fast,0,17,up,0.46,0.6968,-0.3494020452418802
R2a-001,0.8,fast,0,18,up,0.47,0.6332,-0.39569440972516123
R2a-001,0.8,fast,0,19,up,0.48,0.6946,-0.40120788875311536
R2a-001,0.8,fast,0,20,up,0.49,0.7387,-0.2716469066977805
R2a-001,0.8,fast,0,21,up,0.5,0.6779999999999999,-0.2500269900869616
R2a-001,0.8,fast,0,22,up,0.51,0.7025,-0.275731925272896
R2a-001,0.8,fast,0,23,up,0.52,0.7514000000000001,-0.24211684107894496
R2a-001,0.8,fast,0,24,up,0.53,0.7782,-0.38351731339935213
R2a-001,0.8,fast,0,25,up,0.54,0.6773,-0.1993713224192663
R2a-001,0.8,fast,0,26,up,0.56,0.8121,-0.17371358532382516
R2a-001,0.8,fast,0,27,up,0.58,0.7643,-0.17217143884460842
R2a-001,0.8,fast,0,28,up,0.6,0.8094,-0.22250052434107176
R2a-001,0.8,fast,0,29,up,0.62,0.8812,0.07624616832187285
R2a-001,0.8,fast,0,30,up,0.64,0.8837,0.1924008360816812
R2a-001,0.8,fast,0,31,down,0.63,0.8703,0.1410472634134396
R2a-001,0.8,fast,0,32,down,0.61,0.8914,0.19313459332476426
R2a-001,0.8,fast,0,33,down,0.59,0.9,0.15978402011001444
R2a-001,0.8,fast,0,34,down,0.57,0.9,0.17741106207273444
R2a-001,0.8,fast,0,35,down,0.55,0.9,0.22116306005283354
R2a-001,0.8,fast,0,36,down,0.53,0.9,0.18673593705348976
R2a-001,0.8,fast,0,37,down,0.52,0.9,0.20685165322846638
R2a-001,0.8,fast,0,38,down,0.51,0.9,0.2691167366443848
R2a-001,0.8,fast,0,39,down,0.5,0.9,0.18012374588193333
R2a-001,0.8,fast,0,40,down,0.49,0.9,0.2537174254361236
R2a-001,0.8,fast,0,41,down,0.48,0.9,0.24382263623006947
R2a-001,0.8,fast,0,42,down,0.47,0.9,0.21293920203948355
R2a-001,0.8,fast,0,43,down,0.46,0.9,0.17198246046520618
R2a-001,0.8,fast,0,44,down,0.45,0.9,0.23487095617242537
R2a-001,0.8,fast,0,45,down,0.44,0.9,0.13112204938138627
R2a-001,0.8,fast,0,46,down,0.43,0.9,0.1961769858542687
R2a-001,0.8,fast,0,47,down,0.42,0.8411,0.05840351158867077
R2a-001,0.8,fast,0,48,down,0.41,0.7851,-0.05481406413398835
R2a-001,0.8,fast,0,49,down,0.4,0.8297,-0.09415725078813884
R2a-001,0.8,fast,0,50,down,0.39,0.7953,-0.3469820759468237
R2a-001,0.8,fast,0,51,down,0.38,0.8073,-0.3779356164753209
R2a-001,0.8,fast,0,52,down,0.36,0.7536,-0.36585730076672474
R2a-001,0.8,fast,0,53,down,0.34,0.7615000000000001,-0.32880803281251264
R2a-001,0.8,fast,0,54,down,0.32,0.7392000000000001,-0.29955225930150065
R2a-001,0.8,fast,0,55,down,0.3,0.7136,-0.21820707170872436
R2a-001,0.8,fast,0,56,down,0.28,0.7348,-0.17520699771691342
R2a-001,0.8,fast,0,57,down,0.26,0.7465999999999999,-0.18868934513753927
R2a-001,0.8,fast,0,58,down,0.24,0.737,-0.17948019739991167
R2a-001,0.8,fast,0,59,down,0.22,0.7121,-0.11451207968995583
R2a-002,0.8,fast,1,0,up,0.2,0.8543000000000001,-0.11863145620410083
R2a-002,0.8,fast,1,1,up,0.22,0.7786,-0.12653694347459443
R2a-002,0.8,fast,1,2,up,0.24,0.7852,-0.22340118814240761
R2a-002,0.8,fast,1,3,up,0.26,0.7537,-0.28323574586562356
R2a-002,0.8,fast,1,4,up,0.28,0.7709,-0.2785302546761493
R2a-002,0.8,fast,1,5,up,0.3,0.8023,-0.309786994896392
R2a-002,0.8,fast,1,6,up,0.32,0.7089,-0.36096091419743487
R2a-002,0.8,fast,1,7,up,0.34,0.8126,-0.36823789445607336
R2a-002,0.8,fast,1,8,up,0.36,0.6760999999999999,-0.3797895588094787
R2a-002,0.8,fast,1,9,up,0.38,0.6839,-0.42667653336550815
R2a-002,0.8,fast,1,10,up,0.39,0.7067,-0.47037889665866994
R2a-002,0.8,fast,1,11,up,0.4,0.6818,-0.4080999998318754
R2a-002,0.8,fast,1,12,up,0.41,0.6256999999999999,-0.41122317418684157
R2a-002,0.8,fast,1,13,up,0.42,0.6545000000000001,-0.39859551348134264
R2a-002,0.8,fast,1,14,up,0.43,0.7150000000000001,-0.40436377806817086
R2a-002,0.8,fast,1,15,up,0.44,0.7097,-0.3900083603850585
R2a-002,0.8,fast,1,16,up,0.45,0.657,-0.3521638996328931
R2a-002,0.8,fast,1,17,up,0.46,0.5880000000000001,-0.4006609072034456
R2a-002,0.8,fast,1,18,up,0.47,0.644,-0.41771212088096205
R2a-002,0.8,fast,1,19,up,0.48,0.6852,-0.38483544588279056
R2a-002,0.8,fast,1,20,up,0.49,0.6385000000000001,-0.3467990312183618
R2a-002,0.8,fast,1,21,up,0.5,0.6355,-0.31354804433483097
R2a-002,0.8,fast,1,22,up,0.51,0.6411,-0.29427890383581423
R2a-002,0.8,fast,1,23,up,0.52,0.7712,-0.28671233136472957
R2a-002,0.8,fast,1,24,up,0.53,0.6683,-0.2769955200266701
R2a-002,0.8,fast,1,25,up,0.54,0.7107,-0.23952833309351484
R2a-002,0.8,fast,1,26,up,0.56,0.7651,-0.2098330629690151
R2a-002,0.8,fast,1,27,up,0.58,0.8907,-0.13615258763976662
R2a-002,0.8,fast,1,28,up,0.6,0.7997,-0.13783796554032182
R2a-002,0.8,fast,1,29,up,0.62,0.8438,0.007260925368149289
R2a-002,0.8,fast,1,30,up,0.64,0.8447,-0.05158182299144718
R2a-002,0.8,fast,1,31,down,0.63,0.8842,0.09691149453936639
R2a-002,0.8,fast,1,32,down,0.61,0.9,0.1283881151193411
R2a-002,0.8,fast,1,33,down,0.59,0.9,0.2486596774233847
R2a-002,0.8,fast,1,34,down,0.57,0.9,0.221150905660078
R2a-002,0.8,fast,1,35,down,0.55,0.9,0.17394265937808978
R2a-002,0.8,fast,1,36,down,0.53,0.9,0.1647278096488848
