experiment_id,noise_rate,sweep_type,seed,step_idx,direction,lambda,test_error,avg_cos
R2b-001,0.8,slow,0,0,up,0.2,0.7729,-0.1850095086110927
R2b-001,0.8,slow,0,1,up,0.22,0.6304000000000001,-0.22250233276400297
R2b-001,0.8,slow,0,2,up,0.24,0.6401,-0.1998556092409987
R2b-001,0.8,slow,0,3,up,0.26,0.5444,-0.23367675108008315
R2b-001,0.8,slow,0,4,up,0.28,0.5741,-0.25185467058089467
R2b-001,0.8,slow,0,5,up,0.3,0.5417000000000001,-0.27475081533383655
R2b-001,0.8,slow,0,6,up,0.32,0.4898,-0.2568824893642901
R2b-001,0.8,slow,0,7,up,0.34,0.44420000000000004,-0.3389634014278346
R2b-001,0.8,slow,0,8,up,0.36,0.4193,-0.3281745780164338
R2b-001,0.8,slow,0,9,up,0.38,0.399,-0.36301202561744317
R2b-001,0.8,slow,0,10,up,0.39,0.26480000000000004,-0.46949538961052895
R2b-001,0.8,slow,0,11,up,0.4,0.24409999999999998,-0.47265818699890255
R2b-001,0.8,slow,0,12,up,0.41,0.2318,-0.4965701045430436
R2b-001,0.8,slow,0,13,up,0.42,0.22970000000000002,-0.4908844407419769
R2b-001,0.8,slow,0,14,up,0.43,0.22629999999999995,-0.51220528865043
R2b-001,0.8,slow,0,15,up,0.44,0.19799999999999995,-0.5490053881491933
R2b-001,0.8,slow,0,16,up,0.45,0.19830000000000003,-0.5583666356242433
R2b-001,0.8,slow,0,17,up,0.46,0.19679999999999997,-0.555845600457824
R2b-001,0.8,slow,0,18,up,0.47,0.19389999999999996,-0.5696244106000784
R2b-001,0.8,slow,0,19,up,0.48,0.19240000000000002,-0.5715206612129601
R2b-001,0.8,slow,0,20,up,0.49,0.18989999999999996,-0.5589901400844053
R2b-001,0.8,slow,0,21,up,0.5,0.18720000000000003,-0.5694416387348759
R2b-001,0.8,slow,0,22,up,0.51,0.1885,-0.5512592544665142
R2b-001,0.8,slow,0,23,up,0.52,0.1846,-0.5447766417447402
R2b-001,0.8,slow,0,24,up,0.53,0.18520000000000003,-0.5303061531514538
R2b-001,0.8,slow,0,25,up,0.54,0.17930000000000001,-0.5200671296642752
R2b-001,0.8,slow,0,26,up,0.56,0.17900000000000005,-0.49151691840011247
R2b-001,0.8,slow,0,27,up,0.58,0.17510000000000003,-0.4509260995047433
R2b-001,0.8,slow,0,28,up,0.6,0.17930000000000001,-0.41137067775945274
R2b-001,0.8,slow,0,29,up,0.62,0.17190000000000005,-0.3745929343359811
R2b-001,0.8,slow,0,30,up,0.64,0.1753,-0.342378129992558
R2b-001,0.8,slow,0,31,down,0.63,0.16979999999999995,-0.36260269354192576
R2b-001,0.8,slow,0,32,down,0.61,0.16620000000000001,-0.40296216841254917
R2b-001,0.8,slow,0,33,down,0.59,0.17000000000000004,-0.43594579155347785
