experiment_id,experiment,notebook_id,direction,noise_rate,hold_type,hold_epochs,seed,spinodal_lambda,init_error,time_seconds
R3a-001,exp_R3_spinodal,R3a,up,0.4,short,1,0,0.54,0.2469,251.22075700759888
R3a-002,exp_R3_spinodal,R3a,up,0.4,short,1,1,0.68,0.24580000000000002,300.4188210964203
R3a-003,exp_R3_spinodal,R3a,up,0.4,short,1,2,0.54,0.25529999999999997,250.9856472015381
R3a-004,exp_R3_spinodal,R3a,up,0.4,short,1,3,0.52,0.23970000000000002,244.74443316459656
R3a-005,exp_R3_spinodal,R3a,up,0.4,short,1,4,0.5,0.32289999999999996,237.1775450706482
R3a-006,exp_R3_spinodal,R3a,up,0.4,short,1,5,0.6,0.2913,272.4045464992523
R3a-007,exp_R3_spinodal,R3a,up,0.4,short,1,6,0.52,0.27780000000000005,244.82291626930237
R3a-008,exp_R3_spinodal,R3a,up,0.4,short,1,7,0.54,0.26239999999999997,252.30251908302307
R3a-009,exp_R3_spinodal,R3a,up,0.4,short,1,8,0.52,0.253,249.49882292747498
R3a-010,exp_R3_spinodal,R3a,up,0.4,short,1,9,0.6,0.25549999999999995,273.91142559051514
R3a-011,exp_R3_spinodal,R3a,up,0.4,long,3,0,0.7,0.2469,513.7610969543457
R3a-012,exp_R3_spinodal,R3a,up,0.4,long,3,1,0.7,0.24580000000000002,514.1311922073364
R3a-013,exp_R3_spinodal,R3a,up,0.4,long,3,2,0.64,0.25529999999999997,454.0883786678314
R3a-014,exp_R3_spinodal,R3a,up,0.4,long,3,3,0.68,0.23970000000000002,494.2958171367645
R3a-015,exp_R3_spinodal,R3a,up,0.4,long,3,4,0.68,0.32289999999999996,494.1527171134949
R3a-016,exp_R3_spinodal,R3a,up,0.4,long,3,5,0.7,0.2913,513.9370141029358
R3a-017,exp_R3_spinodal,R3a,up,0.4,long,3,6,0.64,0.27780000000000005,454.6683313846588
R3a-018,exp_R3_spinodal,R3a,up,0.4,long,3,7,0.66,0.26239999999999997,475.4074170589447
R3a-019,exp_R3_spinodal,R3a,up,0.4,long,3,8,0.68,0.253,496.08748483657837
R3a-020,exp_R3_spinodal,R3a,up,0.4,long,3,9,0.66,0.25549999999999995,478.05137753486633
R3a-021,exp_R3_spinodal,R3a,up,0.8,short,1,0,0.44,0.48960000000000004,218.04768586158752
R3a-022,exp_R3_spinodal,R3a,up,0.8,short,1,1,0.44,0.5433,218.20157861709595
R3a-023,exp_R3_spinodal,R3a,up,0.8,short,1,2,0.44,0.5382,217.16014790534973
R3a-024,exp_R3_spinodal,R3a,up,0.8,short,1,3,0.44,0.5039,218.02242922782898
R3a-025,exp_R3_spinodal,R3a,up,0.8,short,1,4,0.44,0.5815,218.76138830184937
R3a-026,exp_R3_spinodal,R3a,up,0.8,short,1,5,0.44,0.5475,216.68948817253113
R3a-027,exp_R3_spinodal,R3a,up,0.8,short,1,6,0.44,0.5849,216.34253191947937
R3a-028,exp_R3_spinodal,R3a,up,0.8,short,1,7,0.44,0.5261,217.51453471183777
R3a-029,exp_R3_spinodal,R3a,up,0.8,short,1,8,0.44,0.5081,216.16328358650208
R3a-030,exp_R3_spinodal,R3a,up,0.8,short,1,9,0.44,0.5647,216.15220952033997
R3a-031,exp_R3_spinodal,R3a,up,0.8,long,3,0,0.44,0.48960000000000004,258.21678829193115
R3a-032,exp_R3_spinodal,R3a,up,0.8,long,3,1,0.44,0.5433,259.5594274997711
R3a-033,exp_R3_spinodal,R3a,up,0.8,long,3,2,0.44,0.5382,254.73894715309143
R3a-034,exp_R3_spinodal,R3a,up,0.8,long,3,3,0.44,0.5039,254.44328331947327
R3a-035,exp_R3_spinodal,R3a,up,0.8,long,3,4,0.44,0.5815,254.28892588615417
R3a-036,exp_R3_spinodal,R3a,up,0.8,long,3,5,0.44,0.5475,254.47497248649597
R3a-037,exp_R3_spinodal,R3a,up,0.8,long,3,6,0.44,0.5849,254.14803504943848
R3a-038,exp_R3_spinodal,R3a,up,0.8,long,3,7,0.44,0.5261,254.11584377288818
R3a-039,exp_R3_spinodal,R3a,up,0.8,long,3,8,0.44,0.5081,253.89150977134705
R3a-040,exp_R3_spinodal,R3a,up,0.8,long,3,9,0.44,0.5647,253.80111503601074
