experiment_id,experiment,notebook_id,direction,noise_rate,hold_type,hold_epochs,seed,spinodal_lambda,init_error,time_seconds
R3b-001,exp_R3_spinodal,R3b,down,0.4,short,1,0,0.2,0.9,328.6140773296356
R3b-002,exp_R3_spinodal,R3b,down,0.4,short,1,1,0.2,0.8915,328.0705666542053
R3b-003,exp_R3_spinodal,R3b,down,0.4,short,1,2,0.2,0.8471,328.2270984649658
R3b-004,exp_R3_spinodal,R3b,down,0.4,short,1,3,0.2,0.9,326.7523875236511
R3b-005,exp_R3_spinodal,R3b,down,0.4,short,1,4,0.2,0.9,328.6089611053467
R3b-006,exp_R3_spinodal,R3b,down,0.4,short,1,5,0.2,0.9,327.81559348106384
R3b-007,exp_R3_spinodal,R3b,down,0.4,short,1,6,0.2,0.9,336.22679567337036
R3b-008,exp_R3_spinodal,R3b,down,0.4,short,1,7,0.2,0.8563000000000001,332.141597032547
R3b-009,exp_R3_spinodal,R3b,down,0.4,short,1,8,0.2,0.9,328.03705191612244
R3b-010,exp_R3_spinodal,R3b,down,0.4,short,1,9,0.2,0.9,327.8717255592346
R3b-011,exp_R3_spinodal,R3b,down,0.4,long,3,0,0.2,0.9,581.5790009498596
R3b-012,exp_R3_spinodal,R3b,down,0.4,long,3,1,0.2,0.8915,582.2600426673889
R3b-013,exp_R3_spinodal,R3b,down,0.4,long,3,2,0.2,0.8471,582.0843110084534
R3b-014,exp_R3_spinodal,R3b,down,0.4,long,3,3,0.2,0.9,584.822587966919
R3b-015,exp_R3_spinodal,R3b,down,0.4,long,3,4,0.2,0.9,583.8523690700531
R3b-016,exp_R3_spinodal,R3b,down,0.4,long,3,5,0.2,0.9,581.8129181861877
R3b-017,exp_R3_spinodal,R3b,down,0.4,long,3,6,0.2,0.9,585.0543348789215
R3b-018,exp_R3_spinodal,R3b,down,0.4,long,3,7,0.2,0.8563000000000001,585.4545512199402
R3b-019,exp_R3_spinodal,R3b,down,0.4,long,3,8,0.2,0.9,582.1645185947418
R3b-020,exp_R3_spinodal,R3b,down,0.4,long,3,9,0.2,0.9,583.516952753067
R3b-021,exp_R3_spinodal,R3b,down,0.8,short,1,0,0.2,0.9,330.0823655128479
R3b-022,exp_R3_spinodal,R3b,down,0.8,short,1,1,0.2,0.9,328.4324815273285
R3b-023,exp_R3_spinodal,R3b,down,0.8,short,1,2,0.2,0.9,336.36234998703003
R3b-024,exp_R3_spinodal,R3b,down,0.8,short,1,3,0.2,0.9,328.1724154949188
R3b-025,exp_R3_spinodal,R3b,down,0.8,short,1,4,0.2,0.9,328.95880579948425
R3b-026,exp_R3_spinodal,R3b,down,0.8,short,1,5,0.2,0.9001,330.64772868156433
R3b-027,exp_R3_spinodal,R3b,down,0.8,short,1,6,0.2,0.9024,328.6015362739563
R3b-028,exp_R3_spinodal,R3b,down,0.8,short,1,7,0.2,0.9,330.65600967407227
R3b-029,exp_R3_spinodal,R3b,down,0.8,short,1,8,0.2,0.9,328.5103211402893
R3b-030,exp_R3_spinodal,R3b,down,0.8,short,1,9,0.2,0.8684000000000001,328.2765121459961
R3b-031,exp_R3_spinodal,R3b,down,0.8,long,3,0,0.2,0.9,578.669266462326
R3b-032,exp_R3_spinodal,R3b,down,0.8,long,3,1,0.2,0.9,578.2485468387604
R3b-033,exp_R3_spinodal,R3b,down,0.8,long,3,2,0.2,0.9,580.0451211929321
R3b-034,exp_R3_spinodal,R3b,down,0.8,long,3,3,0.2,0.9,577.4125554561615
R3b-035,exp_R3_spinodal,R3b,down,0.8,long,3,4,0.2,0.9,589.583594083786
R3b-036,exp_R3_spinodal,R3b,down,0.8,long,3,5,0.2,0.9001,575.6408593654633
R3b-037,exp_R3_spinodal,R3b,down,0.8,long,3,6,0.2,0.9024,575.6799263954163
R3b-038,exp_R3_spinodal,R3b,down,0.8,long,3,7,0.2,0.9,578.0619225502014
R3b-039,exp_R3_spinodal,R3b,down,0.8,long,3,8,0.2,0.9,581.8992829322815
R3b-040,exp_R3_spinodal,R3b,down,0.8,long,3,9,0.2,0.8684000000000001,579.9114723205566
