experiment_id,lambda,seed,final_error,avg_cos,phase,time
S1a-001,0.42,0,0.11719999999999997,-0.17828302563550022,ordered,646.7115466594696
S1a-002,0.42,1,0.11439999999999995,-0.17876419649179667,ordered,647.2668526172638
S1a-003,0.42,2,0.1179,-0.18453555233592447,ordered,648.1949458122253
S1a-004,0.42,3,0.12409999999999999,-0.18145335906686952,ordered,647.3935060501099
S1a-005,0.42,4,0.1301,-0.1753018962613032,ordered,644.077570438385
S1a-006,0.42,5,0.121,-0.16907035432645467,ordered,640.5395109653473
S1a-007,0.42,6,0.12260000000000004,-0.17366963232943447,ordered,648.6432445049286
S1a-008,0.42,7,0.11719999999999997,-0.18396079747012237,ordered,641.9841079711914
S1a-009,0.42,8,0.12319999999999998,-0.18472599296028164,ordered,642.0765926837921
S1a-010,0.42,9,0.12270000000000003,-0.1728330803139442,ordered,643.1891288757324
S1a-011,0.42,10,0.12139999999999995,-0.16822293668117896,ordered,642.8990581035614
S1a-012,0.42,11,0.12529999999999997,-0.15402564353554873,ordered,645.0231356620789
S1a-013,0.42,12,0.12409999999999999,-0.17275607562894169,ordered,645.0849244594574
S1a-014,0.42,13,0.11480000000000001,-0.1684693902495735,ordered,645.5607831478119
S1a-015,0.42,14,0.12070000000000003,-0.17381607346379851,ordered,648.9948534965515
S1a-016,0.42,15,0.11750000000000005,-0.17779839585677182,ordered,650.2098813056946
S1a-017,0.42,16,0.11939999999999995,-0.18306471354211085,ordered,649.5227241516113
S1a-018,0.42,17,0.11719999999999997,-0.178125079017553,ordered,648.6270651817322
S1a-019,0.42,18,0.11629999999999996,-0.18532772202235384,ordered,649.011105298996
S1a-020,0.42,19,0.12080000000000002,-0.1829680942961434,ordered,649.1463692188263
S1a-021,0.42,20,0.12160000000000004,-0.18723152105556332,ordered,649.1074018478394
S1a-022,0.42,21,0.12080000000000002,-0.18519437175571954,ordered,649.114898443222
S1a-023,0.42,22,0.119,-0.18142162283969518,ordered,649.8840537071228
S1a-024,0.42,23,0.12150000000000005,-0.17651734995590382,ordered,649.9894552230835
S1a-025,0.42,24,0.12070000000000003,-0.17429373536500678,ordered,651.280437707901
S1a-026,0.42,25,0.119,-0.18439710510749438,ordered,660.0369081497192
S1a-027,0.42,26,0.12050000000000005,-0.18149307931993572,ordered,652.353506565094
S1a-028,0.42,27,0.12029999999999996,-0.17480095640131352,ordered,649.5531957149506
S1a-029,0.42,28,0.11460000000000004,-0.19133190041161455,ordered,650.0915923118591
S1a-030,0.42,29,0.11880000000000002,-0.17907494047201092,ordered,649.8100116252899
S1a-031,0.42,30,0.12170000000000003,-0.1830118661628958,ordered,649.5671157836914
S1a-032,0.42,31,0.11950000000000005,-0.175511933416342,ordered,649.3221926689148
S1a-033,0.42,32,0.11499999999999999,-0.1855831488566616,ordered,649.3813223838806
S1a-034,0.42,33,0.11970000000000003,-0.17906631747072999,ordered,649.4014112949371
S1a-035,0.42,34,0.11409999999999998,-0.17628017835096305,ordered,649.4072389602661
S1a-036,0.42,35,0.121,-0.17613478564246848,ordered,649.7698438167572
S1a-037,0.42,36,0.12109999999999999,-0.17826390109728188,ordered,649.6725373268127
S1a-038,0.42,37,0.12139999999999995,-0.17918540049706022,ordered,650.4595372676849
S1a-039,0.42,38,0.11750000000000005,-0.18146251237416064,ordered,649.3072011470795
S1a-040,0.42,39,0.11929999999999996,-0.17981592319356943,ordered,650.0133969783783
S1a-041,0.42,40,0.11699999999999999,-0.16958071793272153,ordered,650.0958847999573
S1a-042,0.42,41,0.11660000000000004,-0.19045908359424046,ordered,652.3185777664185
S1a-043,0.42,42,0.11619999999999997,-0.17242222687923256,ordered,651.0621013641357
S1a-044,0.42,43,0.11699999999999999,-0.17863683907547667,ordered,650.8960189819336
