experiment_id,lambda,seed,final_error,avg_cos,phase,time
S1b-001,0.46,0,0.14349999999999996,-0.16358026381526783,ordered,641.9126267433167
S1b-002,0.46,1,0.13449999999999995,-0.1692108257280007,ordered,642.8702483177185
S1b-003,0.46,2,0.14049999999999996,-0.14410543155673491,ordered,643.5958905220032
S1b-004,0.46,3,0.14990000000000003,-0.14454917568457432,ordered,643.6479141712189
S1b-005,0.46,4,0.14649999999999996,-0.1511594885522654,ordered,644.3289370536804
S1b-006,0.46,5,0.14759999999999995,-0.15780797244718997,ordered,643.9720189571381
S1b-007,0.46,6,0.18679999999999997,-0.13709499541107015,ordered,652.0269134044647
S1b-008,0.46,7,0.14549999999999996,-0.14481172041931875,ordered,642.754727602005
S1b-009,0.46,8,0.13649999999999995,-0.146994535815118,ordered,642.9220688343048
S1b-010,0.46,9,0.14459999999999995,-0.1532886872584195,ordered,643.1202929019928
S1b-011,0.46,10,0.14280000000000004,-0.15019293265064407,ordered,643.7313647270203
S1b-012,0.46,11,0.139,-0.14425970051627088,ordered,643.7679414749146
S1b-013,0.46,12,0.17569999999999997,-0.1524253222649936,ordered,644.4286463260651
S1b-014,0.46,13,0.15659999999999996,-0.1403792979456579,ordered,644.4067275524139
S1b-015,0.46,14,0.13959999999999995,-0.15427803917617802,ordered,644.6884808540344
S1b-016,0.46,15,0.14939999999999998,-0.14384069253330603,ordered,643.8142800331116
S1b-017,0.46,16,0.15100000000000002,-0.16335515069283488,ordered,642.0017306804657
S1b-018,0.46,17,0.14759999999999995,-0.156223894558961,ordered,644.5097255706787
S1b-019,0.46,18,0.14629999999999999,-0.15681924763784807,ordered,652.2201089859009
S1b-020,0.46,19,0.13870000000000005,-0.1556791752939824,ordered,662.5981247425079
S1b-021,0.46,20,0.16779999999999995,-0.1291351516861635,ordered,651.9446446895599
S1b-022,0.46,21,0.15190000000000003,-0.1477394866388367,ordered,651.3116385936737
S1b-023,0.46,22,0.15069999999999995,-0.15957600195472824,ordered,652.0313775539398
S1b-024,0.46,23,0.14439999999999997,-0.151264802944123,ordered,645.7259910106659
S1b-025,0.46,24,0.1483,-0.15695171734834878,ordered,644.5851712226868
S1b-026,0.46,25,0.15249999999999997,-0.15488913817223984,ordered,645.3627576828003
S1b-027,0.46,26,0.1462,-0.16422611868215667,ordered,649.8429923057556
S1b-028,0.46,27,0.1452,-0.16022555484668094,ordered,649.5179505348206
S1b-029,0.46,28,0.14190000000000003,-0.15419311570771022,ordered,646.4372782707214
S1b-030,0.46,29,0.14500000000000002,-0.14599334465497774,ordered,649.1726653575897
S1b-031,0.46,30,0.15849999999999997,-0.1497609793396586,ordered,648.7861292362213
S1b-032,0.46,31,0.134,-0.1516479130496915,ordered,643.9445128440857
S1b-033,0.46,32,0.13449999999999995,-0.16189354226763517,ordered,643.2671775817871
S1b-034,0.46,33,0.15580000000000005,-0.1433418640122649,ordered,643.97234582901
S1b-035,0.46,34,0.13680000000000003,-0.16312607793546074,ordered,643.3338236808777
S1b-036,0.46,35,0.15510000000000002,-0.14279667781215702,ordered,644.0246412754059
S1b-037,0.46,36,0.17010000000000003,-0.14923512013589874,ordered,643.9715144634247
S1b-038,0.46,37,0.13939999999999997,-0.1591280924472545,ordered,643.4658150672913
S1b-039,0.46,38,0.16310000000000002,-0.13902458739084456,ordered,643.412519454956
S1b-040,0.46,39,0.15690000000000004,-0.1401665872172809,ordered,655.1091010570526
S1b-041,0.46,40,0.15500000000000003,-0.1324011302988962,ordered,643.5841522216797
S1b-042,0.46,41,0.13739999999999997,-0.1526364416706706,ordered,644.0996277332306
S1b-043,0.46,42,0.13929999999999998,-0.1534449587688943,ordered,643.5582942962646
S1b-044,0.46,43,0.15349999999999997,-0.14206368373024186,ordered,643.418181180954
S1b-045,0.46,44,0.14129999999999998,-0.15072440696043932,ordered,644.5087797641754
S1b-046,0.46,45,0.14800000000000002,-0.15013187224064997,ordered,644.4236490726471
S1b-047,0.46,46,0.1422,-0.13884886095493054,ordered,643.5614874362946
S1b-048,0.46,47,0.1573,-0.16088114650929541,ordered,643.7087428569794
S1b-049,0.46,48,0.1602,-0.1548174039255388,ordered,643.9561789035797
S1b-050,0.46,49,0.13890000000000002,-0.15211891723189702,ordered,643.4426784515381
S1b-051,0.48,0,0.1713,-0.11578921504541446,ordered,643.3873097896576
S1b-052,0.48,1,0.16859999999999997,-0.11519759388978484,ordered,643.414484500885
S1b-053,0.48,2,0.16479999999999995,-0.13274624161689533,ordered,644.2251160144806
S1b-054,0.48,3,0.15849999999999997,-0.13536209609665387,ordered,644.8338007926941
S1b-055,0.48,4,0.19079999999999997,-0.08592190038965784,ordered,643.8528187274933
S1b-056,0.48,5,0.2025,-0.05920058699549242,intermediate,643.5093924999237
S1b-057,0.48,6,0.23719999999999997,-0.08126561218155462,intermediate,645.9712393283844
S1b-058,0.48,7,0.23619999999999997,-0.04587375493924792,intermediate,662.0759680271149
S1b-059,0.48,8,0.2931,-0.08065676688585174,intermediate,652.3214893341064
S1b-060,0.48,9,0.2067,-0.09233805756809842,intermediate,643.1608633995056
S1b-061,0.48,10,0.18679999999999997,-0.08458389326263628,ordered,642.600400686264
S1b-062,0.48,11,0.30310000000000004,-0.06532349464537016,intermediate,641.7698423862457
S1b-063,0.48,12,0.34040000000000004,-0.12002317271705262,intermediate,642.3222846984863
S1b-064,0.48,13,0.16110000000000002,-0.11441954364030199,ordered,641.9782557487488
S1b-065,0.48,14,0.19479999999999997,-0.06122543983043845,ordered,641.7229702472687
S1b-066,0.48,15,0.18300000000000005,-0.10333603629237753,ordered,641.841498374939
S1b-067,0.48,16,0.1884,-0.10759361370434575,ordered,641.9346396923065
S1b-068,0.48,17,0.20430000000000004,-0.0890089022203489,intermediate,642.0436172485352
S1b-069,0.48,18,0.3287,-0.03901919264159859,intermediate,641.9396450519562
S1b-070,0.48,19,0.3679,-0.03250157534738923,intermediate,642.0607874393463
S1b-071,0.48,20,0.19479999999999997,-0.09328750045757447,ordered,642.0041785240173
S1b-072,0.48,21,0.21399999999999997,-0.06399761497822343,intermediate,641.9466989040375
S1b-073,0.48,22,0.2146,-0.13394949659278702,intermediate,641.7687003612518
S1b-074,0.48,23,0.19799999999999995,-0.10944484887198587,ordered,641.9454922676086
S1b-075,0.48,24,0.17300000000000004,-0.11109022253650305,ordered,641.7745034694672
S1b-076,0.48,25,0.23550000000000004,-0.08154569161676906,intermediate,642.6984753608704
S1b-077,0.48,26,0.19799999999999995,-0.09012753418953233,ordered,653.1163694858551
S1b-078,0.48,27,0.18369999999999997,-0.11717494885911166,ordered,641.669921875
S1b-079,0.48,28,0.15610000000000002,-0.13604831943925164,ordered,641.7535660266876
S1b-080,0.48,29,0.1613,-0.1143029998390364,ordered,641.7421760559082
S1b-081,0.48,30,0.16010000000000002,-0.15092999286832032,ordered,641.354462146759
S1b-082,0.48,31,0.16800000000000004,-0.11060755164596509,ordered,641.5756959915161
S1b-083,0.48,32,0.18310000000000004,-0.10540434688677014,ordered,640.9304475784302
S1b-084,0.48,33,0.1885,-0.11514421327915683,ordered,641.1832058429718
S1b-085,0.48,34,0.22970000000000002,-0.06952513987833114,intermediate,641.10076212883
S1b-086,0.48,35,0.22640000000000005,-0.09066537272170237,intermediate,641.7336695194244
S1b-087,0.48,36,0.19879999999999998,-0.10455668800016296,ordered,641.6620564460754
S1b-088,0.48,37,0.15690000000000004,-0.11923034021364791,ordered,641.4331541061401
S1b-089,0.48,38,0.1763,-0.113120941993313,ordered,641.3613288402557
S1b-090,0.48,39,0.2602,-0.08822704683844954,intermediate,641.7461297512054
S1b-091,0.48,40,0.2146,-0.05566048060982174,intermediate,641.5395746231079
S1b-092,0.48,41,0.17700000000000005,-0.11928218785470249,ordered,642.0459990501404
S1b-093,0.48,42,0.2098,-0.11030366763640054,intermediate,641.7396912574768
S1b-094,0.48,43,0.18930000000000002,-0.08620301958564335,ordered,641.9571805000305
S1b-095,0.48,44,0.2409,-0.0926021341414533,intermediate,641.197110414505
S1b-096,0.48,45,0.14939999999999998,-0.1384920449815548,ordered,655.1902451515198
S1b-097,0.48,46,0.22970000000000002,-0.08035168837108804,intermediate,643.2508902549744
S1b-098,0.48,47,0.16379999999999995,-0.11827673470216554,ordered,641.7042610645294
S1b-099,0.48,48,0.18879999999999997,-0.0913027699348607,ordered,641.7138516902924
S1b-100,0.48,49,0.17520000000000002,-0.12325247712597269,ordered,641.8624866008759
