experiment_id,lambda,seed,final_error,avg_cos,phase,time
S1c-001,0.5,0,0.3698,-0.031246241499139443,intermediate,642.4947729110718
S1c-002,0.5,1,0.3053,-0.029398534139992466,intermediate,642.031821012497
S1c-003,0.5,2,0.3891,-0.022173216469129734,intermediate,643.2901103496552
S1c-004,0.5,3,0.375,-0.032201584924166256,intermediate,642.2521741390228
S1c-005,0.5,4,0.48740000000000006,-0.02575863058182853,collapsed,643.1482906341553
S1c-006,0.5,5,0.23129999999999995,-0.060420324514852825,intermediate,643.9246711730957
S1c-007,0.5,6,0.37649999999999995,-0.013258659387124963,intermediate,650.1184210777283
S1c-008,0.5,7,0.32520000000000004,-0.038200190874085084,intermediate,644.1104815006256
S1c-009,0.5,8,0.258,-0.022623379512378774,intermediate,643.3891050815582
S1c-010,0.5,9,0.29569999999999996,-0.02351287878092025,intermediate,645.0441002845764
S1c-011,0.5,10,0.2713,-0.030982027625527264,intermediate,645.2055685520172
S1c-012,0.5,11,0.28259999999999996,-0.041502717126514856,intermediate,644.0310020446777
S1c-013,0.5,12,0.4104,-0.025391344122210877,collapsed,643.8409402370453
S1c-014,0.5,13,0.20199999999999996,-0.03793942829919801,intermediate,645.7373080253601
S1c-015,0.5,14,0.3266,-0.027611471902381876,intermediate,646.1916377544403
S1c-016,0.5,15,0.25249999999999995,-0.025180291616493287,intermediate,645.6445264816284
S1c-017,0.5,16,0.35350000000000004,0.0012156946035054481,intermediate,645.7957646846771
S1c-018,0.5,17,0.394,-0.031091517899161664,intermediate,645.0384974479675
S1c-019,0.5,18,0.34450000000000003,-0.014553744601363756,intermediate,647.5079188346863
S1c-020,0.5,19,0.3497,-0.02580082361321042,intermediate,647.5976476669312
S1c-021,0.5,20,0.34230000000000005,0.014586688949131382,intermediate,646.6729533672333
S1c-022,0.5,21,0.3127,-0.03717422667989681,intermediate,646.9162840843201
S1c-023,0.5,22,0.351,0.006241980453971558,intermediate,647.9466676712036
S1c-024,0.5,23,0.24760000000000004,-0.02958776624797551,intermediate,643.9272923469543
S1c-025,0.5,24,0.4124,-0.04295519924214781,collapsed,643.4870913028717
S1c-026,0.5,25,0.23429999999999995,-0.027193711908195316,intermediate,653.6706261634827
S1c-027,0.5,26,0.1795,-0.10218652050815075,ordered,643.0710151195526
S1c-028,0.5,27,0.356,-0.04746021345937839,intermediate,642.8196256160736
S1c-029,0.5,28,0.3567,-0.021637676178598866,intermediate,642.5960569381714
S1c-030,0.5,29,0.24070000000000003,-0.09001257078551356,intermediate,643.8596425056458
S1c-031,0.5,30,0.35219999999999996,-0.033448325489524144,intermediate,645.055365562439
S1c-032,0.5,31,0.2854,-0.03175233983785765,intermediate,643.7443654537201
S1c-033,0.5,32,0.25639999999999996,-0.04003127631131733,intermediate,643.0318441390991
S1c-034,0.5,33,0.27849999999999997,-0.02270197149574618,intermediate,642.7563171386719
S1c-035,0.5,34,0.20630000000000004,-0.0836248002265466,intermediate,643.2138893604279
S1c-036,0.5,35,0.26,-0.03469879959950494,intermediate,642.9235739707947
S1c-037,0.5,36,0.3338,-0.013695386344536056,intermediate,642.3990392684937
S1c-038,0.5,37,0.23209999999999997,-0.03862977696868071,intermediate,642.6922512054443
S1c-039,0.5,38,0.3307,-0.024431382334450788,intermediate,643.1802062988281
S1c-040,0.5,39,0.3216,-0.024272521068484584,intermediate,642.6090216636658
S1c-041,0.5,40,0.30720000000000003,-0.011896984839238157,intermediate,642.6504673957825
S1c-042,0.5,41,0.3748,-0.037963388926344835,intermediate,642.5287175178528
S1c-043,0.5,42,0.33999999999999997,-0.016006088490697096,intermediate,642.9447014331818
S1c-044,0.5,43,0.3457,-0.028788899331895882,intermediate,643.0631365776062
S1c-045,0.5,44,0.3637,-0.04319340140325354,intermediate,652.0367152690887
S1c-046,0.5,45,0.3579,-0.018378336890600623,intermediate,649.1638612747192
S1c-047,0.5,46,0.35829999999999995,0.009797391901855902,intermediate,642.8545699119568
S1c-048,0.5,47,0.2277,-0.035294933872771383,intermediate,644.6107366085052
S1c-049,0.5,48,0.3415,-0.023258121220771543,intermediate,646.7755734920502
S1c-050,0.5,49,0.26239999999999997,-0.011961120923853964,intermediate,641.7740685939789
S1c-051,0.52,0,0.33540000000000003,0.01546443533754019,intermediate,642.6186599731445
S1c-052,0.52,1,0.4294,-0.027474297963903046,collapsed,642.5517952442169
S1c-053,0.52,2,0.34030000000000005,0.008003484739117769,intermediate,643.4845798015594
S1c-054,0.52,3,0.35919999999999996,0.015598043888077921,intermediate,642.4690926074982
S1c-055,0.52,4,0.5207999999999999,0.000390351876071229,collapsed,642.7582468986511
S1c-056,0.52,5,0.7502,-0.04295856819883683,collapsed,642.6278252601624
S1c-057,0.52,6,0.386,-0.006487113531935507,intermediate,642.9899384975433
S1c-058,0.52,7,0.33009999999999995,-0.012693073268179731,intermediate,642.5301854610443
S1c-059,0.52,8,0.35019999999999996,-0.004033369864031261,intermediate,642.3667349815369
S1c-060,0.52,9,0.4172,-0.013726796813063293,collapsed,642.7566504478455
S1c-061,0.52,10,0.35040000000000004,0.01811619394396168,intermediate,642.7663598060608
S1c-062,0.52,11,0.498,-0.029319711015996296,collapsed,642.736624956131
S1c-063,0.52,12,0.4386,-0.014733613436416205,collapsed,643.2328224182129
S1c-064,0.52,13,0.5691999999999999,-0.01171916781630063,collapsed,649.2015829086304
S1c-065,0.52,14,0.4265,0.007923588932409284,collapsed,643.3517210483551
S1c-066,0.52,15,0.6147,-0.015718971828615876,collapsed,642.9017152786255
S1c-067,0.52,16,0.4891,-0.01682953487604747,collapsed,642.7578802108765
S1c-068,0.52,17,0.45599999999999996,-0.01765890397508011,collapsed,642.6501228809357
S1c-069,0.52,18,0.3893,-0.004832547861816628,intermediate,643.4929802417755
S1c-070,0.52,19,0.4041,0.000903182002307123,collapsed,643.6327726840973
S1c-071,0.52,20,0.3843,0.006484753925713225,intermediate,645.8554890155792
S1c-072,0.52,21,0.29490000000000005,-0.024312643433204734,intermediate,645.2845501899719
S1c-073,0.52,22,0.47430000000000005,-0.03878336125561744,collapsed,644.8941900730133
S1c-074,0.52,23,0.5553,-0.012947791676234206,collapsed,645.0461151599884
S1c-075,0.52,24,0.36439999999999995,0.002783906763981985,intermediate,645.4876883029938
S1c-076,0.52,25,0.28890000000000005,-0.0072143106397606046,intermediate,644.548609495163
S1c-077,0.52,26,0.40049999999999997,-0.005997976177016855,collapsed,642.6639058589935
S1c-078,0.52,27,0.4212,1.9675710779609585e-05,collapsed,643.5880100727081
S1c-079,0.52,28,0.38280000000000003,0.011226841464563873,intermediate,643.2239174842834
S1c-080,0.52,29,0.40449999999999997,0.01389268669592305,collapsed,642.9978454113007
S1c-081,0.52,30,0.3863,-0.014420531365114066,intermediate,643.3974711894989
S1c-082,0.52,31,0.39259999999999995,0.00512866732468104,intermediate,645.4526307582855
S1c-083,0.52,32,0.3519,-0.005409867911538993,intermediate,653.5259158611298
S1c-084,0.52,33,0.30369999999999997,0.019679155679771857,intermediate,647.373425245285
S1c-085,0.52,34,0.5034000000000001,-0.03007582992673448,collapsed,645.7465171813965
S1c-086,0.52,35,0.45799999999999996,-0.007651640805605875,collapsed,642.904965877533
S1c-087,0.52,36,0.31679999999999997,-0.0011211515690808225,intermediate,645.0290305614471
S1c-088,0.52,37,0.5177,-0.017319470258686236,collapsed,645.9885334968567
S1c-089,0.52,38,0.43620000000000003,-0.0377064554954936,collapsed,646.200293302536
S1c-090,0.52,39,0.42100000000000004,0.0020873057491167424,collapsed,645.9959270954132
S1c-091,0.52,40,0.6518999999999999,-0.016103245714689456,collapsed,645.8574261665344
S1c-092,0.52,41,0.3183,-0.011107184628692304,intermediate,643.4804284572601
S1c-093,0.52,42,0.35319999999999996,0.019556666503950534,intermediate,643.3670568466187
S1c-094,0.52,43,0.47619999999999996,0.0004207059751592607,collapsed,642.9122514724731
S1c-095,0.52,44,0.45609999999999995,-0.011445025005027394,collapsed,643.5264711380005
S1c-096,0.52,45,0.37150000000000005,0.0035781288660269193,intermediate,642.9085986614227
S1c-097,0.52,46,0.48260000000000003,0.006544834178675212,collapsed,643.4486150741577
S1c-098,0.52,47,0.269,-0.006023150828375353,intermediate,642.9191696643829
S1c-099,0.52,48,0.494,-0.006621784162927391,collapsed,642.7671222686768
S1c-100,0.52,49,0.4335,-0.002886574637095504,collapsed,643.05876994133
