experiment_id,lambda,seed,final_error,avg_cos,phase,time
S1d-001,0.54,0,0.4639,0.011185746154794236,collapsed,615.8744430541992
S1d-002,0.54,1,0.6033,-0.02298827594918572,collapsed,615.5520696640015
S1d-003,0.54,2,0.4282,0.02176168812722905,collapsed,617.0171346664429
S1d-004,0.54,3,0.49639999999999995,-0.05651459904470748,collapsed,616.4000473022461
S1d-005,0.54,4,0.48029999999999995,0.0006371895288003194,collapsed,617.7602410316467
S1d-006,0.54,5,0.4646,0.01287003196744434,collapsed,616.0176167488098
S1d-007,0.54,6,0.5452,0.006830466690640158,collapsed,630.0991122722626
S1d-008,0.54,7,0.46830000000000005,0.02504125014048459,collapsed,616.0725953578949
S1d-009,0.54,8,0.35829999999999995,0.025577883489061107,intermediate,623.6980354785919
S1d-010,0.54,9,0.5982000000000001,-0.028081186548592898,collapsed,609.2442610263824
S1d-011,0.54,10,0.3731,0.022943830838669285,intermediate,607.4919376373291
S1d-012,0.54,11,0.44510000000000005,0.011440216238195864,collapsed,607.2077867984772
S1d-013,0.54,12,0.4052,7.791647046676036e-05,collapsed,607.8201649188995
S1d-014,0.54,13,0.4474,-0.016491663065490703,collapsed,607.5781083106995
S1d-015,0.54,14,0.6194,-0.020524077569484964,collapsed,607.2750661373138
S1d-016,0.54,15,0.39670000000000005,0.0021992164826417355,intermediate,607.3255188465118
S1d-017,0.54,16,0.4073,0.017221143268047575,collapsed,607.915810585022
S1d-018,0.54,17,0.38859999999999995,-0.0069444427463316305,intermediate,607.6858415603638
S1d-019,0.54,18,0.4374,0.008777614456366233,collapsed,607.4821729660034
S1d-020,0.54,19,0.5192,0.018103292395885824,collapsed,607.1387524604797
S1d-021,0.54,20,0.43110000000000004,0.02070750272213909,collapsed,607.1562187671661
S1d-022,0.54,21,0.7778,-0.018211183334633643,collapsed,607.9303822517395
S1d-023,0.54,22,0.5377000000000001,-0.0256786372316336,collapsed,609.1895437240601
S1d-024,0.54,23,0.39980000000000004,0.019962982040282327,intermediate,608.6345055103302
S1d-025,0.54,24,0.3275,0.008332727555332856,intermediate,613.6697421073914
S1d-026,0.54,25,0.47729999999999995,0.03400367605621683,collapsed,623.8365349769592
S1d-027,0.54,26,0.42410000000000003,-0.01850461344303544,collapsed,610.0888314247131
S1d-028,0.54,27,0.36750000000000005,-0.0035983522148322965,intermediate,607.5725586414337
S1d-029,0.54,28,0.43500000000000005,0.0060442847046616255,collapsed,607.9635453224182
S1d-030,0.54,29,0.5067999999999999,-0.005092721105872757,collapsed,606.7239429950714
S1d-031,0.54,30,0.41900000000000004,0.019122424860822263,collapsed,608.305686712265
S1d-032,0.54,31,0.4407,-0.004973634934915248,collapsed,608.0311334133148
