experiment_id,lambda,seed,final_error,avg_cos,phase,time
S2a-000,0.5,0,0.2623,-0.0477643862233303,intermediate,615.7946891784668
S2a-001,0.5,1,0.2701,-0.0542942159673215,intermediate,616.8217904567719
S2a-002,0.5,2,0.3515,-0.0479898203321945,intermediate,628.5926504135132
S2a-003,0.5,3,0.2421999999999999,-0.0224139434352816,intermediate,629.745532989502
S2a-004,0.5,4,0.3198999999999999,-0.0331613880104435,intermediate,629.4725384712219
S2a-005,0.5,5,0.2023,-0.0815816068699065,intermediate,640.9920761585236
S2a-006,0.5,6,0.3595,-0.0018085818726697,intermediate,630.6534287929535
S2a-007,0.5,7,0.417,-0.0231449693409495,collapsed,630.3103904724121
S2a-008,0.5,8,0.248,-0.0108512977173531,intermediate,630.7985506057739
S2a-009,0.5,9,0.3232,-0.0212365308986446,intermediate,632.9980635643005
S2a-010,0.5,10,0.411,-0.0225248429473288,collapsed,634.6956925392151
S2a-011,0.5,11,0.2112,-0.0389085870282368,intermediate,631.7065060138702
S2a-012,0.5,12,0.3491999999999999,-0.0230981548215507,intermediate,620.0047936439514
S2a-013,0.5,13,0.2422999999999999,-0.044803467513634,intermediate,616.8076300621033
S2a-014,0.5,14,0.2972,-0.0295783311151483,intermediate,622.8667411804199
S2a-015,0.5,15,0.2713,-0.0328340866430027,intermediate,632.9816408157349
S2a-016,0.5,16,0.3333,-0.0386834816811891,intermediate,624.4308664798737
S2a-017,0.5,17,0.3484,-0.0037572625870739,intermediate,619.1463792324066
S2a-018,0.5,18,0.2359,-0.033716201847918,intermediate,616.7278950214386
S2a-019,0.5,19,0.3236,-0.0316863918878412,intermediate,615.3915712833405
S2a-020,0.5,20,0.3762,-0.0139723690244819,intermediate,616.268967628479
S2a-021,0.5,21,0.2541,-0.0196454692657321,intermediate,615.823014497757
S2a-022,0.5,22,0.2582,-0.0320205779055404,intermediate,616.1744649410248
S2a-023,0.5,23,0.3245,0.0028369820681525,intermediate,629.1025989055634
S2a-024,0.5,24,0.2176,-0.0844924722777914,intermediate,616.3679330348969
S2a-025,0.5,25,0.2548,-0.0250593292589978,intermediate,615.7677989006042
S2a-026,0.5,26,0.2118,-0.0669041407422925,intermediate,616.0797784328461
S2a-027,0.5,27,0.3289999999999999,-0.0123014234990025,intermediate,616.6803197860718
S2a-028,0.5,28,0.4573,-0.0429390695520405,collapsed,616.7903776168823
S2a-029,0.5,29,0.2725999999999999,-0.0216616371036115,intermediate,621.2423107624054
S2a-030,0.5,30,0.4184,-0.0237362422177874,collapsed,616.0946431159973
S2a-031,0.5,31,0.4983999999999999,-0.0409096369086152,collapsed,617.5724918842316
S2a-032,0.5,32,0.2387,-0.0270583569849674,intermediate,619.1628921031952
S2a-033,0.5,33,0.3587,-0.0413646760565283,intermediate,618.533264875412
S2a-034,0.5,34,0.2902,-0.0375619471670343,intermediate,618.6226923465729
S2a-035,0.5,35,0.2534999999999999,-0.0487627346434734,intermediate,618.4305145740509
S2a-036,0.5,36,0.3762,-0.0122395122370133,intermediate,618.2704524993896
S2a-037,0.5,37,0.2487,-0.0120227077152765,intermediate,618.5015199184418
S2a-038,0.5,38,0.2729,-0.0085957759345094,intermediate,617.7189815044403
S2a-039,0.5,39,0.2190999999999999,-0.0468576249736242,intermediate,617.2019672393799
S2a-040,0.5,40,0.2325,-0.0326612312431276,intermediate,618.7525861263275
S2a-041,0.5,41,0.4372,-0.0420608237742657,collapsed,629.4528207778931
S2a-042,0.5,42,0.4291,-0.0245984146319987,collapsed,616.7253851890564
S2a-043,0.5,43,0.2107,-0.0402058433197208,intermediate,619.6681592464447
S2a-044,0.5,44,0.3722999999999999,-0.0092715556956459,intermediate,619.2984647750854
S2a-045,0.5,45,0.3263,-0.0267384029663707,intermediate,619.5676941871643
S2a-046,0.5,46,0.3732999999999999,-0.0280236539086303,intermediate,619.4254260063171
S2a-047,0.5,47,0.2481999999999999,-0.035714591267116,intermediate,619.7832520008087
S2a-048,0.5,48,0.2508,-0.0300791016397035,intermediate,617.5052998065948
S2a-049,0.5,49,0.2641,-0.0151427477932231,intermediate,616.7481074333191
S2a-050,0.5,50,0.364,-0.0299806028189659,intermediate,616.7516503334045
S2a-051,0.5,51,0.2886999999999999,-0.0528699554709244,intermediate,616.6018314361572
S2a-052,0.5,52,0.3843,0.0129389681148892,intermediate,616.0472168922424
S2a-053,0.5,53,0.4043,-0.014848554873719,collapsed,616.8601171970367
S2a-054,0.5,54,0.2433999999999999,-0.0295338356862859,intermediate,617.3421635627747
S2a-055,0.5,55,0.2048999999999999,-0.0317852392298471,intermediate,617.2635550498962
S2a-056,0.5,56,0.3274,-0.003217521532978,intermediate,618.4038288593292
S2a-057,0.5,57,0.2032,-0.0535730084586426,intermediate,618.6763701438904
S2a-058,0.5,58,0.3057999999999999,-0.0241489201087602,intermediate,621.2387449741364
S2a-059,0.5,59,0.2198,-0.0680887081153389,intermediate,629.5912523269653
S2b-060,0.5,60,0.2957999999999999,-0.0202127618033781,intermediate,618.151645898819
S2b-061,0.5,61,0.2416,-0.0368259181765728,intermediate,619.2985031604767
S2b-062,0.5,62,0.2778,-0.0356134927576426,intermediate,614.3567204475403
S2b-063,0.5,63,0.3975999999999999,-0.0449647484353995,intermediate,610.8636705875397
S2b-064,0.5,64,0.2473999999999999,-0.0166703197253304,intermediate,609.4886112213135
S2b-065,0.5,65,0.2358,-0.0155139346941278,intermediate,615.0706226825714
S2b-066,0.5,66,0.2522,-0.0178825749109952,intermediate,615.7232794761658
S2b-067,0.5,67,0.4263,-0.034333985898785,collapsed,609.5149722099304
S2b-068,0.5,68,0.2638,-0.0111779195914366,intermediate,609.3220503330231
S2b-069,0.5,69,0.2879,-0.0417209301043565,intermediate,609.3005521297455
S2b-070,0.5,70,0.2191999999999999,-0.0452480257721855,intermediate,610.1356992721558
S2b-071,0.5,71,0.4315,-0.0331687419316719,collapsed,609.1072163581848
S2b-072,0.5,72,0.3682999999999999,-0.0101254674431877,intermediate,610.5819430351257
S2b-073,0.5,73,0.2425,-0.0365891806585375,intermediate,610.9031908512115
S2b-074,0.5,74,0.1784,-0.0804810090383517,ordered,613.243447303772
S2b-075,0.5,75,0.4325,-0.0488738871599507,collapsed,615.4891459941864
S2b-076,0.5,76,0.2718,-0.0313302682756508,intermediate,613.1889815330505
