experiment_id,lambda,seed,final_error,avg_cos,phase,time
S2b-060,0.5,60,0.29579999999999995,-0.020212761803378103,intermediate,618.151645898819
S2b-061,0.5,61,0.24160000000000004,-0.03682591817657284,intermediate,619.2985031604767
S2b-062,0.5,62,0.27780000000000005,-0.035613492757642674,intermediate,614.3567204475403
S2b-063,0.5,63,0.39759999999999995,-0.04496474843539953,intermediate,610.8636705875397
S2b-064,0.5,64,0.24739999999999995,-0.016670319725330493,intermediate,609.4886112213135
S2b-065,0.5,65,0.2358,-0.015513934694127804,intermediate,615.0706226825714
S2b-066,0.5,66,0.2522,-0.017882574910995295,intermediate,615.7232794761658
S2b-067,0.5,67,0.4263,-0.03433398589878509,collapsed,609.5149722099304
S2b-068,0.5,68,0.26380000000000003,-0.01117791959143669,intermediate,609.3220503330231
S2b-069,0.5,69,0.28790000000000004,-0.041720930104356554,intermediate,609.3005521297455
S2b-070,0.5,70,0.21919999999999995,-0.04524802577218554,intermediate,610.1356992721558
S2b-071,0.5,71,0.4315,-0.033168741931671956,collapsed,609.1072163581848
S2b-072,0.5,72,0.36829999999999996,-0.01012546744318774,intermediate,610.5819430351257
S2b-073,0.5,73,0.24250000000000005,-0.036589180658537564,intermediate,610.9031908512115
S2b-074,0.5,74,0.1784,-0.08048100903835172,ordered,613.243447303772
S2b-075,0.5,75,0.4325,-0.04887388715995072,collapsed,615.4891459941864
S2b-076,0.5,76,0.27180000000000004,-0.03133026827565081,intermediate,613.1889815330505
S2b-077,0.5,77,0.2338,-0.036960787177537285,intermediate,612.6683278083801
S2b-078,0.5,78,0.2693,-0.043797514355534736,intermediate,609.916746377945
S2b-079,0.5,79,0.3315,0.0006961833161351815,intermediate,609.5752582550049
S2b-080,0.5,80,0.19099999999999995,-0.07022230670559909,ordered,614.0293402671814
S2b-081,0.5,81,0.2601,-0.026973313837898992,intermediate,612.7971940040588
S2b-082,0.5,82,0.27780000000000005,-0.020747107624816373,intermediate,614.5357856750488
S2b-083,0.5,83,0.22899999999999998,-0.06416913935185853,intermediate,620.4015257358551
S2b-084,0.5,84,0.28359999999999996,-0.014170553719610623,intermediate,617.9090795516968
S2b-085,0.5,85,0.22819999999999996,-0.06080222314028829,intermediate,612.7528076171875
S2b-086,0.5,86,0.42400000000000004,-0.0209259708963034,collapsed,612.6342692375183
S2b-087,0.5,87,0.30789999999999995,-0.03796589019539949,intermediate,615.4971730709076
S2b-088,0.5,88,0.3571,-0.0520571501688718,intermediate,612.6481606960297
S2b-089,0.5,89,0.24829999999999997,-0.030970576540068063,intermediate,612.8904836177826
S2b-090,0.5,90,0.2681,-0.04422484716686791,intermediate,611.6330754756927
S2b-091,0.5,91,0.23460000000000003,-0.06551918752885266,intermediate,612.9043474197388
S2b-092,0.5,92,0.32989999999999997,-0.009568185665809826,intermediate,611.4406597614288
S2b-093,0.5,93,0.2449,-0.02472275141698762,intermediate,612.4240741729736
S2b-094,0.5,94,0.24660000000000004,-0.024515311807240786,intermediate,613.2301058769226
S2b-095,0.5,95,0.3692,-0.0039959184814016445,intermediate,612.2361080646515
S2b-096,0.5,96,0.5485,-0.037439299577856626,collapsed,613.4082267284393
S2b-097,0.5,97,0.37429999999999997,-0.024002106069563114,intermediate,613.2589228153229
S2b-098,0.5,98,0.2388,-0.0304606129288405,intermediate,613.0207211971283
S2b-099,0.5,99,0.34519999999999995,-0.02483655435504447,intermediate,612.8973865509033
S2b-100,0.5,100,0.25770000000000004,-0.030375896331281592,intermediate,613.1412317752838
S2b-101,0.5,101,0.2669,-0.019750980725440632,intermediate,623.2742927074432
S2b-102,0.5,102,0.23909999999999998,-0.03459682377845249,intermediate,617.2874386310577
S2b-103,0.5,103,0.259,-0.032969676698326386,intermediate,611.6455891132355
S2b-104,0.5,104,0.19010000000000005,-0.06870999970885258,ordered,610.8554756641388
S2b-105,0.5,105,0.26539999999999997,-0.036373697354141095,intermediate,610.6126418113708
S2b-106,0.5,106,0.27059999999999995,-0.000572735481118612,intermediate,611.1392357349396
S2b-107,0.5,107,0.2844,-0.031561391729385144,intermediate,610.7186336517334
S2b-108,0.5,108,0.38549999999999995,-0.01128448309759937,intermediate,611.025137424469
S2b-109,0.5,109,0.4406,-0.005839938359746083,collapsed,609.8971753120422
S2b-110,0.5,110,0.5484,-0.05272524166918165,collapsed,612.3120357990265
S2b-111,0.5,111,0.3369,-0.00974107774766281,intermediate,615.8478634357452
S2b-112,0.5,112,0.32430000000000003,-0.02935604192306435,intermediate,616.0114607810974
S2b-113,0.5,113,0.3399,-0.016867389866962852,intermediate,620.8511390686035
S2b-114,0.5,114,0.2743,-0.039589872482994205,intermediate,621.0082137584686
S2b-115,0.5,115,0.2633,-0.03573166994132073,intermediate,621.1359767913818
S2b-116,0.5,116,0.379,-0.001062143561151117,intermediate,621.5576555728912
S2b-117,0.5,117,0.21640000000000004,-0.07383179151085419,intermediate,611.9910180568695
S2b-118,0.5,118,0.41700000000000004,-0.027138362053870248,collapsed,609.6916403770447
S2b-119,0.5,119,0.20279999999999998,-0.0802273648077229,intermediate,623.696830034256
