experiment_id,lambda,seed,final_error,avg_cos,phase,time
S2c-120,0.5,120,0.4488,-0.040293062678107644,collapsed,624.9133036136627
S2c-121,0.5,121,0.44620000000000004,-0.05178097544207086,collapsed,625.9658679962158
S2c-122,0.5,122,0.3526,-0.015055201061934767,intermediate,625.6931171417236
S2c-123,0.5,123,0.3739,-0.04225389733300568,intermediate,625.6739840507507
S2c-124,0.5,124,0.3791,-0.00395002919686982,intermediate,625.697591304779
S2c-125,0.5,125,0.3808,-0.03034313648180948,intermediate,625.572024345398
S2c-126,0.5,126,0.3712,-0.011001846016496326,intermediate,643.8464076519012
S2c-127,0.5,127,0.27,-0.03483020986621303,intermediate,629.4635698795319
S2c-128,0.5,128,0.2912,-0.024832887424628868,intermediate,625.9894061088562
S2c-129,0.5,129,0.2531,-0.03576283972859453,intermediate,625.8580822944641
S2c-130,0.5,130,0.3638,-0.01910713475584813,intermediate,626.0565361976624
S2c-131,0.5,131,0.36850000000000005,-0.03621029415536715,intermediate,626.0684142112732
S2c-132,0.5,132,0.25160000000000005,-0.01569695940252206,intermediate,626.6436009407043
S2c-133,0.5,133,0.31910000000000005,-0.028578205980462665,intermediate,626.0502960681915
S2c-134,0.5,134,0.372,-0.014472741128274538,intermediate,626.6105489730835
S2c-135,0.5,135,0.19820000000000004,-0.07803056416068492,ordered,623.1451802253723
S2c-136,0.5,136,0.30279999999999996,-0.03746091974281162,intermediate,622.569769859314
S2c-137,0.5,137,0.27949999999999997,-0.013369523476710072,intermediate,623.7398636341095
S2c-138,0.5,138,0.31000000000000005,-0.01177529794940005,intermediate,622.4820675849915
S2c-139,0.5,139,0.26670000000000005,-0.05311601354082458,intermediate,621.1298472881317
S2c-140,0.5,140,0.3107,-0.031637999323515666,intermediate,619.6155536174774
S2c-141,0.5,141,0.49260000000000004,-0.01744834020345386,collapsed,618.1974837779999
S2c-142,0.5,142,0.2733,-0.06432150989365812,intermediate,619.2252914905548
S2c-143,0.5,143,0.2965,-0.031651585927157076,intermediate,618.9569685459137
S2c-144,0.5,144,0.25529999999999997,-0.04262974597721561,intermediate,630.0101139545441
S2c-145,0.5,145,0.3176,-0.03203609670911516,intermediate,622.8523418903351
S2c-146,0.5,146,0.2731,-0.035558936159519654,intermediate,623.7265114784241
S2c-147,0.5,147,0.5596,-0.012321700784674731,collapsed,624.4337000846863
S2c-148,0.5,148,0.2551,-0.02332761519245818,intermediate,624.1814367771149
S2c-149,0.5,149,0.4083,-0.016164152136931377,collapsed,619.6072642803192
S2c-150,0.5,150,0.3174,-0.06136753909893593,intermediate,624.796534538269
S2c-151,0.5,151,0.3952,-0.015901159719330597,intermediate,625.8382813930511
S2c-152,0.5,152,0.2269,-0.04587882951093238,intermediate,626.2393922805786
S2c-153,0.5,153,0.27090000000000003,-0.01887367883671909,intermediate,625.0805189609528
S2c-154,0.5,154,0.2592,-0.01736303921040547,intermediate,626.4309754371643
S2c-155,0.5,155,0.4196,-0.06975165111220048,collapsed,633.1176888942719
S2c-156,0.5,156,0.18820000000000003,-0.09763323917589982,ordered,636.0066874027252
S2c-157,0.5,157,0.25749999999999995,-0.03666581527819252,intermediate,636.5215482711792
S2c-158,0.5,158,0.42889999999999995,-0.027638334925298356,collapsed,635.689023733139
S2c-159,0.5,159,0.4659,-0.010160711113638506,collapsed,636.8497848510742
S2c-160,0.5,160,0.24660000000000004,-0.03764602735888971,intermediate,637.778003692627
S2c-161,0.5,161,0.31379999999999997,-0.015256433299664236,intermediate,633.3036768436432
S2c-162,0.5,162,0.6059,-0.028917449953614217,collapsed,638.3539826869965
S2c-163,0.5,163,0.2931,-0.02940997450766617,intermediate,626.9153409004211
S2c-164,0.5,164,0.29179999999999995,-0.032927453357756625,intermediate,627.1795818805695
S2c-165,0.5,165,0.34519999999999995,-0.008237113713795242,intermediate,628.654283285141
S2c-166,0.5,166,0.41659999999999997,-0.028577817554991895,collapsed,624.8232927322388
S2c-167,0.5,167,0.2257,-0.02765385946573105,intermediate,624.1994636058807
S2c-168,0.5,168,0.23260000000000003,-0.039219929265934615,intermediate,622.2314183712006
S2c-169,0.5,169,0.5146,-0.025336479884456503,collapsed,623.8108747005463
S2c-170,0.5,170,0.2532,-0.02377823223065578,intermediate,630.9875659942627
S2c-171,0.5,171,0.2512,-0.017670533667111823,intermediate,631.1732094287872
S2c-172,0.5,172,0.32330000000000003,-0.01700443661809728,intermediate,630.8816652297974
S2c-173,0.5,173,0.33209999999999995,-0.022966847299774558,intermediate,630.5437452793121
S2c-174,0.5,174,0.23729999999999996,-0.08560348359536503,intermediate,631.4046046733856
S2c-175,0.5,175,0.2258,-0.030678170769486094,intermediate,630.8367173671722
S2c-176,0.5,176,0.25770000000000004,-0.04316791038378587,intermediate,631.825982093811
S2c-177,0.5,177,0.3435,-0.02573713927933642,intermediate,630.8852746486664
S2c-178,0.5,178,0.2279,-0.043513354926087364,intermediate,630.7845525741577
S2c-179,0.5,179,0.24260000000000004,-0.027786728486092645,intermediate,642.1437618732452
