experiment_id,lambda,seed,final_error,avg_cos,phase,time
S2f-L0.48-000,0.48,0,0.1915,-0.11823677610456873,ordered,646.4361248016357
S2f-L0.48-001,0.48,1,0.1725,-0.0793520479153293,ordered,646.9004135131836
S2f-L0.48-002,0.48,2,0.1612,-0.13057075877473165,ordered,647.0138564109802
S2f-L0.48-003,0.48,3,0.15980000000000005,-0.12097794525267391,ordered,647.031585931778
S2f-L0.48-004,0.48,4,0.2358,-0.06826331996926159,intermediate,647.1038525104523
S2f-L0.48-005,0.48,5,0.28049999999999997,-0.05052917788734443,intermediate,646.8812935352325
S2f-L0.48-006,0.48,6,0.25139999999999996,-0.04939940039454532,intermediate,653.8324241638184
S2f-L0.48-007,0.48,7,0.34530000000000005,-0.03149486956379035,intermediate,649.6107797622681
S2f-L0.48-008,0.48,8,0.23370000000000002,-0.09049499937463837,intermediate,647.9505841732025
S2f-L0.48-009,0.48,9,0.20020000000000004,-0.09825669988095335,intermediate,648.1270277500153
S2f-L0.48-010,0.48,10,0.17259999999999998,-0.10313863132987647,ordered,647.8421700000763
S2f-L0.48-011,0.48,11,0.20499999999999996,-0.07374044521819273,intermediate,647.6322844028473
S2f-L0.48-012,0.48,12,0.21430000000000005,-0.07994252401212236,intermediate,648.4568908214569
S2f-L0.48-013,0.48,13,0.17020000000000002,-0.11967403980501815,ordered,648.0161354541779
S2f-L0.48-014,0.48,14,0.20940000000000003,-0.06807788741345427,intermediate,647.6669063568115
S2f-L0.48-015,0.48,15,0.22460000000000002,-0.07140787122361611,intermediate,647.9143407344818
S2f-L0.48-016,0.48,16,0.18330000000000002,-0.0935840100425887,ordered,648.1995303630829
S2f-L0.48-017,0.48,17,0.26639999999999997,-0.059311887299201255,intermediate,647.0759689807892
S2f-L0.48-018,0.48,18,0.29359999999999997,-0.05623750880780529,intermediate,648.7061133384705
S2f-L0.48-019,0.48,19,0.1936,-0.09474456765145488,ordered,652.2619669437408
S2f-L0.48-020,0.48,20,0.2508,-0.07183812030115906,intermediate,647.8485515117645
S2f-L0.48-021,0.48,21,0.26439999999999997,-0.07785778371187767,intermediate,647.0938816070557
S2f-L0.48-022,0.48,22,0.22509999999999997,-0.05456791621528337,intermediate,646.4457378387451
S2f-L0.48-023,0.48,23,0.1876,-0.12478779051866269,ordered,646.5437672138214
S2f-L0.48-024,0.48,24,0.15910000000000002,-0.11718635569610489,ordered,659.0037305355072
S2f-L0.48-025,0.48,25,0.18999999999999995,-0.09422159442494266,ordered,648.5336771011353
S2f-L0.48-026,0.48,26,0.17859999999999998,-0.099257422468271,ordered,654.2501831054688
S2f-L0.48-027,0.48,27,0.17679999999999996,-0.11871787734117063,ordered,649.0601840019226
S2f-L0.48-028,0.48,28,0.15590000000000004,-0.13957521636843234,ordered,648.5576417446136
S2f-L0.48-029,0.48,29,0.1894,-0.08894328705553674,ordered,647.1676368713379
S2f-L0.48-030,0.48,30,0.15159999999999996,-0.13727970680726778,ordered,647.028712272644
S2f-L0.48-031,0.48,31,0.17589999999999995,-0.11204544052596287,ordered,646.5404841899872
S2f-L0.48-032,0.48,32,0.1985,-0.10936883710622038,ordered,646.4858291149139
S2f-L0.48-033,0.48,33,0.18369999999999997,-0.11864598256889232,ordered,650.3087701797485
S2f-L0.48-034,0.48,34,0.3268,-0.03804791662999433,intermediate,647.4295697212219
S2f-L0.48-035,0.48,35,0.2761,-0.04622772418832102,intermediate,646.4182546138763
S2f-L0.48-036,0.48,36,0.20830000000000004,-0.0772997449884222,intermediate,646.7587602138519
S2f-L0.48-037,0.48,37,0.16400000000000003,-0.11534547054049633,ordered,646.5173151493073
S2f-L0.48-038,0.48,38,0.2935,-0.04513867021414774,intermediate,646.7849893569946
S2f-L0.48-039,0.48,39,0.19030000000000002,-0.11164209479255821,ordered,646.3399739265442
S2f-L0.48-040,0.48,40,0.36929999999999996,-0.04330103958903441,intermediate,647.2532484531403
S2f-L0.48-041,0.48,41,0.17920000000000003,-0.1263002826976091,ordered,646.8455719947815
S2f-L0.48-042,0.48,42,0.18069999999999997,-0.13853029426175992,ordered,656.3962442874908
S2f-L0.48-043,0.48,43,0.17090000000000005,-0.11569422008232713,ordered,650.3892629146576
S2f-L0.48-044,0.48,44,0.25560000000000005,-0.05766847407989672,intermediate,646.8827681541443
S2f-L0.48-045,0.48,45,0.16110000000000002,-0.14127219572169136,ordered,648.2235584259033
S2f-L0.48-046,0.48,46,0.2603,-0.05224696204447299,intermediate,646.6992473602295
S2f-L0.48-047,0.48,47,0.19120000000000004,-0.0937608053081025,ordered,646.5712554454803
S2f-L0.48-048,0.48,48,0.1734,-0.10846984720673963,ordered,652.066472530365
S2f-L0.48-049,0.48,49,0.1926,-0.11579474454225343,ordered,652.8163259029388
S2f-L0.52-000,0.52,0,0.35140000000000005,0.018350695322112687,intermediate,653.3399200439453
S2f-L0.52-001,0.52,1,0.34430000000000005,0.005804856320265775,intermediate,653.4921691417694
S2f-L0.52-002,0.52,2,0.3266,0.006008688090707661,intermediate,653.1036491394043
S2f-L0.52-003,0.52,3,0.4757,-0.01614383054257499,collapsed,653.0933384895325
S2f-L0.52-004,0.52,4,0.5699000000000001,-0.010613082531686366,collapsed,653.2687485218048
S2f-L0.52-005,0.52,5,0.352,0.011621219758377932,intermediate,653.4550790786743
S2f-L0.52-006,0.52,6,0.36,0.008755953589380642,intermediate,653.4202301502228
S2f-L0.52-007,0.52,7,0.3103,-0.008108979704729232,intermediate,655.6930842399597
S2f-L0.52-008,0.52,8,0.2631,-0.003975215140244287,intermediate,658.0274066925049
S2f-L0.52-009,0.52,9,0.6452,-0.02608411886165636,collapsed,658.6917107105255
