experiment_id,eta,lambda,seed,final_error,avg_cos,phase,time
S2g-0.40-000,0.8,0.4,0,0.23250000000000004,-0.4357407256506314,intermediate,621.7089807987213
S2g-0.40-001,0.8,0.4,1,0.21940000000000004,-0.43433719907640195,intermediate,627.712522983551
S2g-0.40-002,0.8,0.4,2,0.24229999999999996,-0.4326627011833015,intermediate,625.4301495552063
S2g-0.40-003,0.8,0.4,3,0.2116,-0.4334154181440162,intermediate,621.6975772380829
S2g-0.40-004,0.8,0.4,4,0.28459999999999996,-0.4230670086784782,intermediate,621.7133996486664
S2g-0.40-005,0.8,0.4,5,0.21740000000000004,-0.4357059195609668,intermediate,621.7920942306519
S2g-0.40-006,0.8,0.4,6,0.21430000000000005,-0.4357270023637874,intermediate,635.4158744812012
S2g-0.40-007,0.8,0.4,7,0.24150000000000005,-0.43893324237622133,intermediate,625.7060849666595
S2g-0.40-008,0.8,0.4,8,0.21799999999999997,-0.4537186895778559,intermediate,622.238267660141
S2g-0.40-009,0.8,0.4,9,0.24529999999999996,-0.4246264904494664,intermediate,622.4154398441315
S2g-0.40-010,0.8,0.4,10,0.2227,-0.43049033958698885,intermediate,622.0886211395264
S2g-0.40-011,0.8,0.4,11,0.23299999999999998,-0.42753276572441584,intermediate,622.0332779884338
S2g-0.40-012,0.8,0.4,12,0.2722,-0.4299381070568853,intermediate,622.2776064872742
S2g-0.40-013,0.8,0.4,13,0.2098,-0.44628227245702873,intermediate,622.1191487312317
S2g-0.40-014,0.8,0.4,14,0.21840000000000004,-0.44090722388339615,intermediate,622.8133437633514
S2g-0.40-015,0.8,0.4,15,0.22829999999999995,-0.4359988248214478,intermediate,622.3903164863586
S2g-0.40-016,0.8,0.4,16,0.21650000000000003,-0.4412322698330343,intermediate,622.1211309432983
S2g-0.40-017,0.8,0.4,17,0.23809999999999998,-0.4542452032634469,intermediate,621.7117004394531
S2g-0.40-018,0.8,0.4,18,0.20850000000000002,-0.4381571332076611,intermediate,622.265771150589
S2g-0.40-019,0.8,0.4,19,0.23929999999999996,-0.44766972189274973,intermediate,622.0405049324036
S2g-0.40-020,0.8,0.4,20,0.20009999999999994,-0.43081364975121983,intermediate,621.5257368087769
S2g-0.40-021,0.8,0.4,21,0.22099999999999997,-0.43581714902415264,intermediate,621.9522092342377
S2g-0.40-022,0.8,0.4,22,0.21099999999999997,-0.4339798329452561,intermediate,617.3882896900177
S2g-0.40-023,0.8,0.4,23,0.23839999999999995,-0.4276929953883222,intermediate,614.8472702503204
S2g-0.40-024,0.8,0.4,24,0.20330000000000004,-0.43481348692491756,intermediate,631.0027279853821
S2g-0.40-025,0.8,0.4,25,0.2227,-0.43002651467406167,intermediate,616.5906937122345
S2g-0.40-026,0.8,0.4,26,0.24239999999999995,-0.4366078048315356,intermediate,615.7559051513672
S2g-0.40-027,0.8,0.4,27,0.22970000000000002,-0.44640010548762654,intermediate,615.2547478675842
S2g-0.40-028,0.8,0.4,28,0.21419999999999995,-0.4339933814395014,intermediate,615.2436630725861
S2g-0.40-029,0.8,0.4,29,0.21419999999999995,-0.44034439863529584,intermediate,617.7128210067749
S2g-0.40-030,0.8,0.4,30,0.20230000000000004,-0.43399563068942143,intermediate,617.7571940422058
S2g-0.40-031,0.8,0.4,31,0.21050000000000002,-0.4403897791942082,intermediate,616.9138975143433
S2g-0.40-032,0.8,0.4,32,0.22599999999999998,-0.453800632454923,intermediate,619.0235123634338
S2g-0.40-033,0.8,0.4,33,0.24209999999999998,-0.429044213273654,intermediate,618.2875907421112
S2g-0.44-000,0.8,0.44,0,0.29710000000000003,-0.4034393395733906,intermediate,618.3270013332367
S2g-0.44-001,0.8,0.44,1,0.32489999999999997,-0.3820529360424048,intermediate,618.0974218845367
S2g-0.44-002,0.8,0.44,2,0.3012,-0.44465754993107254,intermediate,615.8500306606293
S2g-0.44-003,0.8,0.44,3,0.4324,-0.35803673343111664,collapsed,615.9169945716858
S2g-0.44-004,0.8,0.44,4,0.44530000000000003,-0.3185038715844251,collapsed,615.5336356163025
S2g-0.44-005,0.8,0.44,5,0.38970000000000005,-0.34485973144002374,intermediate,617.7179043292999
S2g-0.44-006,0.8,0.44,6,0.27659999999999996,-0.4376807669954189,intermediate,618.1706235408783
S2g-0.44-007,0.8,0.44,7,0.38370000000000004,-0.3256691864249534,intermediate,618.7579009532928
S2g-0.44-008,0.8,0.44,8,0.3468,-0.4102489747489892,intermediate,633.1254088878632
S2g-0.44-009,0.8,0.44,9,0.3267,-0.4270517424895662,intermediate,618.1128900051117
S2g-0.44-010,0.8,0.44,10,0.2611,-0.44244103191021295,intermediate,617.8812375068665
S2g-0.44-011,0.8,0.44,11,0.31399999999999995,-0.43261940219836326,intermediate,617.9904630184174
S2g-0.44-012,0.8,0.44,12,0.34830000000000005,-0.41070607755809535,intermediate,618.5699009895325
S2g-0.44-013,0.8,0.44,13,0.35240000000000005,-0.3671017742512642,intermediate,618.6392087936401
S2g-0.44-014,0.8,0.44,14,0.27390000000000003,-0.42242673306754425,intermediate,618.1294455528259
S2g-0.44-015,0.8,0.44,15,0.3268,-0.3933569091484687,intermediate,618.8156831264496
S2g-0.44-016,0.8,0.44,16,0.4225,-0.30942931298027526,collapsed,619.9656462669373
S2g-0.44-017,0.8,0.44,17,0.37960000000000005,-0.3157216613155989,intermediate,618.8813922405243
S2g-0.44-018,0.8,0.44,18,0.36160000000000003,-0.36664949845294564,intermediate,617.2192621231079
S2g-0.44-019,0.8,0.44,19,0.3819,-0.3104441294316155,intermediate,615.2699193954468
S2g-0.44-020,0.8,0.44,20,0.405,-0.3066868669705285,collapsed,616.4730386734009
S2g-0.44-021,0.8,0.44,21,0.2671,-0.45954318231229474,intermediate,615.4127511978149
S2g-0.44-022,0.8,0.44,22,0.33530000000000004,-0.44933046495926804,intermediate,615.8882734775543
S2g-0.44-023,0.8,0.44,23,0.26180000000000003,-0.4258582605850973,intermediate,615.5413315296173
S2g-0.44-024,0.8,0.44,24,0.3294,-0.37906645333116445,intermediate,616.6290299892426
S2g-0.44-025,0.8,0.44,25,0.3347,-0.3136699470554417,intermediate,616.1598520278931
S2g-0.44-026,0.8,0.44,26,0.33140000000000003,-0.3743730288521061,intermediate,629.2264149188995
S2g-0.44-027,0.8,0.44,27,0.26649999999999996,-0.46237408201264835,intermediate,615.5694332122803
S2g-0.44-028,0.8,0.44,28,0.26849999999999996,-0.42101995227473543,intermediate,617.0271985530853
S2g-0.44-029,0.8,0.44,29,0.35840000000000005,-0.33457475216301363,intermediate,616.7512545585632
S2g-0.44-030,0.8,0.44,30,0.3517,-0.3238108296727652,intermediate,617.3753871917725
S2g-0.44-031,0.8,0.44,31,0.4707,-0.2898038778389562,collapsed,617.9930655956268
S2g-0.44-032,0.8,0.44,32,0.4588,-0.2807692748802234,collapsed,618.5194158554077
S2g-0.44-033,0.8,0.44,33,0.31479999999999997,-0.40632044578496157,intermediate,618.1857914924622
S2g-0.48-000,0.8,0.48,0,0.48560000000000003,-0.22233675827944593,collapsed,618.6202092170715
S2g-0.48-001,0.8,0.48,1,0.5099,-0.21320670128641983,collapsed,618.0056390762329
S2g-0.48-002,0.8,0.48,2,0.9,-0.029156987633243106,collapsed,618.1001913547516
S2g-0.48-003,0.8,0.48,3,0.667,-0.25305621716635757,collapsed,617.6569993495941
S2g-0.48-004,0.8,0.48,4,0.4444,-0.2071778881006841,collapsed,618.3168354034424
S2g-0.48-005,0.8,0.48,5,0.5488,-0.17372670908646815,collapsed,617.8762719631195
S2g-0.48-006,0.8,0.48,6,0.4383,-0.36491309612328954,collapsed,618.6500823497772
S2g-0.48-007,0.8,0.48,7,0.5384,-0.23407511615224674,collapsed,618.7637631893158
S2g-0.48-008,0.8,0.48,8,0.49970000000000003,-0.23060520584794234,collapsed,615.0552492141724
S2g-0.48-009,0.8,0.48,9,0.8079000000000001,-0.36941452681775944,collapsed,616.24422955513
S2g-0.48-010,0.8,0.48,10,0.565,-0.24326752637094842,collapsed,630.3954863548279
S2g-0.48-011,0.8,0.48,11,0.6312,-0.24141106754138097,collapsed,614.7479529380798
S2g-0.48-012,0.8,0.48,12,0.5339,-0.31694462252246236,collapsed,615.211229801178
S2g-0.48-013,0.8,0.48,13,0.6255,-0.2513056976414091,collapsed,615.0662500858307
S2g-0.48-014,0.8,0.48,14,0.42369999999999997,-0.21066496779430632,collapsed,615.6880962848663
S2g-0.48-015,0.8,0.48,15,0.5041,-0.1978799467209676,collapsed,615.3005561828613
S2g-0.48-016,0.8,0.48,16,0.5525,-0.27781334415653114,collapsed,615.0646121501923
S2g-0.48-017,0.8,0.48,17,0.9,-0.03470704930839223,collapsed,614.4994730949402
S2g-0.48-018,0.8,0.48,18,0.47350000000000003,-0.23686397690217872,collapsed,615.4123156070709
S2g-0.48-019,0.8,0.48,19,0.4628,-0.235645191197887,collapsed,615.4038736820221
S2g-0.48-020,0.8,0.48,20,0.6191,-0.2274284387423956,collapsed,626.3076989650726
S2g-0.48-021,0.8,0.48,21,0.48760000000000003,-0.19144320892141267,collapsed,630.8897874355316
S2g-0.48-022,0.8,0.48,22,0.43189999999999995,-0.21564809582173602,collapsed,630.397803068161
S2g-0.48-023,0.8,0.48,23,0.5123,-0.21841439466430493,collapsed,622.5126376152039
S2g-0.48-024,0.8,0.48,24,0.5149,-0.20025765239963145,collapsed,620.7860889434814
S2g-0.48-025,0.8,0.48,25,0.49670000000000003,-0.179230934521712,collapsed,620.1864011287689
S2g-0.48-026,0.8,0.48,26,0.6048,-0.22958470840433226,collapsed,619.7339189052582
S2g-0.48-027,0.8,0.48,27,0.5837,-0.23468923520256424,collapsed,626.0094165802002
S2g-0.48-028,0.8,0.48,28,0.5331,-0.236993797007789,collapsed,618.0308878421783
S2g-0.48-029,0.8,0.48,29,0.5710999999999999,-0.2052112696414435,collapsed,617.1696529388428
S2g-0.48-030,0.8,0.48,30,0.542,-0.21946712837291393,collapsed,626.9900376796722
S2g-0.48-031,0.8,0.48,31,0.6114999999999999,-0.2327906482613037,collapsed,631.330632686615
S2g-0.48-032,0.8,0.48,32,0.5046999999999999,-0.21604114844331612,collapsed,631.0862164497375
S2g-0.48-033,0.8,0.48,33,0.48950000000000005,-0.35299069749046036,collapsed,631.7162177562714
