seed,init_error,init_success,lifetime,censored,final_error,experiment_id,target_lambda,eta,time
0,0.2338,True,300,True,0.1008,T13-000,0.54,0.4,2481.2186341285706
1,0.24880000000000002,True,300,True,0.10050000000000003,T13-001,0.54,0.4,2504.3115487098694
2,0.21309999999999996,True,300,True,0.09930000000000005,T13-002,0.54,0.4,2486.5457599163055
3,0.23109999999999997,True,300,True,0.09919999999999995,T13-003,0.54,0.4,2486.356628894806
4,0.2349,True,300,True,0.09909999999999997,T13-004,0.54,0.4,2498.615233182907
5,0.24129999999999996,True,300,True,0.09970000000000001,T13-005,0.54,0.4,2487.157828807831
6,0.2459,True,300,True,0.09830000000000005,T13-006,0.54,0.4,2482.4659836292267
7,0.24409999999999998,True,300,True,0.0978,T13-007,0.54,0.4,2483.558080673218
8,0.2653,True,300,True,0.10040000000000004,T13-008,0.54,0.4,2485.860775947571
9,0.26160000000000005,True,300,True,0.09950000000000003,T13-009,0.54,0.4,2490.6695108413696
10,0.22330000000000005,True,300,True,0.09340000000000004,T13-010,0.54,0.4,2509.617882013321
11,0.24670000000000003,True,300,True,0.10609999999999997,T13-011,0.54,0.4,2497.8036963939667
12,0.2289,True,300,True,0.10429999999999995,T13-012,0.54,0.4,2475.4500946998596
13,0.245,True,300,True,0.09630000000000005,T13-013,0.54,0.4,2470.6364591121674
14,0.23839999999999995,True,300,True,0.09709999999999996,T13-014,0.54,0.4,2481.3782863616943
15,0.24339999999999995,True,300,True,0.10119999999999996,T13-015,0.54,0.4,2480.023182630539
16,0.27359999999999995,True,300,True,0.09899999999999998,T13-016,0.54,0.4,2480.669588327408
17,0.23819999999999997,True,300,True,0.0947,T13-017,0.54,0.4,2477.9731438159943
18,0.2579,True,300,True,0.09719999999999995,T13-018,0.54,0.4,2485.8749208450317
19,0.23929999999999996,True,300,True,0.10309999999999997,T13-019,0.54,0.4,2486.092092037201
20,0.28890000000000005,True,300,True,0.10119999999999996,T13-020,0.54,0.4,2476.7348980903625
21,0.2502,True,300,True,0.09830000000000005,T13-021,0.54,0.4,2486.803790330887
22,0.24829999999999997,True,300,True,0.10119999999999996,T13-022,0.54,0.4,2478.470016002655
23,0.23329999999999995,True,300,True,0.10289999999999999,T13-023,0.54,0.4,2477.813905954361
24,0.22089999999999999,True,300,True,0.09989999999999999,T13-024,0.54,0.4,2480.261729478836
25,0.28369999999999995,True,300,True,0.0988,T13-025,0.54,0.4,2485.5857226848602
26,0.23429999999999995,True,300,True,0.10089999999999999,T13-026,0.54,0.4,2479.0131509304047
27,0.24060000000000004,True,300,True,0.10009999999999997,T13-027,0.54,0.4,2473.065235376358
28,0.24609999999999999,True,300,True,0.09589999999999999,T13-028,0.54,0.4,2480.4389889240265
29,0.21740000000000004,True,300,True,0.09650000000000003,T13-029,0.54,0.4,2480.7606225013733
30,0.21919999999999995,True,300,True,0.09809999999999997,T13-030,0.54,0.4,2468.8661992549896
31,0.253,True,300,True,0.09809999999999997,T13-031,0.54,0.4,2472.148905277252
32,0.26339999999999997,True,300,True,0.09499999999999997,T13-032,0.54,0.4,2468.55415725708
33,0.23609999999999998,True,300,True,0.10089999999999999,T13-033,0.54,0.4,2473.821193218231
34,0.22509999999999997,True,300,True,0.09799999999999998,T13-034,0.54,0.4,2478.450157403946
35,0.28159999999999996,True,300,True,0.09619999999999995,T13-035,0.54,0.4,2490.5721497535706
36,0.26970000000000005,True,300,True,0.10019999999999996,T13-036,0.54,0.4,2489.6722905635834
37,0.2378,True,300,True,0.10050000000000003,T13-037,0.54,0.4,2497.2296595573425
38,0.2834,True,300,True,0.09699999999999998,T13-038,0.54,0.4,2506.168933391571
39,0.2237,True,300,True,0.10209999999999997,T13-039,0.54,0.4,2495.5045149326324
40,0.23029999999999995,True,300,True,0.09670000000000001,T13-040,0.54,0.4,2498.9062206745148
41,0.23529999999999995,True,300,True,0.09589999999999999,T13-041,0.54,0.4,2495.7894616127014
42,0.25229999999999997,True,300,True,0.09570000000000001,T13-042,0.54,0.4,2505.516923427582
43,0.2694,True,300,True,0.09670000000000001,T13-043,0.54,0.4,2499.0429031848907
44,0.25460000000000005,True,300,True,0.09940000000000004,T13-044,0.54,0.4,2499.414204597473
45,0.25749999999999995,True,300,True,0.10260000000000002,T13-045,0.54,0.4,2503.0094830989838
46,0.29290000000000005,True,300,True,0.09860000000000002,T13-046,0.54,0.4,2496.5864293575287
47,0.2943,True,300,True,0.09899999999999998,T13-047,0.54,0.4,2493.9233436584473
48,0.2398,True,300,True,0.09960000000000002,T13-048,0.54,0.4,2494.5350482463837
49,0.3496,False,0,False,0.3496,T13-049,0.54,0.4,325.4534652233124
