seed,lambda,error,branch
0,0.3,0.12939999999999996,ordered_up
0,0.32,0.129,ordered_up
0,0.34,0.12670000000000003,ordered_up
0,0.36,0.12949999999999995,ordered_up
0,0.38,0.12490000000000001,ordered_up
0,0.4,0.12629999999999997,ordered_up
0,0.42,0.122,ordered_up
0,0.44,0.12360000000000004,ordered_up
0,0.46,0.12580000000000002,ordered_up
0,0.48,0.12,ordered_up
0,0.5,0.12290000000000001,ordered_up
0,0.52,0.1199,ordered_up
0,0.54,0.11819999999999997,ordered_up
0,0.56,0.11909999999999998,ordered_up
0,0.58,0.11609999999999998,ordered_up
0,0.6,0.11719999999999997,ordered_up
0,0.62,0.11350000000000005,ordered_up
0,0.64,0.11460000000000004,ordered_up
0,0.66,0.11329999999999996,ordered_up
0,0.68,0.11460000000000004,ordered_up
0,0.7,0.11529999999999996,ordered_up
1,0.3,0.1331,ordered_up
1,0.32,0.13070000000000004,ordered_up
1,0.34,0.133,ordered_up
1,0.36,0.13019999999999998,ordered_up
1,0.38,0.129,ordered_up
1,0.4,0.12629999999999997,ordered_up
1,0.42,0.12819999999999998,ordered_up
1,0.44,0.12729999999999997,ordered_up
1,0.46,0.1269,ordered_up
1,0.48,0.12419999999999998,ordered_up
1,0.5,0.1261,ordered_up
1,0.52,0.12280000000000002,ordered_up
1,0.54,0.12190000000000001,ordered_up
1,0.56,0.12250000000000005,ordered_up
1,0.58,0.121,ordered_up
1,0.6,0.12109999999999999,ordered_up
1,0.62,0.123,ordered_up
1,0.64,0.11660000000000004,ordered_up
1,0.66,0.11970000000000003,ordered_up
1,0.68,0.11539999999999995,ordered_up
1,0.7,0.1179,ordered_up
2,0.3,0.13249999999999995,ordered_up
2,0.32,0.13090000000000002,ordered_up
2,0.34,0.1281,ordered_up
2,0.36,0.1269,ordered_up
2,0.38,0.12719999999999998,ordered_up
2,0.4,0.12529999999999997,ordered_up
2,0.42,0.12160000000000004,ordered_up
2,0.44,0.12319999999999998,ordered_up
2,0.46,0.122,ordered_up
2,0.48,0.12170000000000003,ordered_up
2,0.5,0.11919999999999997,ordered_up
2,0.52,0.12029999999999996,ordered_up
