seed,branch,lambda,error
5,low_error,0.4,0.45809999999999995
5,low_error,0.45,0.44999999999999996
5,low_error,0.5,0.44410000000000005
5,low_error,0.55,0.4426
5,low_error,0.6,0.4347
5,low_error,0.65,0.43179999999999996
5,low_error,0.7,0.4225
5,low_error,0.75,0.41359999999999997
5,low_error,0.8,0.41559999999999997
5,collapse,0.8,0.9
5,collapse,0.75,0.9
5,collapse,0.7,0.9
5,collapse,0.65,0.9
5,collapse,0.6,0.9
5,collapse,0.55,0.9
5,collapse,0.5,0.9
5,collapse,0.45,0.9
5,collapse,0.4,0.9
3,low_error,0.4,0.4596
3,low_error,0.45,0.46240000000000003
3,low_error,0.5,0.44989999999999997
3,low_error,0.55,0.4494
3,low_error,0.6,0.44210000000000005
3,low_error,0.65,0.43279999999999996
3,low_error,0.7,0.42969999999999997
3,low_error,0.75,0.4123
3,low_error,0.8,0.40449999999999997
3,collapse,0.8,0.9
3,collapse,0.75,0.9
3,collapse,0.7,0.9
3,collapse,0.65,0.9
3,collapse,0.6,0.9
3,collapse,0.55,0.9
3,collapse,0.5,0.9
3,collapse,0.45,0.9
3,collapse,0.4,0.9
9,low_error,0.4,0.47309999999999997
9,low_error,0.45,0.4625
9,low_error,0.5,0.46909999999999996
9,low_error,0.55,0.4534
9,low_error,0.6,0.4417
9,low_error,0.65,0.43200000000000005
9,low_error,0.7,0.42300000000000004
9,low_error,0.75,0.41579999999999995
9,low_error,0.8,0.4084
9,collapse,0.8,0.9
9,collapse,0.75,0.9
9,collapse,0.7,0.9
9,collapse,0.65,0.9
9,collapse,0.6,0.9
9,collapse,0.55,0.9
9,collapse,0.5,0.9
9,collapse,0.45,0.9
9,collapse,0.4,0.9
