seed,lambda,error
0,0.7,0.5271
0,0.68,0.5218
0,0.66,0.5139
0,0.64,0.5172
0,0.62,0.5059
0,0.6,0.4978
0,0.58,0.49260000000000004
0,0.56,0.47619999999999996
0,0.54,0.47909999999999997
0,0.52,0.47309999999999997
0,0.5,0.46830000000000005
0,0.48,0.4677
0,0.46,0.4658
0,0.44,0.4477
0,0.42,0.44720000000000004
0,0.4,0.44089999999999996
0,0.38,0.4423
0,0.36,0.4325
0,0.34,0.4354
0,0.32,0.42379999999999995
0,0.3,0.4214
0,0.28,0.42200000000000004
0,0.26,0.41069999999999995
0,0.24,0.41100000000000003
0,0.22,0.4085
0,0.2,0.4054
0,0.18,0.4013
0,0.16,0.40080000000000005
0,0.14,0.40059999999999996
0,0.12,0.39559999999999995
0,0.1,0.38949999999999996
2,0.7,0.5019
2,0.68,0.4907
2,0.66,0.47509999999999997
2,0.64,0.4737
2,0.62,0.47
2,0.6,0.4488
2,0.58,0.45099999999999996
2,0.56,0.44430000000000003
2,0.54,0.4324
2,0.52,0.4181
2,0.5,0.4052
2,0.48,0.39259999999999995
2,0.46,0.39780000000000004
2,0.44,0.39280000000000004
2,0.42,0.3811
2,0.4,0.38780000000000003
2,0.38,0.39180000000000004
2,0.36,0.38770000000000004
2,0.34,0.3719
2,0.32,0.36560000000000004
2,0.3,0.3691
2,0.28,0.3599
2,0.26,0.364
2,0.24,0.3698
2,0.22,0.3591
2,0.2,0.3578
2,0.18,0.35729999999999995
2,0.16,0.34750000000000003
2,0.14,0.35929999999999995
2,0.12,0.34199999999999997
2,0.1,0.3458
4,0.7,0.4756
4,0.68,0.46220000000000006
4,0.66,0.4688
4,0.64,0.45509999999999995
4,0.62,0.4586
4,0.6,0.44099999999999995
4,0.58,0.44820000000000004
4,0.56,0.43189999999999995
4,0.54,0.42769999999999997
4,0.52,0.4173
4,0.5,0.42169999999999996
4,0.48,0.4164
4,0.46,0.41279999999999994
4,0.44,0.4061
4,0.42,0.40269999999999995
4,0.4,0.3991
4,0.38,0.3951
4,0.36,0.396
4,0.34,0.38339999999999996
4,0.32,0.3872
4,0.3,0.3852
4,0.28,0.3802
4,0.26,0.38239999999999996
4,0.24,0.3729
4,0.22,0.37170000000000003
4,0.2,0.366
4,0.18,0.3658
4,0.16,0.36550000000000005
4,0.14,0.363
4,0.12,0.3701
4,0.1,0.358
5,0.7,0.7961
5,0.68,0.7968
5,0.66,0.7964
5,0.64,0.7924
5,0.62,0.7895
5,0.6,0.794
5,0.58,0.7971
5,0.56,0.7976
5,0.54,0.7939
5,0.52,0.7926
5,0.5,0.7978000000000001
5,0.48,0.8049999999999999
5,0.46,0.7925
5,0.44,0.7978000000000001
5,0.42,0.7916
5,0.4,0.7991
5,0.38,0.7916
5,0.36,0.7944
5,0.34,0.798
5,0.32,0.7977
5,0.3,0.7961
5,0.28,0.7997
5,0.26,0.7962
5,0.24,0.7994
5,0.22,0.7969999999999999
5,0.2,0.7865
5,0.18,0.7998000000000001
5,0.16,0.7996
5,0.14,0.8007
5,0.12,0.8008
5,0.1,0.7992
8,0.7,0.5470999999999999
8,0.68,0.5421
8,0.66,0.5186999999999999
8,0.64,0.5095000000000001
8,0.62,0.482
8,0.6,0.47330000000000005
8,0.58,0.47150000000000003
8,0.56,0.45109999999999995
8,0.54,0.45299999999999996
8,0.52,0.45120000000000005
8,0.5,0.4484
8,0.48,0.42610000000000003
8,0.46,0.4263
8,0.44,0.41090000000000004
8,0.42,0.41459999999999997
8,0.4,0.40059999999999996
8,0.38,0.3993
8,0.36,0.39949999999999997
8,0.34,0.397
8,0.32,0.39259999999999995
8,0.3,0.38180000000000003
8,0.28,0.38180000000000003
8,0.26,0.37450000000000006
8,0.24,0.37
8,0.22,0.36850000000000005
8,0.2,0.3627
8,0.18,0.3621
8,0.16,0.36240000000000006
8,0.14,0.35229999999999995
8,0.12,0.34830000000000005
8,0.1,0.357
