seed,lambda,error
0,0.3,0.13029999999999997
0,0.32,0.131
0,0.34,0.13129999999999997
0,0.36,0.13029999999999997
0,0.38,0.13080000000000003
0,0.4,0.13029999999999997
0,0.42,0.12870000000000004
0,0.44,0.12839999999999996
0,0.46,0.12870000000000004
0,0.48,0.12719999999999998
0,0.5,0.12890000000000001
0,0.52,0.12780000000000002
0,0.54,0.12580000000000002
0,0.56,0.12570000000000003
0,0.58,0.126
0,0.6,0.1261
0,0.62,0.12450000000000006
0,0.64,0.12490000000000001
0,0.66,0.12439999999999996
0,0.68,0.12729999999999997
0,0.7,0.12119999999999997
0,0.72,0.12319999999999998
0,0.74,0.12209999999999999
0,0.76,0.12119999999999997
0,0.78,0.12050000000000005
0,0.8,0.12060000000000004
0,0.82,0.12050000000000005
0,0.84,0.1169
0,0.86,0.11919999999999997
0,0.88,0.11960000000000004
0,0.9,0.1199
1,0.3,0.13370000000000004
1,0.32,0.13449999999999995
1,0.34,0.13290000000000002
1,0.36,0.13380000000000003
1,0.38,0.13370000000000004
1,0.4,0.1341
1,0.42,0.13139999999999996
1,0.44,0.12939999999999996
1,0.46,0.13049999999999995
1,0.48,0.1321
1,0.5,0.13119999999999998
1,0.52,0.12970000000000004
1,0.54,0.12939999999999996
1,0.56,0.13
1,0.58,0.12770000000000004
1,0.6,0.12719999999999998
1,0.62,0.13080000000000003
1,0.64,0.1269
1,0.66,0.1281
1,0.68,0.12760000000000005
1,0.7,0.1291
1,0.72,0.12380000000000002
1,0.74,0.12450000000000006
1,0.76,0.125
1,0.78,0.12519999999999998
1,0.8,0.12409999999999999
1,0.82,0.1261
1,0.84,0.12209999999999999
1,0.86,0.11939999999999995
1,0.88,0.12009999999999998
1,0.9,0.123
2,0.3,0.13119999999999998
2,0.32,0.12970000000000004
2,0.34,0.13139999999999996
2,0.36,0.13090000000000002
2,0.38,0.13049999999999995
2,0.4,0.13129999999999997
2,0.42,0.132
2,0.44,0.12880000000000003
2,0.46,0.12919999999999998
2,0.48,0.12860000000000005
2,0.5,0.12670000000000003
2,0.52,0.12639999999999996
2,0.54,0.12380000000000002
2,0.56,0.12780000000000002
2,0.58,0.12980000000000003
2,0.6,0.1259
2,0.62,0.12629999999999997
2,0.64,0.1271
2,0.66,0.12350000000000005
2,0.68,0.12539999999999996
2,0.7,0.12309999999999999
2,0.72,0.125
2,0.74,0.12390000000000001
2,0.76,0.12560000000000004
2,0.78,0.12260000000000004
2,0.8,0.12139999999999995
2,0.82,0.11919999999999997
2,0.84,0.12139999999999995
2,0.86,0.12429999999999997
2,0.88,0.12090000000000001
2,0.9,0.12109999999999999
3,0.3,0.1372
3,0.32,0.13749999999999996
3,0.34,0.13319999999999999
3,0.36,0.13529999999999998
3,0.38,0.13219999999999998
3,0.4,0.1331
3,0.42,0.13119999999999998
3,0.44,0.1301
3,0.46,0.13129999999999997
3,0.48,0.12949999999999995
3,0.5,0.12949999999999995
3,0.52,0.12839999999999996
3,0.54,0.13160000000000005
3,0.56,0.12970000000000004
3,0.58,0.1279
3,0.6,0.12919999999999998
3,0.62,0.1291
3,0.64,0.1281
3,0.66,0.12890000000000001
3,0.68,0.1269
3,0.7,0.12760000000000005
3,0.72,0.126
3,0.74,0.12719999999999998
3,0.76,0.12339999999999995
3,0.78,0.12470000000000003
3,0.8,0.12490000000000001
3,0.82,0.12539999999999996
3,0.84,0.12339999999999995
3,0.86,0.12419999999999998
3,0.88,0.12239999999999995
3,0.9,0.13129999999999997
4,0.3,0.13629999999999998
4,0.32,0.1372
4,0.34,0.13649999999999995
4,0.36,0.13370000000000004
4,0.38,0.13549999999999995
4,0.4,0.13490000000000002
4,0.42,0.13539999999999996
4,0.44,0.13490000000000002
4,0.46,0.13349999999999995
4,0.48,0.13419999999999999
4,0.5,0.13139999999999996
4,0.52,0.13290000000000002
4,0.54,0.13149999999999995
4,0.56,0.13119999999999998
4,0.58,0.129
4,0.6,0.13049999999999995
4,0.62,0.1301
4,0.64,0.1291
4,0.66,0.12929999999999997
4,0.68,0.12760000000000005
4,0.7,0.12560000000000004
4,0.72,0.12739999999999996
4,0.74,0.127
4,0.76,0.12960000000000005
4,0.78,0.13060000000000005
4,0.8,0.12719999999999998
4,0.82,0.12660000000000005
4,0.84,0.12929999999999997
4,0.86,0.126
4,0.88,0.12350000000000005
4,0.9,0.12880000000000003
