seed,branch,lambda,error
0,ordered,0.3,0.11299999999999999
0,ordered,0.35,0.11240000000000006
0,ordered,0.4,0.10670000000000002
0,ordered,0.45,0.1048
0,ordered,0.5,0.10609999999999997
0,ordered,0.55,0.10460000000000003
0,ordered,0.6,0.10260000000000002
0,ordered,0.65,0.10229999999999995
0,ordered,0.7,0.10140000000000005
0,collapse,0.7,0.9
0,collapse,0.65,0.9
0,collapse,0.6,0.9
0,collapse,0.55,0.9
0,collapse,0.5,0.9
0,collapse,0.45,0.9
0,collapse,0.4,0.9
0,collapse,0.35,0.9
0,collapse,0.3,0.9
1,ordered,0.3,0.11619999999999997
1,ordered,0.35,0.11350000000000005
1,ordered,0.4,0.11399999999999999
1,ordered,0.45,0.11109999999999998
1,ordered,0.5,0.10770000000000002
1,ordered,0.55,0.1058
1,ordered,0.6,0.10609999999999997
1,ordered,0.65,0.10460000000000003
1,ordered,0.7,0.10599999999999998
1,collapse,0.7,0.39970000000000006
1,collapse,0.65,0.41090000000000004
1,collapse,0.6,0.4003
1,collapse,0.55,0.39780000000000004
1,collapse,0.5,0.38970000000000005
1,collapse,0.45,0.38680000000000003
1,collapse,0.4,0.3862
1,collapse,0.35,0.3931
1,collapse,0.3,0.3911
2,ordered,0.3,0.11499999999999999
2,ordered,0.35,0.11180000000000001
2,ordered,0.4,0.11329999999999996
2,ordered,0.45,0.1089
2,ordered,0.5,0.10909999999999997
2,ordered,0.55,0.10660000000000003
2,ordered,0.6,0.10640000000000005
2,ordered,0.65,0.10909999999999997
2,ordered,0.7,0.10599999999999998
2,collapse,0.7,0.4416
2,collapse,0.65,0.4423
2,collapse,0.6,0.43500000000000005
2,collapse,0.55,0.4375
2,collapse,0.5,0.4226
2,collapse,0.45,0.4263
2,collapse,0.4,0.4303
2,collapse,0.35,0.4245
2,collapse,0.3,0.4203
