seed,branch,lambda,error
0,ordered,0.3,0.136
0,ordered,0.35,0.1352
0,ordered,0.4,0.13470000000000004
0,ordered,0.45,0.1351
0,ordered,0.5,0.13570000000000004
0,ordered,0.55,0.13339999999999996
0,ordered,0.6,0.13560000000000005
0,ordered,0.65,0.13239999999999996
0,ordered,0.7,0.13139999999999996
0,collapse,0.7,0.6542
0,collapse,0.65,0.6403
0,collapse,0.6,0.6334
0,collapse,0.55,0.6147
0,collapse,0.5,0.6001000000000001
0,collapse,0.45,0.5886
0,collapse,0.4,0.5797
0,collapse,0.35,0.5820000000000001
0,collapse,0.3,0.5497000000000001
1,ordered,0.3,0.1331
1,ordered,0.35,0.13139999999999996
1,ordered,0.4,0.13090000000000002
1,ordered,0.45,0.13090000000000002
1,ordered,0.5,0.1281
1,ordered,0.55,0.13039999999999996
1,ordered,0.6,0.1291
1,ordered,0.65,0.13129999999999997
1,ordered,0.7,0.12919999999999998
1,collapse,0.7,0.5344
1,collapse,0.65,0.5279
1,collapse,0.6,0.5356000000000001
1,collapse,0.55,0.5171
1,collapse,0.5,0.506
1,collapse,0.45,0.49429999999999996
1,collapse,0.4,0.49160000000000004
1,collapse,0.35,0.4808
1,collapse,0.3,0.4778
2,ordered,0.3,0.1432
2,ordered,0.35,0.14070000000000005
2,ordered,0.4,0.1391
2,ordered,0.45,0.13939999999999997
2,ordered,0.5,0.13790000000000002
2,ordered,0.55,0.13549999999999995
2,ordered,0.6,0.13670000000000004
2,ordered,0.65,0.13539999999999996
2,ordered,0.7,0.1341
2,collapse,0.7,0.9
2,collapse,0.65,0.9
2,collapse,0.6,0.9
2,collapse,0.55,0.9
2,collapse,0.5,0.9
2,collapse,0.45,0.9
2,collapse,0.4,0.9
2,collapse,0.35,0.9
2,collapse,0.3,0.9
