seed,branch,lambda,error
0,ordered,0.3,0.39980000000000004
0,ordered,0.35,0.39649999999999996
0,ordered,0.4,0.39790000000000003
0,ordered,0.45,0.3993
0,ordered,0.5,0.39670000000000005
0,ordered,0.55,0.39559999999999995
0,ordered,0.6,0.39149999999999996
0,ordered,0.65,0.3912
0,ordered,0.7,0.39049999999999996
0,collapse,0.7,0.7911
0,collapse,0.65,0.7859
0,collapse,0.6,0.7824
0,collapse,0.55,0.7831
0,collapse,0.5,0.7784
0,collapse,0.45,0.7754
0,collapse,0.4,0.7746
0,collapse,0.35,0.772
0,collapse,0.3,0.7716000000000001
1,ordered,0.3,0.40249999999999997
1,ordered,0.35,0.40169999999999995
1,ordered,0.4,0.3983
1,ordered,0.45,0.3991
1,ordered,0.5,0.3974
1,ordered,0.55,0.3972
1,ordered,0.6,0.39370000000000005
1,ordered,0.65,0.3973
1,ordered,0.7,0.3951
1,collapse,0.7,0.8144
1,collapse,0.65,0.8114
1,collapse,0.6,0.8121
1,collapse,0.55,0.8061
1,collapse,0.5,0.8033
1,collapse,0.45,0.8027
1,collapse,0.4,0.8017
1,collapse,0.35,0.7974
1,collapse,0.3,0.7954
2,ordered,0.3,0.40690000000000004
2,ordered,0.35,0.4053
2,ordered,0.4,0.4041
2,ordered,0.45,0.40149999999999997
2,ordered,0.5,0.4032
2,ordered,0.55,0.3992
2,ordered,0.6,0.39990000000000003
2,ordered,0.65,0.40069999999999995
2,ordered,0.7,0.40249999999999997
2,collapse,0.7,0.8435
2,collapse,0.65,0.8408
2,collapse,0.6,0.8378
2,collapse,0.55,0.8345
2,collapse,0.5,0.8341000000000001
2,collapse,0.45,0.8335
2,collapse,0.4,0.8311
2,collapse,0.35,0.8286
2,collapse,0.3,0.8284
