noise,lambda,rho,run,arch,acc,phi_js,A,C_js
0.0,0.0,1.0,0,integrated,0.875,0.16038110852241516,1.0,0.16038110852241516
0.0,0.0,1.0,0,modular,0.762499988079071,0.0,1.0,0.0
0.0,0.0,1.0,1,integrated,0.987500011920929,0.08827897906303406,1.0,0.08827897906303406
0.0,0.0,1.0,1,modular,0.800000011920929,0.0,1.0,0.0
0.0,0.0,1.0,2,integrated,0.9375,0.21366427838802338,1.0,0.21366427838802338
0.0,0.0,1.0,2,modular,0.9125000238418579,0.0,1.0,0.0
0.0,0.0,1.0,3,integrated,0.875,0.37359052896499634,1.0,0.37359052896499634
0.0,0.0,1.0,3,modular,0.737500011920929,0.0,1.0,0.0
0.0,0.0,1.0,4,integrated,1.0,0.1876228302717209,1.0,0.1876228302717209
0.0,0.0,1.0,4,modular,0.875,0.0,1.0,0.0
0.0,0.0,1.0,5,integrated,0.887499988079071,0.11014318466186523,1.0,0.11014318466186523
0.0,0.0,1.0,5,modular,0.699999988079071,0.0,1.0,0.0
0.0,0.0,1.0,6,integrated,0.9000000357627869,0.11726752668619156,1.0,0.11726752668619156
0.0,0.0,1.0,6,modular,0.800000011920929,0.0,1.0,0.0
0.0,0.0,1.0,7,integrated,0.9750000238418579,0.18438951671123505,1.0,0.18438951671123505
0.0,0.0,1.0,7,modular,0.75,0.0,1.0,0.0
0.0,0.0,1.0,8,integrated,0.987500011920929,0.18607932329177856,1.0,0.18607932329177856
0.0,0.0,1.0,8,modular,0.887499988079071,0.0,1.0,0.0
0.0,0.0,1.0,9,integrated,0.949999988079071,0.10626795142889023,1.0,0.10626795142889023
0.0,0.0,1.0,9,modular,0.7875000238418579,0.0,1.0,0.0
0.0,0.0,1.0,10,integrated,1.0,0.25371140241622925,1.0,0.25371140241622925
0.0,0.0,1.0,10,modular,0.9125000238418579,0.0,1.0,0.0
0.0,0.0,1.0,11,integrated,0.9000000357627869,0.21486525237560272,1.0,0.21486525237560272
0.0,0.0,1.0,11,modular,0.8500000238418579,0.0,1.0,0.0
0.0,0.0,1.0,12,integrated,0.887499988079071,0.15709827840328217,1.0,0.15709827840328217
0.0,0.0,1.0,12,modular,0.8375000357627869,0.0,1.0,0.0
0.0,0.0,1.0,13,integrated,0.9750000238418579,0.17881162464618683,1.0,0.17881162464618683
0.0,0.0,1.0,13,modular,0.9375,0.0,1.0,0.0
0.0,0.0,1.0,14,integrated,0.987500011920929,0.1810186356306076,1.0,0.1810186356306076
