noise_rate,rho,lambda,seed,test_acc,A_naive_mean,A_naive_std,A_naive_final,cos_gval_gref_mean
0.0,0.0,0.0,0,0.12219999730587006,-1.0011717677116394e-10,2.1835412148964922e-09,-2.7939677238464355e-09,-8.847564458847046e-11
0.0,0.0,0.0,1,0.11209999769926071,1.9033905118703842e-10,2.3173500593078934e-09,-4.0745362639427185e-09,2.1129380911588668e-10
0.0,0.0,0.0,2,0.09999999403953552,-3.2741809263825417e-10,2.2082208913101404e-09,0.0,-3.5070115700364115e-10
0.0,0.0,0.25,0,0.798799991607666,0.31622776210308073,2.6595963856367002e-08,0.3162277936935425,2.5742338038980963e-10
0.0,0.0,0.25,1,0.7971999645233154,0.3162277618050575,2.5377513119385063e-08,0.3162277936935425,4.802132025361061e-11
0.0,0.0,0.25,2,0.7982999682426453,0.3162277641892433,2.4753874277597764e-08,0.3162277936935425,-3.9552105590701103e-10
0.0,0.0,0.5,0,0.8003999590873718,0.7071067780256272,5.422057330209092e-08,0.7071067094802856,-6.51925802230835e-11
0.0,0.0,0.5,1,0.7989999651908875,0.7071067893505096,5.9137901090681383e-08,0.7071069478988647,-2.89292074739933e-10
0.0,0.0,0.5,2,0.7986999750137329,0.7071067923307419,5.3241996997811026e-08,0.7071067094802856,-9.38598532229662e-11
0.0,0.0,0.75,0,0.799299955368042,0.9486833012104035,6.70227660983591e-08,0.9486832618713379,-3.841705620288849e-11
0.0,0.0,0.75,1,0.7981999516487122,0.9486832934617996,6.38938438999381e-08,0.9486832618713379,5.2386894822120665e-12
0.0,0.0,0.75,2,0.7985999584197998,0.948683288693428,6.495265578539182e-08,0.9486833214759827,1.0215444490313529e-10
0.0,0.0,1.0,0,0.7996000051498413,1.0000000143051146,5.724528886577115e-08,0.9999999403953552,-3.5070115700364115e-11
0.0,0.0,1.0,1,0.7986999750137329,1.0000000184774398,5.9422572523913996e-08,1.0,-7.144990377128124e-11
0.0,0.0,1.0,2,0.7986999750137329,1.0000000262260438,6.03863007636735e-08,1.0000001192092896,-1.8117134459316732e-11
0.0,0.4,0.0,0,0.7996999621391296,0.40000002950429914,3.558726750750061e-08,0.4000000059604645,0.4000000312924385
