noise_rate,rho,lambda,seed,train_acc,test_acc,cos_mean,cos_std,cos_final
0.0,-0.7,0.0,0,0.10239999741315842,0.09950000047683716,,,
0.0,-0.7,0.0,1,0.10239999741315842,0.09950000047683716,,,
0.0,-0.7,0.0,2,0.10239999741315842,0.09950000047683716,,,
0.0,-0.7,0.0,3,0.10239999741315842,0.09950000047683716,,,
0.0,-0.7,0.0,4,0.10239999741315842,0.09950000047683716,,,
0.0,-0.7,0.0,5,0.10239999741315842,0.09950000047683716,,,
0.0,-0.7,0.0,6,0.10239999741315842,0.09950000047683716,,,
0.0,-0.7,0.0,7,0.10239999741315842,0.09950000047683716,,,
0.0,-0.7,0.0,8,0.10239999741315842,0.09950000047683716,,,
0.0,-0.7,0.0,9,0.10239999741315842,0.09950000047683716,,,
0.0,-0.7,0.25,0,0.10239999741315842,0.09950000047683716,,,
0.0,-0.7,0.25,1,0.10239999741315842,0.09950000047683716,,,
0.0,-0.7,0.25,2,0.10239999741315842,0.09950000047683716,,,
0.0,-0.7,0.25,3,0.10239999741315842,0.09950000047683716,,,
0.0,-0.7,0.25,4,0.10239999741315842,0.09950000047683716,,,
0.0,-0.7,0.25,5,0.10239999741315842,0.09950000047683716,,,
0.0,-0.7,0.25,6,0.10239999741315842,0.09950000047683716,,,
0.0,-0.7,0.25,7,0.10239999741315842,0.09950000047683716,,,
0.0,-0.7,0.25,8,0.10239999741315842,0.09950000047683716,,,
0.0,-0.7,0.25,9,0.10239999741315842,0.09950000047683716,,,
0.0,-0.7,0.5,0,0.8086499571800232,0.7996999621391296,-0.7000000023841858,5.20441054175927e-08,-0.699999988079071
0.0,-0.7,0.5,1,0.807699978351593,0.7967000007629395,-0.7000000035762787,5.100987647851626e-08,-0.7000000476837158
0.0,-0.7,0.5,2,0.8098999857902527,0.7996999621391296,-0.7000000011920929,5.369713606622319e-08,-0.699999988079071
0.0,-0.7,0.5,3,0.8072999715805054,0.7994999885559082,-0.6999999958276749,5.1725706099623775e-08,-0.699999988079071
0.0,-0.7,0.5,4,0.8104000091552734,0.7978000044822693,-0.6999999988079071,5.2221288952373294e-08,-0.7000000476837158
0.0,-0.7,0.5,5,0.8083999752998352,0.8003000020980835,-0.6999999964237213,5.1287710104701394e-08,-0.7000000476837158
0.0,-0.7,0.5,6,0.8095499873161316,0.7999999523162842,-0.7000000017881394,5.9518155290062373e-08,-0.6999999284744263
0.0,-0.7,0.5,7,0.8065999746322632,0.8007999658584595,-0.7000000029802322,5.153303285178716e-08,-0.6999999284744263
0.0,-0.7,0.5,8,0.8086000084877014,0.8009999990463257,-0.7000000077486038,5.131194897252541e-08,-0.6999998688697815
0.0,-0.7,0.5,9,0.8083999752998352,0.7985000014305115,-0.7000000011920929,5.235717596053541e-08,-0.699999988079071
0.0,-0.7,0.75,0,0.8119499683380127,0.799299955368042,-0.7000000047683715,5.132925544169185e-08,-0.7000000476837158
0.0,-0.7,0.75,1,0.8117499947547913,0.7985999584197998,-0.6999999958276749,5.505288402422444e-08,-0.7000000476837158
0.0,-0.7,0.75,2,0.8133999705314636,0.7986999750137329,-0.6999999910593033,5.678105021493927e-08,-0.7000001072883606
0.0,-0.7,0.75,3,0.8107999563217163,0.8012999892234802,-0.7000000125169754,4.993645693428872e-08,-0.699999988079071
0.0,-0.7,0.75,4,0.812749981880188,0.8001999855041504,-0.7000000083446503,4.931001157747849e-08,-0.7000000476837158
0.0,-0.7,0.75,5,0.8136000037193298,0.8014000058174133,-0.7,5.264139691786675e-08,-0.6999999284744263
0.0,-0.7,0.75,6,0.8129499554634094,0.8004999756813049,-0.6999999958276749,5.37467347122845e-08,-0.7000000476837158
0.0,-0.7,0.75,7,0.8123999834060669,0.8008999824523926,-0.7000000017881394,5.321529924158916e-08,-0.7000001072883606
0.0,-0.7,0.75,8,0.8125999569892883,0.8003999590873718,-0.6999999964237213,4.769861465392722e-08,-0.7000000476837158
0.0,-0.7,0.75,9,0.8121500015258789,0.7996000051498413,-0.7000000023841858,5.0660441782178344e-08,-0.6999999284744263
0.0,-0.7,1.0,0,0.8116999864578247,0.7996000051498413,-0.7,5.1273854178444305e-08,-0.7000000476837158
0.0,-0.7,1.0,1,0.8123499751091003,0.7986999750137329,-0.6999999916553498,6.18396394221446e-08,-0.699999988079071
