epsilon,method,delta_loss_mean,delta_loss_std,kl_step_mean,kl_step_std,kl_ratio_mean,kl_ratio_std
1e-05,natgrad,0.009212209562561302,0.0004129533626696191,8.999999934773569e-10,1.1100583951015362e-18,8.999999934773567e-05,1.1100583885874655e-13
1e-05,sgd,0.009035068304369976,0.0004060624141220687,8.999999935329871e-10,1.185297643367381e-18,8.999999935329871e-05,1.185297633536135e-13
3e-05,natgrad,0.01594329573222377,0.0007152551351445718,8.999999935702036e-10,1.1237902450576095e-18,2.9999999785673455e-05,3.745967479298553e-14
3e-05,sgd,0.015636481933394997,0.0007033190961217506,8.999999934461695e-10,1.223196789620599e-18,2.9999999781538986e-05,4.077322660177667e-14
0.0001,natgrad,0.029062859986377542,0.001305864336356531,8.999999934393915e-10,1.2609670752673471e-18,8.999999934393914e-06,1.2609670941372861e-14
0.0001,sgd,0.028502722199284847,0.0012840685642464698,8.999999934989695e-10,1.215369062357068e-18,8.999999934989695e-06,1.215369117674501e-14
0.0003,natgrad,0.050210291671406136,0.002261788656304782,8.999999932261775e-10,1.1201529183424416e-18,2.9999999774205924e-06,3.733842903232765e-15
0.0003,sgd,0.04924023121662522,0.0022240189859086146,8.99999993353479e-10,1.2217521145477598e-18,2.9999999778449305e-06,4.0725070563680474e-15
0.001,natgrad,0.09121064054439594,0.004129213439515446,8.99999992930346e-10,1.1473980663779497e-18,8.999999929303459e-07,1.1473980535567297e-15
0.001,sgd,0.08944040483014257,0.00406013611989971,8.999999929959714e-10,1.1974736257885192e-18,8.999999929959713e-07,1.1974736414445067e-15
0.003,natgrad,0.1566730395946514,0.007150812906172216,8.999999926126041e-10,1.1660523881758128e-18,2.9999999753753465e-07,3.886841291054425e-16
0.003,sgd,0.15361138335595256,0.0070305528786522384,8.999999928448527e-10,1.1772806847353917e-18,2.9999999761495087e-07,3.924268922082783e-16
0.01,natgrad,0.28125945716418677,0.013047071407386158,8.999999921288606e-10,1.4603754499666284e-18,8.999999921288606e-08,1.4603754359848115e-16
0.01,sgd,0.2757020860505395,0.012823346935267281,8.999999924747488e-10,1.2493356402675245e-18,8.999999924747487e-08,1.2493356098277878e-16
0.03,natgrad,0.4731516885594069,0.022547796059968546,8.99999992075409e-10,1.5819375731709472e-18,2.999999973584697e-08,5.2731251950726695e-17
0.03,sgd,0.46372032480211034,0.022138414111877544,8.999999926656171e-10,1.382500406198212e-18,2.9999999755520573e-08,4.6083348205636896e-17
0.1,natgrad,0.8100264656020947,0.04071154303704554,8.999999942675066e-10,1.2434489583845495e-18,8.999999942675065e-09,1.2434489572099768e-17
0.1,sgd,0.794445670008735,0.03983177623285753,8.999999945003221e-10,1.2645858696672602e-18,8.99999994500322e-09,1.26458589853369e-17
