method,epsilon,seed,final_loss,final_accuracy,mean_kl_ratio,std_kl_ratio,mean_corrections
sgd,0.0001,0,0.8190990352011609,0.0690000057220459,1.0240643148168886,0.07984082584303856,0.49
sgd,0.0001,1,0.8059750089528971,0.07000000029802322,1.0225706612456482,0.07680470233831152,0.53
sgd,0.0001,2,0.8421751446401522,0.07200000435113907,1.0241758844079092,0.06527875882762012,0.59
sgd,0.0001,3,0.82111117047852,0.07500000298023224,1.0224043580388968,0.0759845528947148,0.53
sgd,0.0001,4,0.7719084481126878,0.07100000232458115,1.0332806055117925,0.08588667424335084,0.41
natgrad,0.0001,0,0.8205314589250178,0.0690000057220459,1.0234198313673102,0.07808154440183625,0.52
natgrad,0.0001,1,0.8177477459170431,0.06100000441074371,1.015610432771965,0.07200812088936083,0.59
natgrad,0.0001,2,0.8494237927521128,0.07100000232458115,1.0225536532594408,0.06443321099462929,0.62
natgrad,0.0001,3,0.8376340236865523,0.07300000637769699,1.0148785574265886,0.07084205317942174,0.6
natgrad,0.0001,4,0.7811794712990842,0.07200000435113907,1.0225492084195067,0.07892849052256017,0.51
sgd,0.0003,0,0.5147039426858534,0.0690000057220459,1.0094423536661798,0.06157587929703385,0.71
sgd,0.0003,1,0.5146850479150149,0.06800000369548798,1.0091926135532612,0.060106615398478586,0.73
sgd,0.0003,2,0.5145965450016534,0.06599999964237213,1.006406561788847,0.059576293258269006,0.74
sgd,0.0003,3,0.5147205541238871,0.06700000166893005,1.009631729275999,0.05936148484445718,0.73
sgd,0.0003,4,0.5146881648005883,0.06599999964237213,1.0147602657591588,0.07133317819187367,0.65
natgrad,0.0003,0,0.5147495362960455,0.06800000369548798,1.0086080380530205,0.059369995135506975,0.73
natgrad,0.0003,1,0.5147541685178854,0.06800000369548798,1.0040763147834044,0.05382110203887224,0.77
natgrad,0.0003,2,0.5147406728588556,0.06599999964237213,1.0051064561038812,0.05781860971286066,0.76
natgrad,0.0003,3,0.5146243451552355,0.06700000166893005,1.0051255380474597,0.05498227940238108,0.77
natgrad,0.0003,4,0.5146130614508029,0.06599999964237213,1.007057222619479,0.0633886608906028,0.71
sgd,0.001,0,0.5148916572312273,0.06700000166893005,1.0044120922787847,0.05097224700164911,0.83
sgd,0.001,1,0.5149224017696516,0.06599999964237213,1.0026850817763957,0.046638542255039425,0.85
sgd,0.001,2,0.5147756319553095,0.06599999964237213,1.0012825604925557,0.043743169938987275,0.86
sgd,0.001,3,0.5149194849875944,0.06599999964237213,1.0050381540071387,0.045721302294086816,0.85
sgd,0.001,4,0.5148598275132872,0.06599999964237213,1.0079261617960822,0.053198991638092115,0.81
natgrad,0.001,0,0.5149956995182929,0.06700000166893005,0.946567926554769,0.08648954833290973,0.47
natgrad,0.001,1,0.5149620636383554,0.06599999964237213,0.9638576555960117,0.059815142726730164,0.43
natgrad,0.001,2,0.5147310571819438,0.06800000369548798,0.9578564651873022,0.06726701308559856,0.45
natgrad,0.001,3,0.5147833688386582,0.06700000166893005,1.0427133268626616,0.06669470082648661,0.43
natgrad,0.001,4,0.5147281324066956,0.06700000166893005,0.94660293335989,0.08386389669961068,0.42
